atom_index_1based,atom_name,element,part,internal_rmsf_A
1,C1x,C,branch_A,4.046386774519179
2,C2x,C,branch_A,3.3950404123801188
3,C3x,C,branch_A,4.149581985005734
4,C4x,C,branch_A,2.7631652596496385
5,C5x,C,branch_A,2.4046911638012975
6,C6x,C,branch_A,1.9222763487556365
7,C7x,C,branch_A,1.5291991556342697
8,C8x,C,branch_A,1.1396559869500726
9,C9x,C,branch_A,0.8364156389712096
10,O1x,O,branch_B,0.7774365273652522
11,C10x,C,branch_B,0.18142890029331354
12,O2x,O,branch_B,0.7219937980201373
13,C11x,C,core,0.04706416381174513
14,C12x,C,core,0.04653392960404643
15,C13x,C,core,0.04735110567778792
16,C14x,C,core,0.04689974615013628
17,C15x,C,core,0.04616842520897671
18,C16x,C,core,0.04735611757555262
19,C17x,C,branch_B,0.1928429800694885
20,O3x,O,branch_B,0.8863217678038023
21,O4x,O,branch_B,0.9880310481844619
