cohort,comparison,proxy,gene,n_left,n_right,right_minus_left_mean_z,welch_p,mannwhitney_p,welch_fdr_within_cohort,mannwhitney_fdr_within_cohort
GSE39582,Right_minus_Left,AA_routing_proxy_core,AIFM2,342,224,0.0703173692039253,0.41614796326977155,0.6019028891424756,0.41614796326977155,0.6019028891424756
GSE39582,Right_minus_Left,AA_routing_proxy_core,GCH1,342,224,0.5105069224490175,2.1876123582647168e-09,1.163259965130816e-09,1.7500898866117734e-08,9.306079721046528e-09
GSE39582,Right_minus_Left,AA_routing_proxy_core,SCD,342,224,-0.12251030579826555,0.1520637897669179,0.18558809839625523,0.17378718830504902,0.21210068388143455
GSE39582,Right_minus_Left,AA_routing_proxy_core,MBOAT1,342,224,0.29685582196943927,0.0004827306012649605,0.0013145722687939274,0.001287281603373228,0.0035055260501171397
GSE39582,Right_minus_Left,AA_routing_proxy_core,MBOAT2,342,224,0.1622124256710657,0.06914897878972223,0.04972084688902208,0.09219863838629631,0.07955335502243532
GSE39582,Right_minus_Left,AA_routing_proxy_core,GPX4,342,224,-0.1708406738622887,0.04869833748106149,0.03708523919336217,0.07791733996969838,0.07417047838672435
GSE39582,Right_minus_Left,AA_routing_proxy_core,SLC7A11,342,224,0.4272981230676446,1.2798811157746394e-06,2.5258497624509776e-06,5.1195244630985576e-06,1.010339904980391e-05
GSE39582,Right_minus_Left,AA_routing_proxy_core,DHODH,342,224,-0.2125836479721997,0.014036421465508875,0.07708050365492633,0.02807284293101775,0.10277400487323511
GSE39582,Right_minus_Left,AA_routing_proxy_expanded,AIFM2,342,224,0.0703173692039253,0.41614796326977155,0.6019028891424756,0.41614796326977155,0.6019028891424756
GSE39582,Right_minus_Left,AA_routing_proxy_expanded,GCH1,342,224,0.5105069224490175,2.1876123582647168e-09,1.163259965130816e-09,1.7500898866117734e-08,9.306079721046528e-09
GSE39582,Right_minus_Left,AA_routing_proxy_expanded,SCD,342,224,-0.12251030579826555,0.1520637897669179,0.18558809839625523,0.17378718830504902,0.21210068388143455
GSE39582,Right_minus_Left,AA_routing_proxy_expanded,MBOAT1,342,224,0.29685582196943927,0.0004827306012649605,0.0013145722687939274,0.001287281603373228,0.0035055260501171397
GSE39582,Right_minus_Left,AA_routing_proxy_expanded,MBOAT2,342,224,0.1622124256710657,0.06914897878972223,0.04972084688902208,0.09219863838629631,0.07955335502243532
GSE39582,Right_minus_Left,AA_routing_proxy_expanded,GPX4,342,224,-0.1708406738622887,0.04869833748106149,0.03708523919336217,0.07791733996969838,0.07417047838672435
GSE39582,Right_minus_Left,AA_routing_proxy_expanded,SLC7A11,342,224,0.4272981230676446,1.2798811157746394e-06,2.5258497624509776e-06,5.1195244630985576e-06,1.010339904980391e-05
GSE39582,Right_minus_Left,AA_routing_proxy_expanded,DHODH,342,224,-0.2125836479721997,0.014036421465508875,0.07708050365492633,0.02807284293101775,0.10277400487323511
TCGA-COAD,Right_minus_Left,AA_routing_proxy_core,AIFM2,135,200,-0.0546725807570774,0.6273938272883506,0.6533467756167586,0.6273938272883506,0.6533467756167586
TCGA-COAD,Right_minus_Left,AA_routing_proxy_core,GCH1,135,200,0.5277641232206614,1.2876646503666067e-06,9.666161686552958e-07,1.0301317202932854e-05,7.732929349242366e-06
TCGA-COAD,Right_minus_Left,AA_routing_proxy_core,SCD,135,200,-0.13501600400158145,0.22016327250799467,0.18500506165160124,0.28897582291330187,0.22571805210255075
TCGA-COAD,Right_minus_Left,AA_routing_proxy_core,MBOAT1,135,200,0.3147157081764407,0.003937925417991396,0.0038779282343409634,0.010501134447977055,0.010341141958242569
TCGA-COAD,Right_minus_Left,AA_routing_proxy_core,MBOAT2,135,200,0.12694613102397018,0.25285384504913916,0.10774151543243621,0.28897582291330187,0.17238642469189794
TCGA-COAD,Right_minus_Left,AA_routing_proxy_core,GPX4,135,200,-0.16524805209386717,0.1428434886039939,0.1975032955897319,0.22854958176639023,0.22571805210255075
TCGA-COAD,Right_minus_Left,AA_routing_proxy_core,SLC7A11,135,200,0.34176164848632756,0.00175781168930787,0.000322660792914539,0.00703124675723148,0.001290643171658156
TCGA-COAD,Right_minus_Left,AA_routing_proxy_core,DHODH,135,200,-0.16866678672513225,0.12811443555235072,0.09768982556389791,0.22854958176639023,0.17238642469189794
TCGA-COAD,Right_minus_Left,AA_routing_proxy_expanded,AIFM2,135,200,-0.0546725807570774,0.6273938272883506,0.6533467756167586,0.6273938272883506,0.6533467756167586
TCGA-COAD,Right_minus_Left,AA_routing_proxy_expanded,GCH1,135,200,0.5277641232206614,1.2876646503666067e-06,9.666161686552958e-07,1.0301317202932854e-05,7.732929349242366e-06
TCGA-COAD,Right_minus_Left,AA_routing_proxy_expanded,SCD,135,200,-0.13501600400158145,0.22016327250799467,0.18500506165160124,0.28897582291330187,0.22571805210255075
TCGA-COAD,Right_minus_Left,AA_routing_proxy_expanded,MBOAT1,135,200,0.3147157081764407,0.003937925417991396,0.0038779282343409634,0.010501134447977055,0.010341141958242569
TCGA-COAD,Right_minus_Left,AA_routing_proxy_expanded,MBOAT2,135,200,0.12694613102397018,0.25285384504913916,0.10774151543243621,0.28897582291330187,0.17238642469189794
TCGA-COAD,Right_minus_Left,AA_routing_proxy_expanded,GPX4,135,200,-0.16524805209386717,0.1428434886039939,0.1975032955897319,0.22854958176639023,0.22571805210255075
TCGA-COAD,Right_minus_Left,AA_routing_proxy_expanded,SLC7A11,135,200,0.34176164848632756,0.00175781168930787,0.000322660792914539,0.00703124675723148,0.001290643171658156
TCGA-COAD,Right_minus_Left,AA_routing_proxy_expanded,DHODH,135,200,-0.16866678672513225,0.12811443555235072,0.09768982556389791,0.22854958176639023,0.17238642469189794
