Analysis,Cycles,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,Model_role,Secondary_exposure,Secondary_OR,Secondary_CI_low,Secondary_CI_high,Secondary_P,Complete_case_N,Complete_case_CRC_N,MCOP_BH_FDR,Burden_definition
MCOP_alone_same_CC_None,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.219542496313676,0.07309672751901093,1.2455067762777348,1.0775254462916757,1.4396756337333279,0.003311358522765674,109,214,105,Newton-IRLS converged,MCOP_alone,None,,,,,,,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MEHHP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.219542496313676,0.07309672751901093,1.2455067762777348,1.0775254462916757,1.4396756337333279,0.003311358522765674,109,214,105,Newton-IRLS converged,same_complete_case_MCOP_only,MEHHP,,,,,9936.0,70.0,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MEHHP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.2007487239210179,0.07312197601711681,1.2223175940594253,1.0574108699698834,1.4129420674385302,0.0070709524035637,109,214,105,Newton-IRLS converged,coexposure_adjusted,MEHHP,1.1835186506433777,0.9644562635836191,1.4523379123653526,0.1056650261239752,9936.0,70.0,0.009798687160944855,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MEOHP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.219542496313676,0.07309672751901093,1.2455067762777348,1.0775254462916757,1.4396756337333279,0.003311358522765674,109,214,105,Newton-IRLS converged,same_complete_case_MCOP_only,MEOHP,,,,,9936.0,70.0,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MEOHP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.1979724152422302,0.07307931217620568,1.2189287695030402,1.0545684112193048,1.4089056047149282,0.007838949728755883,109,214,105,Newton-IRLS converged,coexposure_adjusted,MEOHP,1.2084056787302806,0.9961398385113863,1.4659029063326623,0.054682844430324895,9936.0,70.0,0.009798687160944855,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MECPP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.219542496313676,0.07309672751901093,1.2455067762777348,1.0775254462916757,1.4396756337333279,0.003311358522765674,109,214,105,Newton-IRLS converged,same_complete_case_MCOP_only,MECPP,,,,,9936.0,70.0,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MECPP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.18384436935527218,0.07534335312618787,1.2018287671549759,1.035118893318473,1.3953879065338013,0.016295669027686806,109,214,105,Newton-IRLS converged,coexposure_adjusted,MECPP,1.229479078403842,0.9734169078994745,1.5528996794340322,0.08236048672182787,9936.0,70.0,0.016295669027686806,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_MBzP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.219542496313676,0.07309672751901093,1.2455067762777348,1.0775254462916757,1.4396756337333279,0.003311358522765674,109,214,105,Newton-IRLS converged,same_complete_case_MCOP_only,MBzP,,,,,9936.0,70.0,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_MBzP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.22098238238496323,0.07196405547242976,1.24730145589361,1.0815032419071373,1.4385171135787533,0.0026960588037311596,109,214,105,Newton-IRLS converged,coexposure_adjusted,MBzP,0.9657505197415402,0.7746796019834526,1.2039481406159152,0.754643969257544,9936.0,70.0,0.009798687160944855,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_alone_same_CC_PhthalateBurden_excl_MCOP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.219542496313676,0.07309672751901093,1.2455067762777348,1.0775254462916757,1.4396756337333279,0.003311358522765674,109,214,105,Newton-IRLS converged,same_complete_case_MCOP_only,PhthalateBurden_excl_MCOP,,,,,9936.0,70.0,,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
MCOP_plus_PhthalateBurden_excl_MCOP,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,9936,70,9866,0.2113377169907556,0.07304958456439163,1.2353294763763059,1.0688206188954397,1.427778327088436,0.004607506774386776,109,214,105,Newton-IRLS converged,coexposure_adjusted,PhthalateBurden_excl_MCOP,1.282812659174862,0.6443645413491782,2.553846794694331,0.474968633706431,9936.0,70.0,0.009798687160944855,mean z-score of 9 non-MCOP phthalate metabolites; minimum 2 measured
