feature,n_paired_donor_group_units,mean_delta_low_minus_high,median_delta_low_minus_high,P,direction,analysis_level,BH_FDR
Apoptosis,11,-0.08237586938647395,-0.10316112787953119,0.0419921875,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.10498046875
Cholesterol_homeostasis,11,-0.1223224522432176,-0.1421975448769243,0.009765625,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.052490234375
E2F_targets,11,-0.01396604067434213,-0.07398368718720583,0.6376953125,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.6855224609375
EMT,11,-0.03357063536448199,-0.050889588149328605,0.0830078125,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.13219762731481483
FOS,11,-0.26536306646000996,-0.2615765553283409,0.0244140625,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.08075420673076923
Fatty_acid_metabolism,11,-0.1271650269043695,-0.10219582576734737,0.0009765625,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.0083984375
G2M_checkpoint,11,-0.02439167868057264,-0.08010682160026518,0.365234375,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.43625217013888884
Glycolysis,11,-0.08263590659012635,-0.08119004586424369,0.0419921875,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.10498046875
HIF1A,11,0.07870967916909553,-0.012454907342657362,0.5771484375,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.6363431490384616
Hypoxia,11,-0.06315073881221188,-0.08468962750391436,0.0537109375,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.10498046875
IFN_alpha,11,-0.06592941807961607,-0.051560380114562945,0.1015625,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.15597098214285712
IFN_gamma,11,-0.049620445655809246,-0.047532603613368106,0.1474609375,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.20454259072580647
IL6_JAK_STAT3,11,-0.05465811114579149,-0.07303814290517723,0.1748046875,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.21476004464285714
Inflammatory_response,11,-0.042106509061808683,-0.04609571756553468,0.1748046875,higher_in_PPAR_high,donor-by-group pseudobulk; cell state defined by frozen PPAR/NR quartiles,0.21476004464285714
