gene,toxicology_support,epithelial_effect,regulon_effect,state_correlation,donor_consistency,external_support,overall_evidence_tier
PPARG,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.34; P=3.56e-06,no DoRothEA activity summary,gene-state correlation not available,0.83,GSE144735: up; status=directionally concordant,Plausible candidate bridge
PPARA,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.208; P=7.19e-05,no DoRothEA activity summary,gene-state correlation not available,0.75,GSE144735: up; status=directionally concordant,Plausible candidate bridge
PPARD,MiNP no-cotreatment nuclear-receptor pathway overlap,up; median delta=0.013; P=0.529,no DoRothEA activity summary,gene-state correlation not available,0.53,GSE144735: up; status=directionally concordant,Plausible candidate bridge
NR1I2,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.0567; P=0.00701,no DoRothEA activity summary,gene-state correlation not available,0.64,GSE144735: up; status=directionally concordant,Plausible candidate bridge
NR1I3,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-1.81; P=0.0027,no DoRothEA activity summary,gene-state correlation not available,0.53,GSE144735: down; status=directionally concordant but underpowered,Plausible candidate bridge
NR1H2,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.0819; P=0.0946,no DoRothEA activity summary,gene-state correlation not available,0.56,GSE144735: down; status=directionally concordant but underpowered,Plausible candidate bridge
NR1H3,MiNP no-cotreatment nuclear-receptor pathway overlap,down; median delta=-0.352; P=1.15e-06,no DoRothEA activity summary,gene-state correlation not available,0.89,GSE144735: up; status=directionally concordant,Plausible candidate bridge
RELA,DINP parent: single-chemical CTD evidence,up; median delta=1.13; P=2.86e-06,no DoRothEA activity summary,gene-state correlation not available,0.89,GSE144735: up; status=directionally concordant,Plausible candidate bridge
STAT3,DINP parent: single-chemical CTD evidence,up; median delta=1.55; P=1.08e-07,no DoRothEA activity summary,gene-state correlation not available,0.86,GSE144735: up; status=directionally concordant,Plausible candidate bridge
HIF1A,none in current DINP-axis single-chemical bridge table,tumor-normal direction not estimable,no DoRothEA activity summary,gene-state correlation not available,not estimable,GSE144735: up; status=directionally concordant,Unsupported
MYC,none in current DINP-axis single-chemical bridge table,tumor-normal direction not estimable,no DoRothEA activity summary,gene-state correlation not available,not estimable,GSE144735: down; status=directionally concordant but underpowered,Unsupported
JUN,none in current DINP-axis single-chemical bridge table,tumor-normal direction not estimable,no DoRothEA activity summary,gene-state correlation not available,not estimable,GSE144735: down; status=directionally concordant but underpowered,Unsupported
FOS,none in current DINP-axis single-chemical bridge table,tumor-normal direction not estimable,no DoRothEA activity summary,gene-state correlation not available,not estimable,GSE144735: down; status=directionally concordant but underpowered,Unsupported
TP53,none in current DINP-axis single-chemical bridge table,tumor-normal direction not estimable,no DoRothEA activity summary,gene-state correlation not available,not estimable,GSE144735: up; status=directionally concordant,Unsupported
SMAD3,none in current DINP-axis single-chemical bridge table,tumor-normal direction not estimable,no DoRothEA activity summary,gene-state correlation not available,not estimable,GSE144735: up; status=directionally concordant,Unsupported
TCF7L2,none in current DINP-axis single-chemical bridge table,tumor-normal direction not estimable,no DoRothEA activity summary,gene-state correlation not available,not estimable,GSE144735: down; status=directionally concordant but underpowered,Unsupported
