ModelID,CellLineName,StrippedCellLineName,OncotreeCode,Sex,PrimaryOrMetastasis,SampleCollectionSite,side,side_confidence,curated_primary_site,side_evidence_source,curation_note,SLC7A11_gene_effect,GPX4_gene_effect,AIFM2_gene_effect,GCH1_gene_effect,DHODH_gene_effect,SLC7A11_effect_z,GPX4_effect_z,AIFM2_effect_z,GCH1_effect_z,DHODH_effect_z,ferroptosis_defense_dependency_index,dependency_genes_available
ACH-000003,CACO2,CACO2,COAD,Male,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000007,LS513,LS513,COAD,Male,Primary,large_intestine,Right,high,Ileocecal valve,https://www.cellosaurus.org/CVCL_1386,Ileocecal valve classified as proximal/right-sided.,0.1881842446314548,-0.1028681755512501,-0.1692812734809324,-0.0724351515263619,-0.8145951607306366,0.309867100600341,0.16246394923313387,-0.777748411179593,0.07666418321350768,-0.35910498530165175,0.11757163268685245,5
ACH-000009,C2BBe1,C2BBE1,COAD,Male,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,-0.0349115510392515,0.1856867186490852,0.0334060106070687,0.0182357753973097,-0.3641559828950123,-1.2669366549382057,0.9393671265477123,0.5068552405528784,0.7081067739530094,0.6949752542077016,-0.31647354806461914,5
ACH-000089,NCI-H684,NCIH684,COAD,Male,Metastatic,liver,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000202,COLO-320,COLO320,COAD,Female,Primary,large_intestine,Left,high,"Colon, sigmoid",https://www.cellosaurus.org/CVCL_1989,Sigmoid classified as distal/left-sided.,0.3177897978656301,0.5698598704641895,-0.0330740775845597,0.215123705488717,-0.58765232653057,1.225897465331829,1.9737122313543372,0.0855137417868084,2.0792565887874135,0.17196772950521422,-1.1072695513531206,5
ACH-000236,SW1417,SW1417,COAD,Female,Primary,Colon,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,,,,,,,,,,,,0
ACH-000249,CL-11,CL11,COAD,Male,Primary,Colon,Left,high,Left colon,https://www.dsmz.de/collection/catalogue/details/culture/ACC-467,DSMZ states primary colorectal cancer of the left colon.,0.0980988767808251,-0.2103625915385244,0.1029084633899219,0.0171707574953819,-0.936663829902141,-0.3268412063352518,-0.126953263930154,0.9473520632862312,0.7006898688215182,-0.644759915796712,-0.1098975092091263,5
ACH-000252,LS1034,LS1034,COAD,Male,Primary,large_intestine,Right,high,Cecum,https://www.cellosaurus.org/CVCL_1382,Cecum classified as proximal/right-sided.,0.2924066653015434,-0.0093578214204403,-0.1778384600916419,0.0669550652497965,-0.5571334136202949,1.0464937314602094,0.4142305721398997,-0.8319826628157291,1.047393419046427,0.24338554707739532,-0.38390412138164043,5
ACH-000253,COLO 201,COLO201,COAD,Male,Metastatic,ascites,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.3110761328231799,-0.3198107477746637,0.0994795807454609,-0.2636865785495274,-1.0568659774261286,1.1784464041384186,-0.4216307136636688,0.9256202847671393,-1.255232386717843,-0.9260469678254328,0.09976867586027734,5
ACH-000296,OUMS-23,OUMS23,COAD,Male,Metastatic,pericardial_effusion,Unknown,none,Not explicitly assigned,,Generic colon/large intestine or metastatic collection site is insufficient for sidedness.,0.410731546396588,-0.4187838044338883,0.3583551145031811,-0.2211115843506595,-0.2634128205164079,1.882794192987986,-0.6881050786200407,2.56633720248446,-0.9587353115276493,0.9307260102569914,-0.7466034031163495,5
