cohort,layer,metric,n_right,n_left,right_mean,left_mean,right_minus_left,standardized_mean_difference,welch_p,mannwhitney_p,welch_fdr_within_cohort_layer
GSE39582,transcript_ferroptosis,ferroptosis_driver_score,224,342,0.01303985668523079,-0.008540724846465711,0.0215805815316965,0.06921774697547117,0.41716788989060244,0.3367791015214606,0.8615195947438961
GSE39582,transcript_ferroptosis,ferroptosis_defense_score,224,342,-0.0016424981656061877,0.0010757882722110018,-0.0027182864378171895,-0.006264712745234784,0.9418600276686144,0.7546803176392856,0.9418600276686145
GSE39582,transcript_ferroptosis,ferroptosis_net_propensity,224,342,0.014682354850836975,-0.009616513118676718,0.024298867969513693,0.04823710447009953,0.5743463964959307,0.6442629797094166,0.8615195947438961
GSE39582,lipid_peroxidation,pufa_incorporation_score,224,342,0.07546584142562453,-0.04942791953023178,0.1248937609558563,0.22364896307858903,0.009996133515177096,0.008945976383992367,0.019992267030354192
GSE39582,lipid_peroxidation,peroxide_generation_score,224,342,-0.040083422898592826,0.026253469968670843,-0.06633689286726367,-0.11324036169072813,0.18452938269276373,0.14504782560625953,0.18452938269276373
GSE39582,lipid_peroxidation,antioxidant_buffering_score,224,342,0.07549355044771952,-0.04944606812950028,0.1249396185772198,0.2412017080293961,0.006213033719021725,0.00186906400132775,0.019992267030354192
GSE39582,lipid_peroxidation,lipid_peroxidation_liability,224,342,-0.05780234118420367,0.03785884334871981,-0.0956611845329235,-0.1502653825386334,0.08668943891437113,0.030936854495050254,0.11558591855249484
TCGA-COAD,transcript_ferroptosis,ferroptosis_driver_score,0,0,,,,,,,
TCGA-COAD,transcript_ferroptosis,ferroptosis_defense_score,200,135,-0.0015067235771281983,0.002232183077227265,-0.0037389066543554632,-0.011564022376771035,0.918139632230174,0.9600986784956488,0.918139632230174
TCGA-COAD,transcript_ferroptosis,ferroptosis_net_propensity,0,0,,,,,,,
TCGA-COAD,lipid_peroxidation,pufa_incorporation_score,0,0,,,,,,,
TCGA-COAD,lipid_peroxidation,peroxide_generation_score,200,135,-0.0319492200150622,0.047332177800092565,-0.07928139781515477,-0.1433922430188804,0.20923150796331055,0.4291190059944259,0.20923150796331055
TCGA-COAD,lipid_peroxidation,antioxidant_buffering_score,200,135,0.03876219554487936,-0.05742547488130305,0.09618767042618241,0.22858961978616749,0.03733287348335865,0.02044686332646125,0.0746657469667173
TCGA-COAD,lipid_peroxidation,lipid_peroxidation_liability,0,0,,,,,,,
