ModelID,CellLineName,Sex,OncotreeCode,DHODH_expression,DHODH_gene_effect
ACH-000007,LS513,Male,COAD,3.234194722953812,-0.8145951607306366
ACH-000009,C2BBe1,Male,COAD,3.7803100990433753,-0.3641559828950123
ACH-000202,COLO-320,Female,COAD,4.094236069845765,-0.58765232653057
ACH-000249,CL-11,Male,COAD,3.314696525656286,-0.936663829902141
ACH-000252,LS1034,Male,COAD,3.257010618206024,-0.5571334136202949
ACH-000253,COLO 201,Male,COAD,2.521050736900963,-1.0568659774261286
ACH-000286,SNU-1033,Female,READ,2.8196681834964554,-0.3694037851396523
ACH-000296,OUMS-23,Male,COAD,2.1076878693143737,-0.2634128205164079
ACH-000381,T84,Male,COAD,3.455491620628468,-0.7254362722024713
ACH-000403,NCI-H747,Male,COAD,3.4789718050329426,-0.2685053268497401
ACH-000421,SW837,Male,READ,4.012568673503056,-0.6089125196543995
ACH-000470,SW1463,Female,READ,2.9049657186840263,-0.5390155282647722
ACH-000489,SW1116,Male,COAD,2.1210154009613658,-0.5466155475779272
ACH-000491,NCI-H716,Male,COAD,3.4918530963296748,-0.3647372513573434
ACH-000501,LS123,Female,COAD,2.2479275134435857,-0.8229444524549958
ACH-000532,SNU-61,Male,READ,2.7420062108667365,-0.5753217330074974
ACH-000552,HT-29,Female,COAD,3.604071323668861,-0.5432183646313672
ACH-000565,RCM-1,Female,READ,2.851998837112446,-0.2702505719897686
ACH-000651,SW 620,Male,COAD,4.758089934201813,-0.7465720129016389
ACH-000683,SNU-503,Male,READ,3.282439805006387,-0.2496908324569468
ACH-000722,SNU-C1,Male,COAD,3.471187460386985,-0.601653291891427
ACH-000798,CL-40,Female,COAD,2.5185351389821804,-0.302718878602063
ACH-000820,SW403,Female,COAD,3.452858964713811,-0.8922081848200073
ACH-000950,LoVo,Male,COAD,2.925999418556223,-0.7781497606113041
ACH-000957,LS 180,Female,COAD,3.634593268445757,-1.0233564368037855
ACH-000958,SW48,Female,COAD,4.860962797858116,-0.6110636097596347
ACH-000963,CCK-81,Female,COAD,3.84197311892718,-0.7487529342539041
ACH-000971,HCT 116,Male,COAD,4.084914659767938,-0.6494405351958489
ACH-000991,SNU-81,Male,COAD,3.1538053360790355,-0.0690187803570335
ACH-000997,HCT-15,Male,COAD,3.0942360698457656,-1.1310524660987131
ACH-001061,DLD-1,Male,COAD,3.454175893185802,-1.810905852755976
ACH-001345,GP5d,Female,COAD,3.114367024952,-0.0623454669824274
ACH-001454,C10,Male,COAD,2.3978029618624896,-0.5041957754642384
ACH-001459,C80,Male,READ,1.883620816285672,-0.3531196477963985
ACH-001460,C84,Male,COAD,2.2357270598380583,-0.8699761959645836
ACH-001461,C99,Male,READ,2.356143810225275,-0.1952790753869697
ACH-001786,SNU-1544,Female,COAD,2.364572432295856,-0.3871996084013862
ACH-002024,ECC4,Male,READ,2.666756591884804,-0.4968994705318801
ACH-002025,TT1TKB,Male,READ,1.91456452349394,-0.9694115849367104
ACH-002535,SNU-254,Female,READ,2.6016965164809576,-0.1561898909609092
ACH-002538,SNU-1235,Female,COAD,3.1651079851445365,-0.1265523059999587
ACH-002654,JVE-015,Female,COAD,3.802193216941825,-0.2766687332042149
ACH-002660,JVE-187,Female,COAD,2.15704371014558,-0.379497911621031
ACH-002662,JVE-207,Male,COAD,2.722466024471091,-0.4181405097486131
ACH-002664,JVE-253,Female,MACR,2.956056652412403,-0.2310547889325218
