axis_key,exposure_axis,primary_biomarker,biological_matrix,eligible_chemical_count,eligible_chemical_ids,mapping_confidence,normalization,status,analysis,exposure_variable,fit_N,fit_crc_cases,fit_control_n,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,complete_case_n,n_parameters,cases_per_parameter_approx,condition_number_if_available,sparse_cell_warning,extreme_weight_ratio,extreme_weight_warning,singleton_stratum_N,fit_status,warning_message,warning_type,analytic_n,crc_cases,controls,direction
serum_or_blood|LBXPFDE,PFAS exposure axis,LBXPFDE,serum_or_blood,1,C036567,high,not_applicable_serum,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serum_or_blood|LBXPFHS,PFAS exposure axis,LBXPFHS,serum_or_blood,1,C471071,high,not_applicable_serum,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serum_or_blood|LBXPFNA,PFAS exposure axis,LBXPFNA,serum_or_blood,1,C101816,high,not_applicable_serum,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urine|URXBPH,bisphenol exposure axis,URXBPH,urine,17,C008745;C517113;C047969;C000705701;C000730470;C000730511;C512161;C534679;D017438;C019273;C047971;C543008;C006780;C000611646;C000655605;C583074;C492482,high,log2(analyte) - log2(urine creatinine),ok,creatinine_normalized,axis_creatinine_norm_log2,5751.0,45.0,5706.0,0.06207786585953645,0.07070096014132637,1.064045194296055,0.9238888204174569,1.2254636602193658,0.38320954648376815,64.0,124.0,60.0,Newton-IRLS converged,5751.0,12.0,3.75,423.0672988600301,,7.660775127418916,False,0.0,ok,,none,5751.0,45.0,5706.0,positive
urine|URXCOP,DINP-related exposure axis,URXCOP,urine,3,C573544;C019174;C012125,high,log2(analyte) - log2(urine creatinine),ok,creatinine_normalized,axis_creatinine_norm_log2,9936.0,70.0,9866.0,0.2183306166398356,0.07379285820063836,1.2439982861708034,1.07473655960524,1.4399172729029686,0.003789899909310163,109.0,214.0,105.0,Newton-IRLS converged,9936.0,12.0,5.833333333333333,365.6400086491783,,16.72347552015508,False,0.0,ok,,none,9936.0,70.0,9866.0,positive
urine|URXECP,DEHP-related exposure axis;phthalate exposure axis,URXECP,urine,2,C051450;D004051,moderate,log2(analyte) - log2(urine creatinine),ok,creatinine_normalized,axis_creatinine_norm_log2,11224.0,85.0,11139.0,0.19109142416171276,0.10264661374840382,1.210570122380886,0.9879976325271338,1.483282927968986,0.06502095778024293,124.0,244.0,120.0,Newton-IRLS converged,11224.0,12.0,7.083333333333333,364.1652917437427,,16.400286103961022,False,0.0,ok,,none,11224.0,85.0,11139.0,positive
urine|URXMBP,phthalate exposure axis,URXMBP,urine,1,C028577,high,log2(analyte) - log2(urine creatinine),ok,creatinine_normalized,axis_creatinine_norm_log2,13779.0,104.0,13675.0,-0.09942126494342711,0.13304504232794595,0.9053612307300403,0.6960987392127829,1.1775325998090256,0.4560443428726073,153.0,301.0,148.0,Newton-IRLS converged,13779.0,12.0,8.666666666666666,372.81351066241507,,16.091520412753837,False,0.0,ok,,none,13779.0,104.0,13675.0,protective
urine|URXMEP,phthalate exposure axis,URXMEP,urine,1,C581825,high,log2(analyte) - log2(urine creatinine),ok,creatinine_normalized,axis_creatinine_norm_log2,13775.0,104.0,13671.0,-0.07173325029697471,0.057067390157768225,0.930779147760414,0.8315407002223214,1.0418609957082974,0.21067207119929182,153.0,301.0,148.0,Newton-IRLS converged,13775.0,12.0,8.666666666666666,356.93951142266576,,16.092056491572045,False,0.0,ok,,none,13775.0,104.0,13671.0,protective
urine|URXMHP,DEHP-related exposure axis,URXMHP,urine,1,C016599,high,log2(analyte) - log2(urine creatinine),ok,creatinine_normalized,axis_creatinine_norm_log2,13779.0,104.0,13675.0,0.07231697668917361,0.08027716897320786,1.0749960387500619,0.91733933981993,1.2597480922982847,0.36908858822975954,153.0,301.0,148.0,Newton-IRLS converged,13779.0,12.0,8.666666666666666,389.59842037538397,,16.091520412753837,False,0.0,ok,,none,13779.0,104.0,13675.0,positive
urine|URXMIB,phthalate exposure axis,URXMIB,urine,1,C575690,high,log2(analyte) - log2(urine creatinine),ok,creatinine_normalized,axis_creatinine_norm_log2,12603.0,97.0,12506.0,-0.03247378685882267,0.08096933932181467,0.9680478250730272,0.8248410639771512,1.1361177717196889,0.688989769158387,139.0,274.0,135.0,Newton-IRLS converged,12603.0,12.0,8.083333333333334,401.5457879636081,,16.17323622637846,False,0.0,ok,,none,12603.0,97.0,12506.0,protective
urine|URXMOH,phthalate exposure axis,URXMOH,urine,1,C080276,high,log2(analyte) - log2(urine creatinine),ok,creatinine_normalized,axis_creatinine_norm_log2,12603.0,97.0,12506.0,0.18679567271680786,0.08350404013676052,1.2053809676677658,1.021930356009387,1.421763497553187,0.026880838128171557,139.0,274.0,135.0,Newton-IRLS converged,12603.0,12.0,8.083333333333334,374.50214785241775,,16.17323622637846,False,0.0,ok,,none,12603.0,97.0,12506.0,positive
urine|URXMZP,phthalate exposure axis,URXMZP,urine,2,C027561;C103325,moderate,log2(analyte) - log2(urine creatinine),ok,creatinine_normalized,axis_creatinine_norm_log2,13779.0,104.0,13675.0,-0.04042822691303767,0.08833537129013995,0.9603780913381041,0.8065876313979714,1.1434914724933873,0.647840617016616,153.0,301.0,148.0,Newton-IRLS converged,13779.0,12.0,8.666666666666666,373.5862893164217,,16.091520412753837,False,0.0,ok,,none,13779.0,104.0,13675.0,protective
urine|URXP02,PAH exposure axis,URXP02,urine,11,C031721;C018520;C025968;C027384;C028519;C031969;C042552;C042553;C065012;C117619;C466921,moderate,log2(analyte) - log2(urine creatinine),ok,creatinine_normalized,axis_creatinine_norm_log2,8301.0,71.0,8230.0,0.003384012098484634,0.12627334701981452,1.0033897443315842,0.7808793062845653,1.2893042124782734,0.9786767830845642,94.0,184.0,90.0,Newton-IRLS converged,8301.0,12.0,5.916666666666667,413.41964320424745,,7.256349737633371,False,0.0,ok,,none,8301.0,71.0,8230.0,positive
urine|URXP04,PAH exposure axis,URXP04,urine,5,C041509;C041511;C041512;C041513;C053036,moderate,log2(analyte) - log2(urine creatinine),converged_with_warning,creatinine_normalized,axis_creatinine_norm_log2,8290.0,70.0,8220.0,-0.045091246517433944,0.12022933301315758,0.9559102543718686,0.7529101314753107,1.213643403393695,0.7084728858803576,94.0,184.0,90.0,Newton-IRLS stopped before tolerance,8290.0,12.0,5.833333333333333,363.0890310089074,,7.262310271099414,False,0.0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,8290.0,70.0,8220.0,protective
