axis_key,exposure_axis,primary_biomarker,biological_matrix,eligible_chemical_count,eligible_chemical_ids,mapping_confidence,analysis,exposure_variable,status,fit_N,fit_crc_cases,fit_control_n,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,complete_case_n,n_parameters,cases_per_parameter_approx,condition_number_if_available,sparse_cell_warning,extreme_weight_ratio,extreme_weight_warning,singleton_stratum_N,fit_status,warning_message,warning_type,analytic_n,crc_cases,controls,lod_method,above_lod_pct,direction,reason
serum_or_blood|LBXPFDE,PFAS exposure axis,LBXPFDE,serum_or_blood,1,C036567,high,detectable_only,axis_log2,converged_with_warning,4311.0,25.0,4286.0,-0.14873665504884948,0.3746759514629739,0.8617960346532085,0.4075045380106736,1.8225377537379501,0.6927497872050532,62.0,121.0,59.0,Newton-IRLS stopped before tolerance,4311.0,12.0,2.0833333333333335,385.5521153339617,,17.367313678474925,False,0.0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,4311.0,25.0,4286.0,detectable_only,73.21806420409891,protective,
serum_or_blood|LBXPFHS,PFAS exposure axis,LBXPFHS,serum_or_blood,1,C471071,high,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,98.41001148660904,,LOD concern minimal (>=90% above LOD)
serum_or_blood|LBXPFNA,PFAS exposure axis,LBXPFNA,serum_or_blood,1,C101816,high,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,98.295145396288,,LOD concern minimal (>=90% above LOD)
urine|URXBPH,bisphenol exposure axis,URXBPH,urine,17,C008745;C517113;C047969;C000705701;C000730470;C000730511;C512161;C534679;D017438;C019273;C047971;C543008;C006780;C000611646;C000655605;C583074;C492482,high,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,92.3374912837995,,LOD concern minimal (>=90% above LOD)
urine|URXCOP,DINP-related exposure axis,URXCOP,urine,3,C573544;C019174;C012125,high,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,98.76142887518606,,LOD concern minimal (>=90% above LOD)
urine|URXECP,DEHP-related exposure axis;phthalate exposure axis,URXECP,urine,2,C051450;D004051,moderate,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,99.86459354718214,,LOD concern minimal (>=90% above LOD)
urine|URXMBP,phthalate exposure axis,URXMBP,urine,1,C028577,high,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,98.98279730740464,,LOD concern minimal (>=90% above LOD)
urine|URXMEP,phthalate exposure axis,URXMEP,urine,1,C581825,high,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,99.85038339255658,,LOD concern minimal (>=90% above LOD)
urine|URXMHP,DEHP-related exposure axis,URXMHP,urine,1,C016599,high,detectable_only,axis_log2,ok,9931.0,73.0,9858.0,0.015500965252938093,0.1340299599285505,1.0156217283896949,0.7793560123544663,1.3235125909417258,0.9080792196126553,153.0,301.0,148.0,Newton-IRLS converged,9931.0,13.0,5.615384615384615,553.1602206375817,,10.824456594979948,False,0.0,ok,,none,9931.0,73.0,9858.0,detectable_only,73.93044128646223,positive,
urine|URXMIB,phthalate exposure axis,URXMIB,urine,1,C575690,high,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,98.45448159014835,,LOD concern minimal (>=90% above LOD)
urine|URXMOH,phthalate exposure axis,URXMOH,urine,1,C080276,high,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,99.33468325137402,,LOD concern minimal (>=90% above LOD)
urine|URXMZP,phthalate exposure axis,URXMZP,urine,2,C027561;C103325,moderate,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,98.59760658189978,,LOD concern minimal (>=90% above LOD)
urine|URXP02,PAH exposure axis,URXP02,urine,11,C031721;C018520;C025968;C027384;C028519;C031969;C042552;C042553;C065012;C117619;C466921,moderate,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,99.99055088349239,,LOD concern minimal (>=90% above LOD)
urine|URXP04,PAH exposure axis,URXP04,urine,5,C041509;C041511;C041512;C041513;C053036,moderate,,,not_applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_required_D2,99.96663747445682,,LOD concern minimal (>=90% above LOD)
urine|URXP10,PAH exposure axis,URXP10,urine,39,C056699;C006710;C008422;C009590;C021146;C023389;C027704;C031195;C042881;C047249;C051446;C053035;C065011;C093581;C093582;C095210;C100422;C110144;C402363;C434863;C447880;C501268;C522458;C529617;C529618;C535034;C535035;D010569;C006718;C022921;C007738;C041508;C032121;C006703;C031180;C041517;D008748;D001564;C026487,moderate,detectable_only,axis_log2,ok,8214.0,70.0,8144.0,0.047971492199018466,0.1431652357369278,1.0491407462025566,0.7895544820136828,1.3940726452913508,0.738313005597937,94.0,184.0,90.0,Newton-IRLS converged,8214.0,13.0,5.384615384615385,515.2419965415488,,7.08329005490195,False,0.0,ok,,none,8214.0,70.0,8144.0,detectable_only,88.63977955911824,positive,
