cycle,cycle_begin_year,laboratory_title,data_file,data_url,doc_url,local_xpt,variable,flag_variable,weight_variable,matrix,n_measured,n_above_lod,above_lod_pct,selected_primary_biomarker,first_cycle,last_cycle,ChemicalID,ChemicalName
2005-2006,2005,Phthalates - Urine,PHTHTE_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PHTHTE_D.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PHTHTE_D.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2005-2006_PHTHTE_D.xpt,URXCOP,URDCOPLC,WTSB2YR,urine,2548,2447,96.03610675039246,True,2005-2006,2017-2018,C573544,mono(carboxy-isooctyl)phthalate
2007-2008,2007,Phthalates - Urine,PHTHTE_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PHTHTE_E.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PHTHTE_E.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2007-2008_PHTHTE_E.xpt,URXCOP,URDCOPLC,WTSB2YR,urine,2604,2510,96.39016897081413,True,2005-2006,2017-2018,C573544,mono(carboxy-isooctyl)phthalate
2009-2010,2009,Phthalates - Urine,PHTHTE_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PHTHTE_F.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PHTHTE_F.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2009-2010_PHTHTE_F.xpt,URXCOP,URDCOPLC,WTSB2YR,urine,2749,2744,99.81811567842853,True,2005-2006,2017-2018,C573544,mono(carboxy-isooctyl)phthalate
2011-2012,2011,Phthalates & Plasticizers Metabolites - Urine,PHTHTE_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PHTHTE_G.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PHTHTE_G.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2011-2012_PHTHTE_G.xpt,URXCOP,URDCOPLC,WTSA2YR,urine,2489,2489,100.0,True,2005-2006,2017-2018,C573544,mono(carboxy-isooctyl)phthalate
2013-2014,2013,Phthalates and Plasticizers Metabolites - Urine,PHTHTE_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PHTHTE_H.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PHTHTE_H.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2013-2014_PHTHTE_H.xpt,URXCOP,URDCOPLC,WTSB2YR,urine,2685,2682,99.88826815642459,True,2005-2006,2017-2018,C573544,mono(carboxy-isooctyl)phthalate
2015-2016,2015,Phthalates and Plasticizers Metabolites - Urine,PHTHTE_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PHTHTE_I.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PHTHTE_I.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2015-2016_PHTHTE_I.xpt,URXCOP,URDCOPLC,WTSB2YR,urine,2975,2959,99.46218487394958,True,2005-2006,2017-2018,C573544,mono(carboxy-isooctyl)phthalate
2017-2018,2017,Phthalates and Plasticizers Metabolites - Urine,PHTHTE_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PHTHTE_J.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PHTHTE_J.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2017-2018_PHTHTE_J.xpt,URXCOP,URDCOPLC,WTSB2YR,urine,2762,2748,99.49312092686459,True,2005-2006,2017-2018,C573544,mono(carboxy-isooctyl)phthalate
1999-2000,1999,Metals - Urine,LAB06HM.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06HM.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06HM.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\1999-2000_LAB06HM.xpt,URXUMO,,WTSHM2YR,urine,2257,2257,100.0,True,1999-2000,2017-2018,D008982,Molybdenum
2001-2002,2001,Metals - Urine,L06HM_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06HM_B.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06HM_B.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2001-2002_L06HM_B.xpt,URXUMO,,WTSHM2YR,urine,2690,2690,100.0,True,1999-2000,2017-2018,D008982,Molybdenum
2003-2004,2003,Metals - Urine,L06HM_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L06HM_C.xpt,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L06HM_C.htm,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\environmental_xpt\2003-2004_L06HM_C.xpt,URXUMO,URDUMOLC,WTSA2YR,urine,2558,2555,99.88272087568413,True,1999-2000,2017-2018,D008982,Molybdenum
