cycle,cycle_begin_year,laboratory_title,doc_url,data_url,data_file,environmental_domain,catalog_source
1999-2000,1999,"Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06.xpt,LAB06.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_1999.html
1999-2000,1999,"Dioxins, Furans, & Coplanar PCBs",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB28POC.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB28POC.xpt,LAB28POC.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_1999.html
1999-2000,1999,Metals - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06HM.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB06HM.xpt,LAB06HM.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_1999.html
1999-2000,1999,Perfluoroalkyl Chemicals - Serum (Surplus),https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSPFC_A.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/SSPFC_A.xpt,SSPFC_A.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_1999.html
1999-2000,1999,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB26PP.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB26PP.xpt,LAB26PP.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_1999.html
1999-2000,1999,"Phthalates, Phytoestrogens & PAHs - Urine PHPYPA Urinary Phthalates",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/PHPYPA.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/PHPYPA.xpt,PHPYPA.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_1999.html
1999-2000,1999,Volatile Organic Compounds (VOC) - Personal Exposure Badge,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB21.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB21.xpt,LAB21.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_1999.html
1999-2000,1999,Volatile Organic Compounds - Blood & Water,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB04.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/1999/DataFiles/LAB04.xpt,LAB04.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_1999.html
2001-2002,2001,Brominated Flame Retardants (BFRs) - Pooled Samples (Surplus),https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/SSBFR_B.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/SSBFR_B.xpt,SSBFR_B.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2001-2002,2001,"Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06_B.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06_B.xpt,L06_B.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2001-2002,2001,"Cadmium, Lead, Total Mercury, Ferritin, Serum Folate, RBC Folate, Vitamin B12, Homocysteine, Methylmalonic acid, Cotinine - Blood, Second Exam",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06_2_B.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06_2_B.xpt,L06_2_B.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2001-2002,2001,"Dioxins, Furans, & Coplanar PCBs",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L28POC_B.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L28POC_B.xpt,L28POC_B.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2001-2002,2001,Metals - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06HM_B.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L06HM_B.xpt,L06HM_B.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2001-2002,2001,Non-dioxin-like Polychlorinated Biphenyls - Pooled Samples (Surplus Sera),https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/SSPCB_B.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/SSPCB_B.xpt,SSPCB_B.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2001-2002,2001,"Pesticides - Current Use - Urine (Formerly Priority Pesticides, Non-persistent Pesticide Metabolites)",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L26PP_B.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L26PP_B.xpt,L26PP_B.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2001-2002,2001,Pesticides - Organochlorine Metabolites - Serum - Pooled Samples (Surplus),https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/SSPST_B.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/SSPST_B.xpt,SSPST_B.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2001-2002,2001,"Phthalates, Phytoestrogens & PAHs - Urine",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PHPYPA_B.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PHPYPA_B.xpt,PHPYPA_B.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2001-2002,2001,Polyfluoroalkyl Chemicals - Pooled Samples (Surplus),https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PFC_POOL.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/PFC_POOL.xpt,PFC_POOL.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2001-2002,2001,Volatile Organic Compounds - Blood & Water,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L04VOC_B.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2001/DataFiles/L04VOC_B.xpt,L04VOC_B.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2001.html
2003-2004,2003,Brominated Flame Retardants (BFRs),https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L28PBE_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L28PBE_C.xpt,L28PBE_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,Cotinine - Serum,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L06COT_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L06COT_C.xpt,L06COT_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,"Dioxins, Furans, & Coplanar PCBs",https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L28DFP_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L28DFP_C.xpt,L28DFP_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,Environmental Phenols,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24EPH_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L24EPH_C.xpt,L24EPH_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,Metals - Urine,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L06HM_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L06HM_C.xpt,L06HM_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
2003-2004,2003,Non-dioxin-like Polychlorinated Biphenyls,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L28NPB_C.htm,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2003/DataFiles/L28NPB_C.xpt,L28NPB_C.xpt,True,C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\catalogs\lab_2003.html
