ChemicalID,degree_matched_empirical_p,degree_matched_bh_fdr,degree_matched_permutations,degree_matched_seed,n_degree_bins
C000595304,1.0,1.0,1000,20260822,20
C000606252,0.25774225774225773,0.8319537605251891,1000,20260822,20
C000611646,0.993006993006993,1.0,1000,20260822,20
C000611729,0.000999000999000999,0.01212423939696667,1000,20260822,20
C000614989,1.0,1.0,1000,20260822,20
C000619812,1.0,1.0,1000,20260822,20
C000655605,0.7722277722277723,1.0,1000,20260822,20
C000705689,1.0,1.0,1000,20260822,20
C000705701,1.0,1.0,1000,20260822,20
C000720090,1.0,1.0,1000,20260822,20
C000720111,0.7202797202797203,1.0,1000,20260822,20
C000720114,0.9020979020979021,1.0,1000,20260822,20
C000720115,0.001998001998001998,0.02133866133866134,1000,20260822,20
C000720117,0.5814185814185814,1.0,1000,20260822,20
C000720141,1.0,1.0,1000,20260822,20
C000720151,1.0,1.0,1000,20260822,20
C000720250,1.0,1.0,1000,20260822,20
C000730470,1.0,1.0,1000,20260822,20
C000730511,1.0,1.0,1000,20260822,20
C002462,1.0,1.0,1000,20260822,20
C002615,1.0,1.0,1000,20260822,20
C005020,0.14685314685314685,0.612652972027972,1000,20260822,20
C006703,0.5024975024975025,1.0,1000,20260822,20
C006710,1.0,1.0,1000,20260822,20
C006718,0.026973026973026972,0.17565361467800492,1000,20260822,20
C006780,0.000999000999000999,0.01212423939696667,1000,20260822,20
C007379,0.5474525474525475,1.0,1000,20260822,20
C007738,0.17782217782217782,0.6540445855514349,1000,20260822,20
C008422,1.0,1.0,1000,20260822,20
C008745,0.2947052947052947,0.9257213374860435,1000,20260822,20
C009005,1.0,1.0,1000,20260822,20
C009590,1.0,1.0,1000,20260822,20
C010715,0.7672327672327672,1.0,1000,20260822,20
C011363,0.14985014985014986,0.6155383078460002,1000,20260822,20
C012125,0.6673326673326674,1.0,1000,20260822,20
C013707,1.0,1.0,1000,20260822,20
C014844,1.0,1.0,1000,20260822,20
C015428,1.0,1.0,1000,20260822,20
C015531,0.000999000999000999,0.01212423939696667,1000,20260822,20
C015559,0.9660339660339661,1.0,1000,20260822,20
C016599,0.003996003996003996,0.035564435564435566,1000,20260822,20
C017461,0.003996003996003996,0.035564435564435566,1000,20260822,20
C017557,0.6073926073926074,1.0,1000,20260822,20
C017558,0.42857142857142855,1.0,1000,20260822,20
C018021,0.987012987012987,1.0,1000,20260822,20
C018520,0.18281718281718282,0.6596241596241597,1000,20260822,20
C019174,0.13886113886113885,0.5979987754181302,1000,20260822,20
C019273,0.03396603396603397,0.20153180153180156,1000,20260822,20
C020758,0.3856143856143856,1.0,1000,20260822,20
C020809,0.029970029970029972,0.1905237619523334,1000,20260822,20
C021146,1.0,1.0,1000,20260822,20
C022838,0.4095904095904096,1.0,1000,20260822,20
C022921,0.08591408591408592,0.4096260881975168,1000,20260822,20
C023036,0.6783216783216783,1.0,1000,20260822,20
C023389,1.0,1.0,1000,20260822,20
C024687,1.0,1.0,1000,20260822,20
C025605,0.8781218781218781,1.0,1000,20260822,20
C025700,1.0,1.0,1000,20260822,20
C025968,1.0,1.0,1000,20260822,20
C026105,0.03196803196803197,0.1984991752433613,1000,20260822,20
C026305,0.8861138861138861,1.0,1000,20260822,20
C026487,0.001998001998001998,0.02133866133866134,1000,20260822,20
C027235,0.07992007992007992,0.38797566070293343,1000,20260822,20
C027384,1.0,1.0,1000,20260822,20
C027387,0.017982017982017984,0.12310766156920004,1000,20260822,20
C027561,0.000999000999000999,0.01212423939696667,1000,20260822,20
C027704,1.0,1.0,1000,20260822,20
C027718,0.13886113886113885,0.5979987754181302,1000,20260822,20
C028007,0.000999000999000999,0.01212423939696667,1000,20260822,20
C028019,1.0,1.0,1000,20260822,20
C028031,0.017982017982017984,0.12310766156920004,1000,20260822,20
C028044,1.0,1.0,1000,20260822,20
C028419,0.16383616383616384,0.6432978785919963,1000,20260822,20
C028519,1.0,1.0,1000,20260822,20
C028541,0.4145854145854146,1.0,1000,20260822,20
C028577,0.000999000999000999,0.01212423939696667,1000,20260822,20
C029126,1.0,1.0,1000,20260822,20
C029823,1.0,1.0,1000,20260822,20
C029891,0.8621378621378621,1.0,1000,20260822,20
C029938,0.9410589410589411,1.0,1000,20260822,20
C030174,1.0,1.0,1000,20260822,20
C030935,0.06293706293706294,0.3282870975178668,1000,20260822,20
C031180,0.5714285714285714,1.0,1000,20260822,20
C031181,0.12487512487512488,0.5556943056943058,1000,20260822,20
C031195,1.0,1.0,1000,20260822,20
C031721,0.4785214785214785,1.0,1000,20260822,20
C031895,1.0,1.0,1000,20260822,20
C031969,1.0,1.0,1000,20260822,20
C032121,0.000999000999000999,0.01212423939696667,1000,20260822,20
C032279,0.24175824175824176,0.8232508232508233,1000,20260822,20
C033093,1.0,1.0,1000,20260822,20
C033094,0.916083916083916,1.0,1000,20260822,20
C033729,0.17582417582417584,0.6540445855514349,1000,20260822,20
C034020,0.37962037962037964,1.0,1000,20260822,20
C034171,0.45754245754245754,1.0,1000,20260822,20
C035197,0.14585414585414586,0.612652972027972,1000,20260822,20
C035983,0.3206793206793207,0.9841537772572255,1000,20260822,20
C036042,1.0,1.0,1000,20260822,20
C036567,0.8261738261738262,1.0,1000,20260822,20
C037431,1.0,1.0,1000,20260822,20
C037554,1.0,1.0,1000,20260822,20
C040654,0.24675324675324675,0.8232508232508233,1000,20260822,20
C041260,0.1008991008991009,0.46448379206999896,1000,20260822,20
C041507,1.0,1.0,1000,20260822,20
C041508,0.22277722277722278,0.7724872530067336,1000,20260822,20
C041509,1.0,1.0,1000,20260822,20
C041511,1.0,1.0,1000,20260822,20
C041512,1.0,1.0,1000,20260822,20
C041513,1.0,1.0,1000,20260822,20
C041517,0.6723276723276723,1.0,1000,20260822,20
C042080,0.3986013986013986,1.0,1000,20260822,20
C042552,1.0,1.0,1000,20260822,20
C042553,1.0,1.0,1000,20260822,20
C042881,1.0,1.0,1000,20260822,20
C043041,0.17282717282717283,0.6540445855514349,1000,20260822,20
C043055,0.000999000999000999,0.01212423939696667,1000,20260822,20
C043103,1.0,1.0,1000,20260822,20
C044659,1.0,1.0,1000,20260822,20
C045076,1.0,1.0,1000,20260822,20
C046962,1.0,1.0,1000,20260822,20
C047249,1.0,1.0,1000,20260822,20
C047969,0.24975024975024976,0.8232508232508233,1000,20260822,20
C047971,0.000999000999000999,0.01212423939696667,1000,20260822,20
C049051,1.0,1.0,1000,20260822,20
C049098,0.25874125874125875,0.8319537605251891,1000,20260822,20
C049841,0.16083916083916083,0.6409560588665065,1000,20260822,20
C050718,1.0,1.0,1000,20260822,20
C051070,1.0,1.0,1000,20260822,20
C051446,1.0,1.0,1000,20260822,20
C051450,0.017982017982017984,0.12310766156920004,1000,20260822,20
C053035,1.0,1.0,1000,20260822,20
C053036,1.0,1.0,1000,20260822,20
C054672,1.0,1.0,1000,20260822,20
C056699,0.34265734265734266,1.0,1000,20260822,20
C058039,1.0,1.0,1000,20260822,20
C059768,1.0,1.0,1000,20260822,20
C060728,0.7462537462537463,1.0,1000,20260822,20
C061374,0.5664335664335665,1.0,1000,20260822,20
C063006,1.0,1.0,1000,20260822,20
C063732,0.45554445554445555,1.0,1000,20260822,20
C063900,0.8771228771228772,1.0,1000,20260822,20
C065011,1.0,1.0,1000,20260822,20
C065012,1.0,1.0,1000,20260822,20
C073340,0.21978021978021978,0.7721226142278773,1000,20260822,20
C074702,0.008991008991008992,0.07274543638180003,1000,20260822,20
C076994,0.000999000999000999,0.01212423939696667,1000,20260822,20
C080276,0.014985014985014986,0.11113886113886114,1000,20260822,20
C082290,1.0,1.0,1000,20260822,20
C086511,1.0,1.0,1000,20260822,20
C089799,0.3096903096903097,0.9614803800850312,1000,20260822,20
C091696,1.0,1.0,1000,20260822,20
C093581,1.0,1.0,1000,20260822,20
C093582,1.0,1.0,1000,20260822,20
C095210,1.0,1.0,1000,20260822,20
C096666,1.0,1.0,1000,20260822,20
C098123,1.0,1.0,1000,20260822,20
C099343,1.0,1.0,1000,20260822,20
C100422,1.0,1.0,1000,20260822,20
C101815,0.9500499500499501,1.0,1000,20260822,20
C101816,0.9400599400599401,1.0,1000,20260822,20
C103325,0.000999000999000999,0.01212423939696667,1000,20260822,20
C106479,0.41358641358641357,1.0,1000,20260822,20
C108042,0.3826173826173826,1.0,1000,20260822,20
C110144,1.0,1.0,1000,20260822,20
C113497,1.0,1.0,1000,20260822,20
C115112,1.0,1.0,1000,20260822,20
C115612,1.0,1.0,1000,20260822,20
C116689,1.0,1.0,1000,20260822,20
C117619,1.0,1.0,1000,20260822,20
C402363,1.0,1.0,1000,20260822,20
C423915,0.989010989010989,1.0,1000,20260822,20
C434863,1.0,1.0,1000,20260822,20
C447880,1.0,1.0,1000,20260822,20
C466921,1.0,1.0,1000,20260822,20
C471071,0.8751248751248751,1.0,1000,20260822,20
C471400,0.003996003996003996,0.035564435564435566,1000,20260822,20
