ChemicalID,ChemicalName,CasRN,PubChemCID,DTXSID,InChIKey,Definition,ParentIDs,TreeNumbers,ParentTreeNumbers,chemical_class,classification_rule_prefixes,is_core,drug_like_exclusion,drugcentral_match,pah_formula,pah_structure_valid,classification_exclusion_reason,drugbank_field_available,n_raw_interaction_rows,n_unique_chemical_gene_pairs,n_unique_pmids,scope,gene_cards_k,gene_cards_available_n,gene_cards_actual_n,background,n_universe,n_crc_genes_in_universe,n_ctd_human_genes,crc_overlap,non_crc_interacting,crc_non_interacting,non_crc_non_interacting,odds_ratio,log2_odds_ratio,enrichment_ratio,fisher_p,hypergeom_p,rank_weighted_overlap,mean_overlap_rank_weight,top_overlap_genes,stable_for_primary_sort,bh_fdr,hypergeom_bh_fdr,unfiltered_rank,stable_rank
C027561,butylbenzyl phthalate,85-68-7,CID:2347,DTXSID3020205,IRIAEXORFWYRCZ-UHFFFAOYSA-N,,MESH:D010795,D02.241.223.805/C027561,D02.241.223.805,phthalates,D02.241.223.805,True,False,False,,False,,False,449.0,214.0,54.0,GeneCards_Disorders,1000,585,585,U_core,22786,585,214,28,186,557,22015,5.9498851373525605,2.5728618174337967,5.096317597252176,1.6567012890266213e-12,1.6567012890266213e-12,4.298226117908585,0.15350807563959232,PTEN;ATM;TP53;CDH1;EGFR;PDGFRA;AKT1;MIR19A;CTNNB1;PPARG,True,4.423392441701079e-10,4.423392441701079e-10,1,1
C103325,mono-benzyl phthalate,2528-16-7,CID:31736,DTXSID9043938,XIKIUQUXDNHBFR-UHFFFAOYSA-N,,MESH:D010795,D02.241.223.805/C103325,D02.241.223.805,phthalates,D02.241.223.805,True,False,False,,False,,False,108.0,87.0,20.0,GeneCards_Disorders,1000,585,585,U_core,22786,585,87,18,69,567,22132,10.182654704393835,3.348041828164739,8.058709106984969,6.735878552346604e-12,6.735878552346604e-12,2.508807777583816,0.13937820986576754,TP53;CASP8;MALAT1;PPARG;BAX;CCND1;MIR126;MIR143;MIR221;MIR141,True,8.992397867382716e-10,8.992397867382716e-10,2,2
C028007,nickel monoxide,1313-99-1,CID:179931,DTXSID7025710,KVAWBJDCAFOHRG-UHFFFAOYSA-N,,MESH:D009532,D01.268.556.607/C028007|D01.268.956.625/C028007|D01.552.544.607/C028007,D01.268.556.607|D01.268.956.625|D01.552.544.607,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,,False,168.0,45.0,13.0,GeneCards_Disorders,1000,585,585,U_core,22786,585,45,11,34,574,22167,12.49420987907358,3.6431877646525432,9.521215574548908,1.3379600761822139e-08,1.3379600761822139e-08,1.684864415006958,0.1531694922733598,ATM;CDH1;AKT1;PIK3R1;SMO;BAX;JUN;MEG3;HOTAIRM1;IL1B,True,1.1907844678021702e-06,1.1907844678021702e-06,3,3
D003300,Copper,7440-50-8,,DTXSID2023985,RYGMFSIKBFXOCR-UHFFFAOYSA-N,"A heavy metal trace element with the atomic symbol Cu, atomic number 29, and atomic weight 63.55.",MESH:D019216|MESH:D028561,D01.268.556.195|D01.268.956.170|D01.552.544.195,D01.268.556|D01.268.956|D01.552.544,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,,False,4674.0,3542.0,284.0,GeneCards_Disorders,1000,585,585,U_core,22786,585,3542,138,3404,447,18797,1.7047886812987485,0.7695929196971365,1.5175491175491174,1.7341384815490266e-07,1.7341384815490266e-07,21.860014742612442,0.1584059039319742,MSH6;MLH1;MSH2;EPCAM;CHEK2;POLD1;APC;BRAF;SMAD4;NTHL1,True,1.1575374364339752e-05,1.1575374364339752e-05,4,4
C028577,monobutyl phthalate,131-70-4,CID:8575,DTXSID4040002,YZBOVSFWWNVKRJ-UHFFFAOYSA-N,,MESH:D010795,D02.241.223.805/C028577,D02.241.223.805,phthalates,D02.241.223.805,True,False,False,,False,,False,108.0,84.0,26.0,GeneCards_Disorders,1000,585,585,U_core,22786,585,84,13,71,572,22130,7.083866837387964,2.8245370925463944,6.028042328042328,2.17561826858334e-07,2.17561826858334e-07,1.8995192594372337,0.1461168661105564,TP53;BRCA1;CASP8;BUB1B;NFE2L2;PPARG;BAX;MIR141;NBR2;SPRY4-AS1,True,1.1617801554235037e-05,1.1617801554235037e-05,5,5
D012834,Silver,7440-22-4,,DTXSID4024305,BQCADISMDOOEFD-UHFFFAOYSA-N,"An element with the atomic symbol Ag, atomic number 47, and atomic weight 107.87. It is a soft metal that is used medically in surgical instruments, dental prostheses, and alloys. Long-continued use of silver salts can lead to a form of poisoning known as ARGYRIA.",MESH:D019216|MESH:D028561,D01.268.556.812|D01.268.956.843|D01.552.544.812,D01.268.556|D01.268.956|D01.552.544,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,,False,1060.0,873.0,46.0,GeneCards_Disorders,1000,585,585,U_core,22786,585,873,48,825,537,21376,2.316004740138818,1.2116382060766175,2.1416042529444588,6.739500340784037e-07,6.739500340784037e-07,7.404006305184761,0.15425013135801588,MSH6;TP53;PALB2;RNF43;SMAD7;MIR19A;FGFR3;NFE2L2;SOX9;SOD2,True,2.9990776516488967e-05,2.9990776516488967e-05,6,6
C016599,mono-(2-ethylhexyl)phthalate,4376-20-9,CID:20393,DTXSID2025680,DJDSLBVSSOQSLW-UHFFFAOYSA-N,,MESH:D004051,D02.241.223.805.250/C016599,D02.241.223.805.250,phthalates,D02.241.223.805,True,False,False,,False,,False,1513.0,1118.0,94.0,GeneCards_Disorders,1000,585,585,U_core,22786,585,1118,56,1062,529,21139,2.107134592860779,1.0752824689967753,1.951005305567023,1.4882609446034345e-06,1.4882609446034345e-06,8.257615703191513,0.147457423271277,CHEK2;POLD1;NTHL1;PTEN;TP53;PIK3CA;PLA2G2A;SCG5;AKT1;CASP8,True,5.676652460130243e-05,5.676652460130243e-05,7,7
C000611729,"ammonium 2,3,3,3-tetrafluoro-2-(heptafluoropropoxy)-propanoate",,,,,,MESH:D005466|MESH:D011422,D02.241.081.751/C000611729|D02.455.526.510.435/C000611729|D10.251.400.706/C000611729,D02.241.081.751|D02.455.526.510.435|D10.251.400.706,pfas_perfluoro,D02.455.526.510.435,True,False,False,,False,,False,189.0,175.0,14.0,GeneCards_Disorders,1000,585,585,U_core,22786,585,175,17,158,568,22043,4.175554911748975,2.0619679377615685,3.7837557997557996,2.9079913527215077e-06,2.9079913527215077e-06,2.8112260726523064,0.1653662395677827,ATM;KRAS;TP53;CDH1;EGFR;NRAS;PDGFRA;CTNNB1;HRAS;PPARG,True,9.705421139708032e-05,9.705421139708032e-05,8,8
C074702,chromium hexavalent ion,18540-29-9,CID:29131,DTXSID7023982,JOPOVCBBYLSVDA-UHFFFAOYSA-N,,MESH:D002857,D01.268.556.175/C074702|D01.268.956.124/C074702|D01.552.544.175/C074702,D01.268.556.175|D01.268.956.124|D01.552.544.175,heavy_metals,D01.268.556;D01.552.544,True,False,False,,False,,False,2028.0,1632.0,85.0,GeneCards_Disorders,1000,585,585,U_core,22786,585,1632,72,1560,513,20641,1.8570400359874044,0.8930049187185999,1.7184012066365006,4.686912725452947e-06,4.686912725452947e-06,12.875123172719828,0.17882115517666428,MSH6;MLH1;MSH2;EPCAM;POLE;CHEK2;POLD1;ATM;TP53;BRCA2,True,0.00013904507752177076,0.00013904507752177076,9,9
D015127,"9,10-Dimethyl-1,2-benzanthracene",57-97-6,CID:6001,DTXSID1020510,ARSRBNBHOADGJU-UHFFFAOYSA-N,Polycyclic aromatic hydrocarbon found in tobacco smoke that is a potent carcinogen.,MESH:D001551,D02.455.426.559.847.149.301|D04.615.149.301,D02.455.426.559.847.149|D04.615.149,pahs,D02.455.426.559.847,True,False,False,C20H16,True,,False,188.0,79.0,38.0,GeneCards_Disorders,1000,585,585,U_core,22786,585,79,11,68,574,22133,6.237523058003689,2.640973243613199,5.423477226008871,5.41131588007267e-06,5.41131588007267e-06,1.7903798416016015,0.16276180378196375,TP53;CDH1;BRCA1;CTNNB1;HRAS;PPARG;MYC;SOD2;BAX;CCND1,True,0.00014448213399794027,0.00014448213399794027,10,10
