donor_id,condition,state,cell_count,state_fraction,n_paired_donors,paired_median_delta,paired_wilcoxon_P,paired_BH_FDR,paired_direction
C106,normal,enterocyte-like annotation,452.0,0.6251728907330567,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C106,normal,other epithelial annotation,34.0,0.04702627939142462,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C106,normal,secretory-like annotation,237.0,0.3278008298755187,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C106,tumor,enterocyte-like annotation,39.0,0.14661654135338345,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C106,tumor,other epithelial annotation,2.0,0.007518796992481203,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C106,tumor,secretory-like annotation,225.0,0.8458646616541353,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C107,normal,enterocyte-like annotation,181.0,0.4268867924528302,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C107,normal,other epithelial annotation,56.0,0.1320754716981132,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C107,normal,secretory-like annotation,187.0,0.4410377358490566,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C107,tumor,enterocyte-like annotation,136.0,0.4689655172413793,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C107,tumor,other epithelial annotation,2.0,0.006896551724137931,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C107,tumor,secretory-like annotation,152.0,0.5241379310344828,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C109,normal,enterocyte-like annotation,704.0,0.640582347588717,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C109,normal,other epithelial annotation,251.0,0.2283894449499545,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C109,normal,secretory-like annotation,144.0,0.13102820746132848,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C109,tumor,enterocyte-like annotation,57.0,0.7702702702702703,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C109,tumor,other epithelial annotation,0.0,0.0,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C109,tumor,secretory-like annotation,17.0,0.22972972972972974,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C110,normal,enterocyte-like annotation,218.0,0.5989010989010989,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C110,normal,other epithelial annotation,55.0,0.1510989010989011,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C110,normal,secretory-like annotation,91.0,0.25,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C110,tumor,enterocyte-like annotation,8.0,0.03571428571428571,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C110,tumor,other epithelial annotation,9.0,0.04017857142857143,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C110,tumor,secretory-like annotation,207.0,0.9241071428571429,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C111,normal,enterocyte-like annotation,232.0,0.4793388429752066,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C111,normal,other epithelial annotation,22.0,0.045454545454545456,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C111,normal,secretory-like annotation,230.0,0.47520661157024796,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C111,tumor,enterocyte-like annotation,29.0,0.31868131868131866,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C111,tumor,other epithelial annotation,1.0,0.01098901098901099,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C111,tumor,secretory-like annotation,61.0,0.6703296703296703,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C112,normal,enterocyte-like annotation,201.0,0.430406852248394,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C112,normal,other epithelial annotation,88.0,0.18843683083511778,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C112,normal,secretory-like annotation,178.0,0.3811563169164882,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C112,tumor,enterocyte-like annotation,32.0,0.7111111111111111,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C112,tumor,other epithelial annotation,1.0,0.022222222222222223,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C112,tumor,secretory-like annotation,12.0,0.26666666666666666,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C113,normal,enterocyte-like annotation,123.0,0.462406015037594,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C113,normal,other epithelial annotation,35.0,0.13157894736842105,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C113,normal,secretory-like annotation,108.0,0.40601503759398494,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C113,tumor,enterocyte-like annotation,293.0,0.572265625,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C113,tumor,other epithelial annotation,16.0,0.03125,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C113,tumor,secretory-like annotation,203.0,0.396484375,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C114,normal,enterocyte-like annotation,175.0,0.6097560975609756,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C114,normal,other epithelial annotation,36.0,0.1254355400696864,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C114,normal,secretory-like annotation,76.0,0.26480836236933797,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C114,tumor,enterocyte-like annotation,130.0,0.43478260869565216,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C114,tumor,other epithelial annotation,10.0,0.033444816053511704,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C114,tumor,secretory-like annotation,159.0,0.5317725752508361,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C115,normal,enterocyte-like annotation,102.0,0.5074626865671642,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C115,normal,other epithelial annotation,78.0,0.3880597014925373,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C115,normal,secretory-like annotation,21.0,0.1044776119402985,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C115,tumor,enterocyte-like annotation,13.0,0.15294117647058825,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C115,tumor,other epithelial annotation,0.0,0.0,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C115,tumor,secretory-like annotation,72.0,0.8470588235294118,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C116,normal,enterocyte-like annotation,355.0,0.5670926517571885,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C116,normal,other epithelial annotation,67.0,0.10702875399361023,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C116,normal,secretory-like annotation,204.0,0.3258785942492013,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C116,tumor,enterocyte-like annotation,98.0,0.6363636363636364,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C116,tumor,other epithelial annotation,2.0,0.012987012987012988,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C116,tumor,secretory-like annotation,54.0,0.35064935064935066,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C119,normal,enterocyte-like annotation,19.0,0.8636363636363636,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C119,normal,other epithelial annotation,1.0,0.045454545454545456,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C119,normal,secretory-like annotation,2.0,0.09090909090909091,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C119,tumor,enterocyte-like annotation,12.0,0.3333333333333333,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C119,tumor,other epithelial annotation,1.0,0.027777777777777776,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C119,tumor,secretory-like annotation,23.0,0.6388888888888888,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C122,normal,enterocyte-like annotation,740.0,0.49432197728790916,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C122,normal,other epithelial annotation,96.0,0.06412825651302605,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C122,normal,secretory-like annotation,661.0,0.4415497661990648,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C122,tumor,enterocyte-like annotation,248.0,0.6775956284153005,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C122,tumor,other epithelial annotation,6.0,0.01639344262295082,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C122,tumor,secretory-like annotation,112.0,0.30601092896174864,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C123,normal,enterocyte-like annotation,524.0,0.5374358974358975,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C123,normal,other epithelial annotation,91.0,0.09333333333333334,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C123,normal,secretory-like annotation,360.0,0.36923076923076925,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C123,tumor,enterocyte-like annotation,254.0,0.5866050808314087,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C123,tumor,other epithelial annotation,39.0,0.09006928406466513,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C123,tumor,secretory-like annotation,140.0,0.3233256351039261,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C124,normal,enterocyte-like annotation,1772.0,0.31065918653576435,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C124,normal,other epithelial annotation,2960.0,0.5189340813464236,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
