definition,n_paired_donors,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,p_value,direction,donor_consistency,source_gene_count,genes_present,coverage,gene_symbols_present,scoring_method,score_name,score_source,n_genes,BH_FDR,median_delta,mean_delta,wilcoxon_P
Frozen 7-gene PPAR/NR core,36,-0.548313739816447,-0.4186007613938946,4.2922329157590866e-07,down,0.8055555555555556,7.0,7.0,1.0,NR1H2;NR1H3;NR1I2;NR1I3;PPARA;PPARD;PPARG,frozen Phase 2F targeted 9-gene-denominator score,Frozen 7-gene PPAR/NR core,prespecified Phase 2F core,7.0,9.299837984144688e-07,-0.4186007613938946,-0.548313739816447,4.2922329157590866e-07
PPAR receptor-only module,36,-0.7133780560005392,-0.5290479514079232,7.114140316843987e-07,down,0.8611111111111112,3.0,3.0,1.0,PPARA;PPARD;PPARG,mean gene-wise z score of donor pseudobulk target-universe logCPM; 36 paired donors,PPAR receptor-only module,prespecified receptor decomposition,3.0,1.3211974874138832e-06,-0.5290479514079232,-0.7133780560005392,7.114140316843987e-07
NR partner module,36,-0.8613549766142559,-0.6613253010447325,2.6309862732887268e-08,down,0.8888888888888888,4.0,4.0,1.0,NR1H2;NR1H3;NR1I2;NR1I3,mean gene-wise z score of donor pseudobulk target-universe logCPM; 36 paired donors,NR partner module,prespecified receptor decomposition,4.0,8.550705388188362e-08,-0.6613253010447325,-0.8613549766142559,2.6309862732887268e-08
KEGG hsa03320 PPAR signaling,36,-0.35914978252642105,-0.27578054943520103,2.1232612198218703e-05,down,0.8333333333333334,77.0,51.0,0.6623376623376623,ACAA1;ACADL;ACADM;ACOX1;ACOX2;ACSL1;ACSL3;ACSL4;ACSL5;ADIPOQ;ANGPTL4;APOA1;APOA5;APOC3;AQP7;CD36;CPT1A;CPT1B;CPT2;CYP27A1;CYP7A1;DBI;EHHADH;FABP1;FABP2;FABP3;FABP4;FABP5;FADS2;GK;HMGCS1;HMGCS2;ILK;LPL;ME1;ME3;MMP1;NR1H3;OLR1;PCK1;PCK2;PDPK1;PLIN2;PPARA;PPARD;PPARG;RXRA;SCD;SORBS1;UBC;UCP1,mean gene-wise z score of donor pseudobulk target-universe logCPM; 36 paired donors,KEGG hsa03320 PPAR signaling,KEGG hsa03320; retrieved 2026-08-24,77.0,2.7602395857684314e-05,-0.27578054943520103,-0.35914978252642105,2.1232612198218703e-05
Reactome nuclear receptor transcription,36,-0.428155995850531,-0.30015635617648456,4.886940587311983e-06,down,0.8333333333333334,53.0,23.0,0.4339622641509434,AR;ESR1;ESR2;HNF4A;NCOR2;NR1D1;NR1H2;NR1H3;NR1I2;NR1I3;NR3C1;NR4A1;NR4A2;NR4A3;PGR;PPARA;PPARD;PPARG;RARA;RARB;RORA;RXRA;VDR,mean gene-wise z score of donor pseudobulk target-universe logCPM; 36 paired donors,Reactome nuclear receptor transcription,MSigDB Reactome v2026.1,53.0,7.058914181672864e-06,-0.30015635617648456,-0.428155995850531,4.886940587311983e-06
Reactome PPAR-alpha lipid regulation,36,-0.21100936773823267,-0.143645610946417,0.02005367778474465,down,0.6944444444444444,118.0,57.0,0.4830508474576271,ABCA1;ACADM;ACOX1;ACSL1;AGT;AHR;ALAS1;ANGPTL4;ANKRD1;APOA1;APOA5;ARNT;CD36;CHD9;CPT1A;CPT2;CREBBP;CYP1A1;CYP4A11;CYP7A1;FABP1;FDFT1;FHL2;G0S2;GLIPR1;HDAC3;HELZ2;HMGCR;HMGCS1;HMGCS2;ME1;MED15;MED24;MED4;NCOA3;NCOR2;NFYA;NFYB;NFYC;NR1D1;NR1H2;NR1H3;PLIN2;PPARA;PPARG;PPARGC1A;RORA;RXRA;SP1;SREBF1;SREBF2;TBL1XR1;THRAP3;TIAM2;TNFRSF21;TRIB3;TXNRD1,mean gene-wise z score of donor pseudobulk target-universe logCPM; 36 paired donors,Reactome PPAR-alpha lipid regulation,MSigDB Reactome v2026.1,118.0,0.021724817600140035,-0.143645610946417,-0.21100936773823267,0.02005367778474465
Reactome peroxisomal lipid metabolism,36,-0.7231636303056823,-0.6281646271434682,1.0797521099448204e-08,down,0.9166666666666666,28.0,13.0,0.4642857142857143,ABCD1;ACAA1;ACOT8;ACOX1;ACOX2;ALDH3A2;CRAT;ECI2;EHHADH;HAO2;HSD17B4;MLYCD;PHYH,mean gene-wise z score of donor pseudobulk target-universe logCPM; 36 paired donors,Reactome peroxisomal lipid metabolism,MSigDB Reactome v2026.1,28.0,4.678925809760888e-08,-0.6281646271434682,-0.7231636303056823,1.0797521099448204e-08
Reactome mitochondrial fatty-acid beta oxidation,36,-0.7209052810867331,-0.5562598699714346,2.0372681319713593e-09,down,0.8888888888888888,37.0,19.0,0.5135135135135135,ACAA2;ACADL;ACADM;ACADS;ACADVL;ACOT2;ACOT7;ACSM3;DBI;DECR1;ECHS1;ECI1;HADH;HADHA;HADHB;MCAT;MCEE;NDUFAB1;PCCA,mean gene-wise z score of donor pseudobulk target-universe logCPM; 36 paired donors,Reactome mitochondrial fatty-acid beta oxidation,MSigDB Reactome v2026.1,37.0,1.3242242857813835e-08,-0.5562598699714346,-0.7209052810867331,2.0372681319713593e-09
Hallmark fatty acid metabolism,36,-0.28892139616081847,-0.23547911841526187,0.00018572056433185935,down,0.8055555555555556,158.0,158.0,1.0,AADAT;ACAA1;ACAA2;ACADL;ACADM;ACADS;ACADVL;ACAT2;ACO2;ACOT2;ACOT8;ACOX1;ACSL1;ACSL4;ACSL5;ACSM3;ACSS1;ADH1C;ADH7;ADIPOR2;ADSL;ALAD;ALDH1A1;ALDH3A1;ALDH3A2;ALDH9A1;ALDOA;AOC3;APEX1;AQP7;AUH;BCKDHB;BLVRA;BMPR1B;BPHL;CA2;CA4;CA6;CBR1;CBR3;CD1D;CD36;CEL;CIDEA;CPOX;CPT1A;CPT2;CRAT;CRYZ;CYP1A1;CYP4A11;CYP4A22;D2HGDH;DECR1;DHCR24;DLD;DLST;ECH1;ECHS1;ECI1;ECI2;EHHADH;ELOVL5;ENO2;ENO3;EPHX1;ERP29;ETFDH;FABP1;FABP2;FASN;FH;FMO1;G0S2;GABARAPL1;GAD2;GAPDHS;GCDH;GLUL;GPD1;GPD2;GRHPR;GSTZ1;H2AZ1;HADH;HADHB;HAO2;HCCS;HIBCH;HMGCL;HMGCS1;HMGCS2;HPGD;HSD17B10;HSD17B11;HSD17B4;HSD17B7;HSDL2;HSP90AA1;HSPH1;IDH1;IDH3B;IDH3G;IDI1;IL4I1;INMT;KMT5A;LDHA;LGALS1;LTC4S;MAOA;MCEE;MDH1;MDH2;ME1;METAP1;MGLL;MIF;MIX23;MLYCD;NBN;NCAPH2;NSDHL;NTHL1;ODC1;OSTC;PCBD1;PDHA1;PDHB;PPARA;PRDX6;PSME1;PTPRG;PTS;RAP1GDS1;RDH11;RDH16;REEP6;RETSAT;S100A10;SDHA;SDHC;SDHD;SERINC1;SLC22A5;SMS;SUCLA2;SUCLG1;SUCLG2;TDO2;TP53INP2;UBE2L6;UGDH;UROD;UROS;VNN1;XIST;YWHAH,mean gene-wise z score of donor pseudobulk target-universe logCPM; 36 paired donors,Hallmark fatty acid metabolism,MSigDB Hallmark v2026.1,158.0,0.00021948793966492468,-0.23547911841526187,-0.28892139616081847,0.00018572056433185935
Hallmark cholesterol homeostasis,36,0.08720517367330832,0.11899428172883153,0.2203658460348379,up,0.5833333333333334,74.0,74.0,1.0,ABCA2;ACAT2;ACSS2;ACTG1;ADH4;ALCAM;ALDOC;ANTXR2;ANXA13;ANXA5;ATF3;ATF5;ATXN2;AVPR1A;CBS;CD9;CHKA;CLU;CPEB2;CTNNB1;CXCL16;CYP51A1;DHCR7;EBP;ECH1;ERRFI1;ETHE1;FABP5;FADS2;FASN;FBXO6;FDFT1;FDPS;GLDC;GNAI1;GPX8;GSTM2;GUSB;HMGCR;HMGCS1;HSD17B7;IDI1;JAG1;LDLR;LGALS3;LGMN;LPL;LSS;MAL2;MVD;MVK;NFIL3;NIBAN1;NSDHL;PCYT2;PDK3;PLAUR;PLSCR1;PMVK;PNRC1;PPARG;S100A11;SC5D;SCD;SEMA3B;SQLE;SREBF2;STARD4;STX5;TM7SF2;TMEM97;TNFRSF12A;TP53INP1;TRIB3,mean gene-wise z score of donor pseudobulk target-universe logCPM; 36 paired donors,Hallmark cholesterol homeostasis,MSigDB Hallmark v2026.1,74.0,0.2203658460348379,0.11899428172883153,0.08720517367330832,0.2203658460348379
