x,y,n_donors,spearman_rho,p_value,BH_FDR
delta_PPAR_NR,delta_TNF_NFkB,36,0.303989703989704,0.07146753798357322,0.12705340085968572
delta_PPAR_NR,delta_IL6_JAK_STAT3,36,0.47464607464607467,0.0034456622192419583,0.013782648876967833
delta_PPAR_NR,delta_Inflammatory_response,36,0.42574002574002573,0.009631509598495095,0.025684025595986922
delta_PPAR_NR,delta_EMT,36,0.27773487773487776,0.10099561474261205,0.16159298358817928
delta_PPAR_NR,delta_E2F_targets,36,0.2548262548262548,0.13364434007085482,0.18983116834574973
delta_PPAR_NR,delta_G2M_checkpoint,36,0.24942084942084944,0.1423733762593123,0.18983116834574973
delta_PPAR_NR,delta_MYC_targets_V1,36,-0.04453024453024454,0.796499518656049,0.8045709817484887
delta_PPAR_NR,delta_Hypoxia,36,0.4293436293436294,0.008972945847679069,0.025684025595986922
delta_PPAR_NR,delta_Fatty_acid_metabolism,36,0.5559845559845561,0.0004304980415068774,0.002295989554703346
delta_PPAR_NR,delta_OXPHOS,36,0.34929214929214936,0.03679182844133975,0.0735836568826795
delta_PPAR_NR,delta_UPR,36,0.07644787644787646,0.657658041299248,0.7516091900562835
delta_PPAR_NR,delta_enterocyte_differentiation,36,0.6447876447876448,2.1884457625058476e-05,0.0003501513220009356
delta_PPAR_NR,delta_intestinal_epithelial_differentiation,36,0.5590733590733591,0.0003935566677563582,0.002295989554703346
delta_PPAR_NR,delta_stress_like_epithelial,36,0.35933075933075936,0.03136873667950738,0.07169996955315973
delta_PPAR_NR,delta_RELA_activity,36,-0.2200772200772201,0.19714005108228863,0.24263390902435525
delta_PPAR_NR,delta_STAT3_activity,36,0.042728442728442735,0.8045709817484887,0.8045709817484887
