GeneID,GeneSymbol,GeneName,GeneType,GeneCards_rank,GeneCards_relevance_score,GeneCards_scope,CTD_ChemicalID,CTD_ChemicalName,CTD_interaction,CTD_action,n_CTD_interaction_rows,n_unique_PMIDs,PMIDs,rank_weight,overlap_status,top10_status
7157,TP53,Tumor Protein P53,Protein Coding,24,22.7,Disorders,C103325,mono-benzyl phthalate,mono-benzyl phthalate results in decreased expression of TP53 mRNA; mono-benzyl phthalate results in increased methylation of TP53 promoter,decreases^expression; increases^methylation,2,1,35487445,0.21533827903669653,True,True
841,CASP8,Caspase 8,Protein Coding,55,14.9,Disorders,C103325,mono-benzyl phthalate,[monoethyl phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with monobutyl phthalate co-treated with mono-isobutyl phthalate co-treated with monoisononylphthalate co-treated with mono-benzyl phthalate] results in increased expression of CASP8 mRNA,affects^cotreatment|increases^expression,1,1,35861251,0.17219543379409813,True,True
378938,MALAT1,Metastasis Associated Lung Adenocarcinoma Transcript 1,RNA Gene,61,14.9,Disorders,C103325,mono-benzyl phthalate,mono-benzyl phthalate affects the expression of MALAT1 mRNA,affects^expression,1,1,29385630,0.16794877895704194,True,True
5468,PPARG,Peroxisome Proliferator Activated Receptor Gamma,Protein Coding,80,14.6,Disorders,C103325,mono-benzyl phthalate,mono-benzyl phthalate binds to PPARG protein; mono-benzyl phthalate results in increased activity of PPARG protein; mono-benzyl phthalate results in increased expression of PPARG protein,affects^binding; increases^activity; increases^expression,3,3,23843199;27551952;29089286,0.15773243839286438,True,True
581,BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,104,14.6,Disorders,C103325,mono-benzyl phthalate,[monoethyl phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with monobutyl phthalate co-treated with mono-isobutyl phthalate co-treated with monoisononylphthalate co-treated with mono-benzyl phthalate] results in increased expression of BAX mRNA,affects^cotreatment|increases^expression,1,1,35861251,0.14893706185882832,True,True
595,CCND1,Cyclin D1,Protein Coding,112,14.6,Disorders,C103325,mono-benzyl phthalate,mono-benzyl phthalate results in decreased methylation of CCND1 promoter; mono-benzyl phthalate results in increased expression of CCND1 mRNA,decreases^methylation; increases^expression,2,1,35487445,0.14662371845531105,True,True
406913,MIR126,MicroRNA 126,RNA Gene,173,14.6,Disorders,C103325,mono-benzyl phthalate,[butylbenzyl phthalate results in increased abundance of mono-benzyl phthalate] which affects the secretion of MIR126,affects^secretion|increases^abundance,1,1,33885134,0.13435544694887797,True,True
406935,MIR143,MicroRNA 143,RNA Gene,180,14.6,Disorders,C103325,mono-benzyl phthalate,[butylbenzyl phthalate results in increased abundance of mono-benzyl phthalate] which affects the secretion of MIR143,affects^secretion|increases^abundance,1,1,33885134,0.13333607317482013,True,True
407006,MIR221,MicroRNA 221,RNA Gene,189,14.6,Disorders,C103325,mono-benzyl phthalate,[butylbenzyl phthalate results in increased abundance of mono-benzyl phthalate] which affects the secretion of MIR221,affects^secretion|increases^abundance,1,1,33885134,0.13210291605819502,True,True
406933,MIR141,MicroRNA 141,RNA Gene,223,14.6,Disorders,C103325,mono-benzyl phthalate,[monoethyl phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with monobutyl phthalate co-treated with mono-isobutyl phthalate co-treated with monoisononylphthalate co-treated with mono-benzyl phthalate] results in increased expression of MIR141 mRNA,affects^cotreatment|increases^expression,1,1,35861251,0.12808435250903813,True,True
407037,MIR320A,MicroRNA 320a,RNA Gene,227,14.6,Disorders,C103325,mono-benzyl phthalate,[butylbenzyl phthalate results in increased abundance of mono-benzyl phthalate] which affects the secretion of MIR320A,affects^secretion|increases^abundance,1,1,33885134,0.12766679963482608,True,False
406914,MIR127,MicroRNA 127,RNA Gene,243,14.6,Disorders,C103325,mono-benzyl phthalate,[butylbenzyl phthalate results in increased abundance of mono-benzyl phthalate] which affects the secretion of MIR127,affects^secretion|increases^abundance,1,1,33885134,0.12609168068946533,True,False
442901,MIR328,MicroRNA 328,RNA Gene,252,14.6,Disorders,C103325,mono-benzyl phthalate,[butylbenzyl phthalate results in increased abundance of mono-benzyl phthalate] which affects the secretion of MIR328,affects^secretion|increases^abundance,1,1,33885134,0.12526629147866908,True,False
574411,MIR451A,MicroRNA 451a,RNA Gene,254,14.6,Disorders,C103325,mono-benzyl phthalate,[butylbenzyl phthalate results in increased abundance of mono-benzyl phthalate] which affects the secretion of MIR451A,affects^secretion|increases^abundance,1,1,33885134,0.12508828986586815,True,False
407014,MIR25,MicroRNA 25,RNA Gene,267,14.6,Disorders,C103325,mono-benzyl phthalate,[butylbenzyl phthalate results in increased abundance of mono-benzyl phthalate] which affects the secretion of MIR25,affects^secretion|increases^abundance,1,1,33885134,0.1239758173245847,True,False
441951,ZFAS1,ZNFX1 Antisense RNA 1,RNA Gene,295,14.6,Disorders,C103325,mono-benzyl phthalate,mono-benzyl phthalate affects the expression of ZFAS1 mRNA,affects^expression,1,1,29385630,0.1218107900078664,True,False
101926941,SPRY4-AS1,SPRY4 Antisense RNA 1,RNA Gene,446,14.6,Disorders,C103325,mono-benzyl phthalate,[mono(2-ethyl-5-hydroxyhexyl) phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with mono(2-ethyl-5-oxohexyl)phthalate co-treated with 2-ethyl-5-carboxypentyl phthalate co-treated with mono-isobutyl phthalate co-treated with mono-benzyl phthalate co-treated with monoethyl phthalate co-treated with monobutyl phthalate] affects the expression of SPRY4-AS1 mRNA,affects^cotreatment|affects^expression,1,1,37160244,0.11358304386814942,True,False
1029,CDKN2A,Cyclin Dependent Kinase Inhibitor 2A,Protein Coding,588,9.4,Disorders,C103325,mono-benzyl phthalate,[monoethyl phthalate co-treated with mono-(2-ethylhexyl)phthalate co-treated with monobutyl phthalate co-treated with mono-isobutyl phthalate co-treated with monoisononylphthalate co-treated with mono-benzyl phthalate] results in decreased expression of CDKN2A mRNA; mono-benzyl phthalate results in decreased expression of CDKN2A mRNA; mono-benzyl phthalate results in increased methylation of CDKN2A promoter,affects^cotreatment|decreases^expression; decreases^expression; increases^methylation,3,2,35487445;35861251,0.1086705655286153,True,False
