cycle,nhanes_total_n,mbzp_available_n,cancer_outcome_available_n,mbzp_crc_outcome_n,crc_cases_n,colon_cases_n,rectal_cases_n,both_colon_rectal_cases_n,controls_non_crc_n,cancer_free_controls_n,lab_rows_n,mcq_rows_n,demo_rows_n,mbzp_weight_column,lab_file,mcq_file,demo_file,crc_definition
1999-2000,9965,2541,1521,1461,9,9,0,0,1452,1356,2648,9493,9965,WTSPH2YR,1999-2000_PHPYPA.XPT,1999-2000_MCQ.XPT,1999-2000_DEMO.XPT,MCQ230A-D contains 16 (Colon) or 31 (Rectum); combined CRC is the union
2001-2002,11039,2782,1713,1647,15,14,1,0,1632,1511,2901,10470,11039,WTSPH2YR,2001-2002_PHPYPA.XPT,2001-2002_MCQ.XPT,2001-2002_DEMO.XPT,MCQ230A-D contains 16 (Colon) or 31 (Rectum); combined CRC is the union
2003-2004,10122,2605,1584,1533,15,15,0,0,1518,1382,2697,9645,10122,WTSB2YR,2003-2004_L24PH.XPT,2003-2004_MCQ.XPT,2003-2004_DEMO.XPT,MCQ230A-D contains 16 (Colon) or 31 (Rectum); combined CRC is the union
2005-2006,10348,2548,1543,1490,6,5,1,0,1484,1367,2638,9822,10348,WTSB2YR,2005-2006_PHTHTE.XPT,2005-2006_MCQ.XPT,2005-2006_DEMO.XPT,MCQ230A-D contains 16 (Colon) or 31 (Rectum); combined CRC is the union
2007-2008,10149,2604,1900,1814,15,15,0,0,1799,1625,2718,9666,10149,WTSB2YR,2007-2008_PHTHTE.XPT,2007-2008_MCQ.XPT,2007-2008_DEMO.XPT,MCQ230A-D contains 16 (Colon) or 31 (Rectum); combined CRC is the union
2009-2010,10537,2749,1967,1914,16,16,2,2,1898,1742,2819,10109,10537,WTSB2YR,2009-2010_PHTHTE.XPT,2009-2010_MCQ.XPT,2009-2010_DEMO.XPT,MCQ230A-D contains 16 (Colon) or 31 (Rectum); combined CRC is the union
2011-2012,9756,2489,1775,1705,11,9,2,0,1694,1569,2594,9364,9756,WTSA2YR,2011-2012_PHTHTE.XPT,2011-2012_MCQ.XPT,2011-2012_DEMO.XPT,MCQ230A-D contains 16 (Colon) or 31 (Rectum); combined CRC is the union
2013-2014,10175,2685,1863,1814,7,7,0,0,1807,1639,2777,9770,10175,WTSB2YR,2013-2014_PHTHTE.XPT,2013-2014_MCQ.XPT,2013-2014_DEMO.XPT,MCQ230A-D contains 16 (Colon) or 31 (Rectum); combined CRC is the union
2015-2016,9971,2975,1751,1690,11,11,0,0,1679,1530,3205,9575,9971,WTSB2YR,2015-2016_PHTHTE.XPT,2015-2016_MCQ.XPT,2015-2016_DEMO.XPT,MCQ230A-D contains 16 (Colon) or 31 (Rectum); combined CRC is the union
2017-2018,9254,2762,1765,1700,10,10,1,1,1690,1538,2986,8897,9254,WTSB2YR,2017-2018_PHTHTE.XPT,2017-2018_MCQ.XPT,2017-2018_DEMO.XPT,MCQ230A-D contains 16 (Colon) or 31 (Rectum); combined CRC is the union
