Dropped_cycle,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message
1999-2000,ok,12603,97,12506,-0.026650621913333235,0.09228781563057328,0.9737013720261483,0.8112978454830571,1.1686144209110974,0.7731820553985198,139,274,135,Newton-IRLS converged
2001-2002,ok,12400,92,12308,-0.033273470870409876,0.09722784220095976,0.967274002153011,0.7980991607680439,1.1723092082200892,0.7327047499228712,138,271,133,Newton-IRLS converged
2003-2004,ok,12491,89,12402,-0.06023177841887629,0.09241303265585411,0.9415462781841236,0.7843025752883384,1.130315546441323,0.5156354110811551,138,271,133,Newton-IRLS converged
2005-2006,ok,12493,98,12395,-0.015659553670777135,0.08993560785041854,0.9844624196273589,0.8240784480766004,1.1760606747095361,0.8620266266106507,138,271,133,Newton-IRLS converged
2007-2008,ok,12303,91,12212,-0.010475692664312955,0.097141506476034,0.9895789863041659,0.8166323057563796,1.199152376451439,0.9142807716658866,137,269,132,Newton-IRLS converged
2009-2010,ok,12205,88,12117,-0.145340377110981,0.07531916942627041,0.8647279094252545,0.7450686973694465,1.0036045803279707,0.05571592807093645,137,270,133,Newton-IRLS converged
2011-2012,ok,12364,94,12270,-0.030476883192470425,0.0985218999598643,0.9699828547149989,0.7982687744238426,1.1786340247620701,0.7575354192011524,136,270,134,Newton-IRLS converged
2013-2014,ok,12295,97,12198,-0.05123188874417836,0.09423662725736999,0.9500583371523004,0.7885446043175,1.1446541375726242,0.5875584562814962,138,271,133,Newton-IRLS converged
2015-2016,ok,12402,95,12307,-0.016602334153485037,0.092208221893029,0.9835347250470609,0.8196105603769639,1.1802441331752587,0.8573753651608037,138,271,133,Newton-IRLS converged
2017-2018,ok,12455,95,12360,-0.08813177652353014,0.09749057251345666,0.9156402088893746,0.7551036677592077,1.1103071378569054,0.36756916818045243,138,271,133,Newton-IRLS converged
