Metabolite_A,Metabolite_B,N,Spearman_rho,P
MBzP,MnBP,15374,0.6988917528540748,0.0
MBzP,MiBP,14009,0.4638705505576563,0.0
MBzP,MEP,15369,0.4008422268938819,0.0
MBzP,MMP,9274,0.27363265451395785,6.110856135331693e-159
MBzP,MEHP,15374,0.45221660290863797,0.0
MBzP,MEHHP,14009,0.578875540906124,0.0
MBzP,MEOHP,14009,0.5910677463202556,0.0
MBzP,MECPP,12483,0.5411553776754965,0.0
MiBP,MnBP,14009,0.6265139312240241,0.0
MEP,MnBP,15369,0.47435519704373924,0.0
MEP,MiBP,14009,0.2868153249727629,1.8531635432643094e-263
MEP,MMP,9274,0.2635992253523002,3.15736714120959e-147
MMP,MnBP,9274,0.3272874673719307,1.9336683984301095e-230
MMP,MiBP,9274,0.2707291373713213,1.6890192848228617e-155
MEHP,MnBP,15374,0.5217428631505628,0.0
MEHP,MiBP,14009,0.33116744416165445,0.0
MEHP,MEP,15369,0.3346875451316336,0.0
MEHP,MMP,9274,0.2089593195429646,5.0999396100735586e-92
MEHP,MEOHP,14009,0.7598923334493368,0.0
MEHHP,MnBP,14009,0.6545591445574623,0.0
MEHHP,MiBP,14009,0.41061832873490794,0.0
MEHHP,MEP,14009,0.42963685905251686,0.0
MEHHP,MMP,9274,0.2666115477910308,1.0854050364698877e-150
MEHHP,MEHP,14009,0.7621709265767382,0.0
MEHHP,MEOHP,14009,0.9791603563789126,0.0
MEOHP,MnBP,14009,0.6657308420222108,0.0
MEOHP,MiBP,14009,0.41198323619927774,0.0
MEOHP,MEP,14009,0.43694014861072794,0.0
MEOHP,MMP,9274,0.2692091846270465,1.028772998164965e-153
MECPP,MnBP,12483,0.6332503347096874,0.0
MECPP,MiBP,12483,0.43524492169032486,0.0
MECPP,MEP,12483,0.42484416482730925,0.0
MECPP,MMP,7748,0.2564492619557509,1.3243260640921707e-116
MECPP,MEHP,12483,0.7212566431134698,0.0
MECPP,MEHHP,12483,0.9410350492371544,0.0
MECPP,MEOHP,12483,0.9479143893405628,0.0
