scope,cycle,strata,n_participants,crc_cases,psu_N,singleton_stratum,strata_N,singleton_strata_N
cycle_stratum,2005-2006,344.0,117,1,2,False,,
cycle_stratum,2005-2006,345.0,86,0,2,False,,
cycle_stratum,2005-2006,346.0,99,0,2,False,,
cycle_stratum,2005-2006,347.0,84,3,2,False,,
cycle_stratum,2005-2006,348.0,70,0,2,False,,
cycle_stratum,2005-2006,349.0,114,0,2,False,,
cycle_stratum,2005-2006,350.0,114,0,2,False,,
cycle_stratum,2005-2006,351.0,66,1,2,False,,
cycle_stratum,2005-2006,352.0,103,1,2,False,,
cycle_stratum,2005-2006,353.0,69,0,2,False,,
cycle_stratum,2005-2006,354.0,88,0,2,False,,
cycle_stratum,2005-2006,355.0,74,0,2,False,,
cycle_stratum,2005-2006,356.0,73,0,2,False,,
cycle_stratum,2005-2006,357.0,68,0,2,False,,
cycle_stratum,2005-2006,358.0,61,0,2,False,,
cycle_stratum,2007-2008,459.0,108,1,2,False,,
cycle_stratum,2007-2008,460.0,116,0,2,False,,
cycle_stratum,2007-2008,461.0,130,3,2,False,,
cycle_stratum,2007-2008,462.0,102,2,2,False,,
cycle_stratum,2007-2008,463.0,111,1,2,False,,
cycle_stratum,2007-2008,464.0,86,1,2,False,,
cycle_stratum,2007-2008,465.0,95,1,2,False,,
cycle_stratum,2007-2008,466.0,100,1,2,False,,
cycle_stratum,2007-2008,467.0,132,2,2,False,,
cycle_stratum,2007-2008,468.0,119,0,2,False,,
cycle_stratum,2007-2008,469.0,100,0,2,False,,
cycle_stratum,2007-2008,470.0,58,0,2,False,,
cycle_stratum,2007-2008,471.0,57,0,2,False,,
cycle_stratum,2007-2008,472.0,82,0,2,False,,
cycle_stratum,2007-2008,473.0,47,1,2,False,,
cycle_stratum,2007-2008,474.0,33,0,2,False,,
cycle_stratum,2009-2010,575.0,134,2,2,False,,
cycle_stratum,2009-2010,576.0,126,3,2,False,,
cycle_stratum,2009-2010,577.0,135,3,2,False,,
cycle_stratum,2009-2010,578.0,103,0,2,False,,
cycle_stratum,2009-2010,579.0,121,2,2,False,,
cycle_stratum,2009-2010,580.0,109,0,2,False,,
cycle_stratum,2009-2010,581.0,122,2,2,False,,
cycle_stratum,2009-2010,582.0,99,1,2,False,,
cycle_stratum,2009-2010,583.0,110,0,2,False,,
cycle_stratum,2009-2010,584.0,107,1,2,False,,
cycle_stratum,2009-2010,585.0,84,0,2,False,,
cycle_stratum,2009-2010,586.0,129,1,3,False,,
cycle_stratum,2009-2010,587.0,81,1,2,False,,
cycle_stratum,2009-2010,588.0,77,0,2,False,,
cycle_stratum,2009-2010,589.0,37,0,2,False,,
cycle_stratum,2011-2012,690.0,135,0,3,False,,
cycle_stratum,2011-2012,691.0,157,0,3,False,,
cycle_stratum,2011-2012,692.0,123,0,3,False,,
cycle_stratum,2011-2012,693.0,94,1,2,False,,
cycle_stratum,2011-2012,694.0,90,1,2,False,,
cycle_stratum,2011-2012,695.0,130,2,2,False,,
cycle_stratum,2011-2012,696.0,86,1,2,False,,
cycle_stratum,2011-2012,697.0,79,0,2,False,,
cycle_stratum,2011-2012,698.0,97,0,2,False,,
cycle_stratum,2011-2012,699.0,91,1,2,False,,
cycle_stratum,2011-2012,700.0,99,2,2,False,,
cycle_stratum,2011-2012,701.0,125,1,2,False,,
cycle_stratum,2011-2012,702.0,71,0,2,False,,
cycle_stratum,2011-2012,703.0,38,1,2,False,,
cycle_stratum,2013-2014,804.0,111,1,2,False,,
cycle_stratum,2013-2014,805.0,90,2,2,False,,
cycle_stratum,2013-2014,806.0,95,0,2,False,,
cycle_stratum,2013-2014,807.0,89,0,2,False,,
cycle_stratum,2013-2014,808.0,98,2,2,False,,
cycle_stratum,2013-2014,809.0,103,0,2,False,,
cycle_stratum,2013-2014,810.0,95,0,2,False,,
cycle_stratum,2013-2014,811.0,99,0,2,False,,
cycle_stratum,2013-2014,812.0,115,0,2,False,,
cycle_stratum,2013-2014,813.0,107,1,2,False,,
cycle_stratum,2013-2014,814.0,118,0,2,False,,
cycle_stratum,2013-2014,815.0,98,0,2,False,,
cycle_stratum,2013-2014,816.0,89,1,2,False,,
cycle_stratum,2013-2014,817.0,77,0,2,False,,
cycle_stratum,2013-2014,818.0,100,0,2,False,,
cycle_stratum,2015-2016,919.0,71,1,2,False,,
cycle_stratum,2015-2016,920.0,81,0,2,False,,
cycle_stratum,2015-2016,921.0,89,1,2,False,,
cycle_stratum,2015-2016,922.0,93,0,2,False,,
cycle_stratum,2015-2016,923.0,79,0,2,False,,
cycle_stratum,2015-2016,924.0,86,1,2,False,,
cycle_stratum,2015-2016,925.0,108,2,2,False,,
cycle_stratum,2015-2016,926.0,93,0,2,False,,
cycle_stratum,2015-2016,927.0,109,0,2,False,,
cycle_stratum,2015-2016,928.0,89,1,2,False,,
cycle_stratum,2015-2016,929.0,88,0,2,False,,
cycle_stratum,2015-2016,930.0,101,0,2,False,,
cycle_stratum,2015-2016,931.0,88,2,2,False,,
cycle_stratum,2015-2016,932.0,115,1,2,False,,
cycle_stratum,2015-2016,933.0,87,0,2,False,,
cycle_stratum,2017-2018,1034.0,63,0,2,False,,
cycle_stratum,2017-2018,1035.0,93,1,2,False,,
cycle_stratum,2017-2018,1036.0,109,1,2,False,,
cycle_stratum,2017-2018,1037.0,79,0,2,False,,
cycle_stratum,2017-2018,1038.0,77,0,2,False,,
cycle_stratum,2017-2018,1039.0,100,3,2,False,,
cycle_stratum,2017-2018,1040.0,83,2,2,False,,
cycle_stratum,2017-2018,1041.0,93,1,2,False,,
cycle_stratum,2017-2018,1042.0,101,0,2,False,,
cycle_stratum,2017-2018,1043.0,86,1,2,False,,
cycle_stratum,2017-2018,1044.0,111,0,2,False,,
cycle_stratum,2017-2018,1045.0,82,0,2,False,,
cycle_stratum,2017-2018,1046.0,69,0,2,False,,
cycle_stratum,2017-2018,1047.0,92,0,2,False,,
cycle_stratum,2017-2018,1048.0,86,0,2,False,,
pooled,ALL_7_CYCLES,,9936,70,214,,105.0,0.0
