dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3,target_gene_total_counts,PPAR_nuclear_receptor_score,PPAR_nuclear_receptor_score_n_genes,RELA_STAT3_score,RELA_STAT3_score_n_genes,DINP_axis_9_gene_score,DINP_axis_9_gene_score_n_genes
GSE144735,GSE144735::KUL01,KUL01,normal,epithelial,172,46.0,16.0,85.0,7.0,0.0,62.0,23.0,36.0,71.0,346.0,0.14828163026124172,7.0,-0.6847293091695995,2.0,-0.036831911834500776,9.0
GSE144735,GSE144735::KUL01,KUL01,tumor,epithelial,730,217.0,53.0,169.0,32.0,0.0,196.0,66.0,256.0,485.0,1474.0,-0.08355012527240395,7.0,0.40277029357081773,2.0,0.024521078914978647,9.0
GSE144735,GSE144735::KUL01,KUL01,tumor_border_included,epithelial,1102,356.0,93.0,245.0,46.0,2.0,367.0,128.0,465.0,797.0,2499.0,0.2140927379627185,7.0,0.3494055281596973,2.0,0.24416224689538046,9.0
GSE144735,GSE144735::KUL19,KUL19,normal,epithelial,287,67.0,25.0,96.0,24.0,1.0,112.0,28.0,68.0,194.0,615.0,0.23983142723667342,7.0,0.2325832869348093,2.0,0.2382207293918147,9.0
GSE144735,GSE144735::KUL19,KUL19,tumor,epithelial,574,64.0,34.0,162.0,28.0,0.0,50.0,25.0,65.0,113.0,541.0,-0.18044485221405465,7.0,-0.6214621490174164,2.0,-0.278448695948135,9.0
GSE144735,GSE144735::KUL19,KUL19,tumor_border_included,epithelial,218,51.0,11.0,84.0,15.0,1.0,50.0,9.0,36.0,95.0,352.0,0.12962947422832852,7.0,-0.11026167808757369,2.0,0.07632032926923914,9.0
GSE144735,GSE144735::KUL21,KUL21,normal,epithelial,249,25.0,13.0,73.0,6.0,1.0,55.0,16.0,31.0,80.0,300.0,0.18945901734690293,7.0,-0.13370215831593807,2.0,0.1176454227551605,9.0
GSE144735,GSE144735::KUL21,KUL21,tumor,epithelial,759,181.0,76.0,60.0,46.0,2.0,301.0,161.0,248.0,401.0,1476.0,0.521717282165331,7.0,-0.006934968875823899,2.0,0.4042390041561854,9.0
GSE144735,GSE144735::KUL21,KUL21,tumor_border_included,epithelial,740,156.0,67.0,67.0,56.0,2.0,290.0,154.0,282.0,420.0,1494.0,0.4268487176613994,7.0,0.08603929135641279,2.0,0.35111328959362464,9.0
GSE144735,GSE144735::KUL28,KUL28,normal,epithelial,20,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,13.0,-1.1470112926288327,7.0,-1.0556902839057631,2.0,-1.1267177351348174,9.0
GSE144735,GSE144735::KUL28,KUL28,tumor,epithelial,40,12.0,3.0,18.0,4.0,0.0,4.0,7.0,18.0,23.0,89.0,-0.28304940974150455,7.0,-0.07898202139177399,2.0,-0.23770110121934224,9.0
GSE144735,GSE144735::KUL28,KUL28,tumor_border_included,epithelial,17,5.0,0.0,5.0,1.0,0.0,4.0,2.0,9.0,16.0,42.0,-0.7143585953922231,7.0,0.7494039217284445,2.0,-0.3890780360320747,9.0
GSE144735,GSE144735::KUL30,KUL30,normal,epithelial,150,136.0,10.0,114.0,7.0,1.0,59.0,42.0,38.0,154.0,561.0,0.44598609350178026,7.0,-0.14862285316652651,2.0,0.31385077201993433,9.0
GSE144735,GSE144735::KUL30,KUL30,tumor,epithelial,68,47.0,8.0,47.0,7.0,0.0,24.0,16.0,22.0,133.0,304.0,-0.20105839555083363,7.0,0.845735659004897,2.0,0.031562505461550955,9.0
GSE144735,GSE144735::KUL30,KUL30,tumor_border_included,epithelial,190,138.0,8.0,44.0,13.0,1.0,53.0,29.0,47.0,236.0,569.0,0.2600763888350044,7.0,0.7570448251450401,2.0,0.37051381912612347,9.0
GSE144735,GSE144735::KUL31,KUL31,normal,epithelial,266,96.0,9.0,96.0,15.0,0.0,87.0,30.0,47.0,165.0,545.0,0.12570361103938035,7.0,0.10126542205459402,2.0,0.1202729023760945,9.0
GSE144735,GSE144735::KUL31,KUL31,tumor,epithelial,41,15.0,3.0,29.0,11.0,0.0,14.0,2.0,9.0,32.0,115.0,-0.345231413959525,7.0,-0.0940175920895723,2.0,-0.2894061202106466,9.0
GSE144735,GSE144735::KUL31,KUL31,tumor_border_included,epithelial,545,324.0,55.0,345.0,102.0,2.0,183.0,41.0,135.0,330.0,1517.0,0.25307770452060524,7.0,-0.5898452139346677,2.0,0.06576150041943347,9.0
