dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C103,C103,tumor,endothelial,81,5.0,2.0,7.0,0.0,0.0,31.0,4.0,14.0,51.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C103,C103,tumor,epithelial,389,55.0,30.0,81.0,44.0,0.0,47.0,6.0,44.0,214.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C103,C103,tumor,fibroblast,43,3.0,0.0,0.0,0.0,0.0,7.0,4.0,8.0,22.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C103,C103,tumor,myeloid,317,18.0,10.0,4.0,0.0,0.0,55.0,47.0,24.0,130.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C104,C104,tumor,endothelial,20,0.0,0.0,1.0,0.0,0.0,11.0,0.0,2.0,20.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C104,C104,tumor,epithelial,560,52.0,51.0,107.0,32.0,1.0,56.0,19.0,45.0,248.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C104,C104,tumor,fibroblast,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C104,C104,tumor,myeloid,160,4.0,2.0,0.0,0.0,0.0,16.0,10.0,10.0,38.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C105,C105,tumor,endothelial,12,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C105,C105,tumor,epithelial,142,21.0,19.0,21.0,7.0,0.0,36.0,7.0,21.0,77.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C105,C105,tumor,fibroblast,10,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C105,C105,tumor,myeloid,172,4.0,4.0,0.0,0.0,0.0,29.0,28.0,10.0,39.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C106,C106,normal,endothelial,26,2.0,2.0,1.0,0.0,0.0,8.0,3.0,5.0,17.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C106,C106,normal,epithelial,723,275.0,169.0,475.0,114.0,1.0,184.0,103.0,64.0,340.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C106,C106,normal,fibroblast,60,7.0,2.0,0.0,0.0,0.0,10.0,7.0,4.0,27.0
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C106,C106,normal,myeloid,68,3.0,2.0,10.0,1.0,0.0,16.0,3.0,3.0,14.0
