dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3,target_gene_total_counts,PPAR_nuclear_receptor_score,PPAR_nuclear_receptor_score_n_genes,RELA_STAT3_score,RELA_STAT3_score_n_genes,DINP_axis_9_gene_score,DINP_axis_9_gene_score_n_genes
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C103,C103,tumor,epithelial,389,55.0,30.0,81.0,44.0,0.0,47.0,6.0,44.0,214.0,521.0,-0.061242369047262095,7,0.5622298762631278,2,0.07730701879949121,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C104,C104,tumor,epithelial,560,52.0,51.0,107.0,32.0,1.0,56.0,19.0,45.0,248.0,611.0,0.3115476179655691,7,0.3806288806496522,2,0.32689900967314317,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C105,C105,tumor,epithelial,142,21.0,19.0,21.0,7.0,0.0,36.0,7.0,21.0,77.0,209.0,0.011103052843907113,7,0.5942933982316412,2,0.1407009073745147,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C106,C106,normal,epithelial,723,275.0,169.0,475.0,114.0,1.0,184.0,103.0,64.0,340.0,1725.0,0.4494024076005071,7,-1.5911305949145844,2,-0.0040493707361798975,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C106,C106,tumor,epithelial,266,24.0,12.0,30.0,15.0,0.0,33.0,6.0,25.0,74.0,219.0,0.01965575290648695,7,0.6072697846829365,2,0.15023664885680907,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C107,C107,normal,epithelial,424,120.0,34.0,137.0,43.0,0.0,104.0,63.0,31.0,117.0,649.0,0.1830803420398537,7,-1.4340691566950392,2,-0.17628621323456695,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C107,C107,tumor,epithelial,290,52.0,51.0,83.0,34.0,0.0,97.0,18.0,59.0,183.0,577.0,0.06126486732984985,7,0.37500103045632455,2,0.13098401469128867,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,normal,epithelial,1099,350.0,247.0,634.0,142.0,5.0,459.0,245.0,156.0,443.0,2681.0,0.5265759268527109,7,-1.3392991455571164,2,0.11193702187274931,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C109,C109,tumor,epithelial,74,5.0,13.0,39.0,17.0,0.0,24.0,2.0,16.0,70.0,186.0,-0.0850372002036215,7,0.4439099327720376,2,0.03250660712430275,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,normal,epithelial,364,86.0,69.0,119.0,32.0,1.0,84.0,47.0,30.0,158.0,626.0,0.4744438624445991,7,-0.8909487904024089,2,0.17102327292304173,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C110,C110,tumor,epithelial,224,31.0,52.0,65.0,3.0,0.0,81.0,6.0,55.0,149.0,442.0,-0.07695410555955041,7,0.7058812149655309,2,0.09700929900157877,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,normal,epithelial,484,189.0,141.0,247.0,58.0,3.0,163.0,41.0,96.0,397.0,1335.0,0.4167287088533004,7,-0.1462340027781036,2,0.29162588404632167,9
16023185-de21-4c0d-a9c8-73abdd52d142,16023185-de21-4c0d-a9c8-73abdd52d142::C111,C111,tumor,epithelial,91,15.0,30.0,19.0,5.0,0.0,26.0,3.0,22.0,56.0,176.0,-0.004580890944162377,7,0.6186985619656431,2,0.1339256541469055,9
