compartment,score,dataset_dropped,tumor_donors,normal_donors,n_datasets,n_tumor_datasets,n_normal_datasets,tumor_median,normal_median,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,mann_whitney_U,p_value
epithelial,PPAR_nuclear_receptor_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
epithelial,RELA_STAT3_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
epithelial,DINP_axis_9_gene_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
myeloid,PPAR_nuclear_receptor_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
myeloid,RELA_STAT3_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
myeloid,DINP_axis_9_gene_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
fibroblast,PPAR_nuclear_receptor_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
fibroblast,RELA_STAT3_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
fibroblast,DINP_axis_9_gene_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
endothelial,PPAR_nuclear_receptor_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
endothelial,RELA_STAT3_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
endothelial,DINP_axis_9_gene_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
other,PPAR_nuclear_receptor_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
other,RELA_STAT3_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
other,DINP_axis_9_gene_score,16023185-de21-4c0d-a9c8-73abdd52d142,0,0,0,0,0,,,,,,
