gene,effect_size,logFC_low_minus_high,P,n_donor_group_pairs,direction,analysis_level,BH_FDR
NR1H2,-4.978321336698313,-4.97576575255689,3.637978807091713e-12,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,3.4715412766672667e-09
PPARA,-5.095494411145054,-5.000137903072747,3.637978807091713e-12,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,3.4715412766672667e-09
PPARD,-4.799135068159053,-4.783949730438042,3.637978807091713e-12,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,3.4715412766672667e-09
PPARG,-5.399708884468215,-5.27962390384152,3.637978807091713e-12,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,3.4715412766672667e-09
ANXA2,-0.46811351732298334,-0.4587575823208398,3.637978807091713e-11,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,2.3143608511115115e-08
LUC7L3,0.6896539725859405,0.9248319612559277,3.637978807091713e-11,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,2.3143608511115115e-08
HK2,-0.4581474438692963,-0.4786852374322882,5.093170329928398e-11,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,2.7772330213338137e-08
VDAC2,-0.480816886398733,-0.4264185867579002,1.5643308870494366e-10,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,7.463813744834624e-08
ARID1B,0.36217268005007863,0.43285073989947986,4.984030965715647e-10,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,1.9024046196136624e-07
EGLN1,-0.4799489020037253,-0.7139603205372888,4.984030965715647e-10,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,1.9024046196136624e-07
DBI,-0.2879599019686401,-0.3246708737397198,6.148184183984995e-10,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,2.1334199118427935e-07
DHCR24,-0.758918321993006,-0.8794659437717726,9.204086381942034e-10,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,2.927666476656062e-07
COX7A2,-0.3208096215023861,-0.3070403547483549,1.949956640601158e-09,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,5.725372690134324e-07
VDAC1,-0.4035626868473754,-0.3885958892961061,2.7721398510038853e-09,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,6.973940698016021e-07
LDHA,-0.4659038650050533,-0.4593807911236925,3.2887328416109085e-09,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,6.973940698016021e-07
N4BP2L2,0.45657182167022015,0.5375390130697013,3.2887328416109085e-09,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,6.973940698016021e-07
SLC25A5,-0.5973402566974837,-0.490182554575283,3.2887328416109085e-09,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,6.973940698016021e-07
UQCR11,-0.3322372835740941,-0.31813012843523997,3.2887328416109085e-09,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,6.973940698016021e-07
KRT19,-0.6278586983269605,-0.6069061403537875,5.39512257091701e-09,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,1.0296591426595116e-06
NDRG1,-0.45089222442611376,-0.48436251010514353,5.39512257091701e-09,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,1.0296591426595116e-06
BCL10,-0.30585637297359813,-0.3608968727018349,6.326445145532489e-09,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,1.0976382327498868e-06
ETHE1,-0.6311003185293105,-0.5933631393985976,6.326445145532489e-09,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,1.0976382327498868e-06
GSN,0.6990231047346809,0.7515980496435947,1.0059011401608586e-08,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,1.6693585443452164e-06
ELF3,0.35773413439857205,0.33746935744232315,1.355147105641663e-08,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,2.069038600893691e-06
SDHB,-0.420734591923452,-0.4308737442562793,1.355147105641663e-08,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,2.069038600893691e-06
YWHAZ,-0.21101127080093462,-0.27774614054104607,1.5679688658565283e-08,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,2.301898908067065e-06
FUS,0.3915171776358273,0.38369077260008894,2.087472239509225e-08,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,2.951067236372856e-06
COX5A,-0.3221608131316218,-0.2795924615038458,3.1635863706469536e-08,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,4.163934198882559e-06
MGST1,-0.6010368734080576,-0.572698566286832,3.1635863706469536e-08,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,4.163934198882559e-06
FABP1,-0.855075219329196,-0.8158789129483455,4.138928488828242e-08,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,5.266096680619133e-06
COX8A,-0.29352282045169975,-0.2785191902386289,4.722824087366462e-08,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,5.551088326830869e-06
UQCRFS1,-0.3442817424195548,-0.3523938437084543,4.722824087366462e-08,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,5.551088326830869e-06
