regulator,comparison,n_pairs,activity_delta,median_activity_delta,P,direction,donor_consistency,method,BH_FDR
FOS,tumor_vs_normal,36,-0.2650556958654481,-0.02941479586047402,0.4321394343569409,down_in_first_group,0.5,DoRothEA levels A-C + decoupler ULM,0.4321394343569409
FOS,PPAR_low_vs_high,39,-0.3126657179571019,-0.34964990622399217,0.002242355956695974,down_in_first_group,0.7692307692307693,DoRothEA levels A-C + decoupler ULM,0.003488109265971515
HIF1A,tumor_vs_normal,36,0.5657214563343024,0.5917232357666943,1.763927866704762e-05,up_in_first_group,0.7222222222222222,DoRothEA levels A-C + decoupler ULM,2.743887792651852e-05
HIF1A,PPAR_low_vs_high,39,-0.1346827243076796,-0.0502985740991817,0.09855392990721157,down_in_first_group,0.5384615384615384,DoRothEA levels A-C + decoupler ULM,0.12543227442736019
JUN,tumor_vs_normal,36,1.3420166586144262,1.0106935729909852,2.9103830456733704e-10,up_in_first_group,0.9444444444444444,DoRothEA levels A-C + decoupler ULM,1.358178754647573e-09
JUN,PPAR_low_vs_high,39,-0.27777908354100633,-0.2909225837406684,0.0071616245368204545,down_in_first_group,0.7435897435897436,DoRothEA levels A-C + decoupler ULM,0.010026274351548636
MYC,tumor_vs_normal,36,1.2604538985359421,1.2603117143630205,8.995091775432229e-06,up_in_first_group,0.8333333333333334,DoRothEA levels A-C + decoupler ULM,1.57414106070064e-05
MYC,PPAR_low_vs_high,39,0.8340504275396103,0.8287866742847048,2.6013367460109293e-07,up_in_first_group,0.9230769230769231,DoRothEA levels A-C + decoupler ULM,7.283742888830602e-07
NR1H2,tumor_vs_normal,36,0.06531727041233264,0.16958037139496762,0.30002931610215455,up_in_first_group,0.5833333333333334,DoRothEA levels A-C + decoupler ULM,0.32310849426385874
NR1H2,PPAR_low_vs_high,39,-0.6038471000641668,-0.546124377449104,3.637978807091713e-12,down_in_first_group,1.0,DoRothEA levels A-C + decoupler ULM,5.093170329928398e-11
NR1H3,tumor_vs_normal,36,0.331107265209422,0.42064769781485467,0.00025036028819158673,up_in_first_group,0.8333333333333334,DoRothEA levels A-C + decoupler ULM,0.0003186403667892922
NR1H3,PPAR_low_vs_high,39,-0.40322197309536145,-0.3347310791487413,1.2901364243589342e-07,down_in_first_group,0.8461538461538461,DoRothEA levels A-C + decoupler ULM,6.020636647008359e-07
NR1I2,tumor_vs_normal,36,-0.7440425459533988,-0.705657570881993,1.6696867533028126e-07,down_in_first_group,0.9166666666666666,DoRothEA levels A-C + decoupler ULM,3.895935757706563e-07
NR1I2,PPAR_low_vs_high,39,-0.049570545644417326,-0.1389532467610639,0.24127641272207256,down_in_first_group,0.6410256410256411,DoRothEA levels A-C + decoupler ULM,0.2598361367776166
PPARA,tumor_vs_normal,36,-0.5885254266505283,-0.5808169088444368,3.958528395742178e-06,down_in_first_group,0.8611111111111112,DoRothEA levels A-C + decoupler ULM,7.917056791484356e-06
PPARA,PPAR_low_vs_high,39,-0.3086068342076991,-0.2887094068178903,4.081365477759391e-05,down_in_first_group,0.7948717948717948,DoRothEA levels A-C + decoupler ULM,7.699601519561838e-05
PPARG,tumor_vs_normal,36,-1.6205059139780265,-1.526913436079709,5.820766091346741e-11,down_in_first_group,0.9722222222222222,DoRothEA levels A-C + decoupler ULM,4.0745362639427185e-10
PPARG,PPAR_low_vs_high,39,-0.5596773497761537,-0.6325091400044838,2.3283064365386963e-09,down_in_first_group,0.9230769230769231,DoRothEA levels A-C + decoupler ULM,1.6298145055770874e-08
RELA,tumor_vs_normal,36,1.5476058138292639,1.5640033638570294,7.275957614183426e-10,up_in_first_group,0.9444444444444444,DoRothEA levels A-C + decoupler ULM,2.546585164964199e-09
RELA,PPAR_low_vs_high,39,0.6939438424150273,0.5416886539940777,2.0684092305600643e-07,up_in_first_group,0.8974358974358975,DoRothEA levels A-C + decoupler ULM,7.239432306960225e-07
SMAD3,tumor_vs_normal,36,0.5346298198875186,0.561307292097632,0.0006253640458453447,up_in_first_group,0.8333333333333334,DoRothEA levels A-C + decoupler ULM,0.0007295913868195688
SMAD3,PPAR_low_vs_high,39,-0.081337645515246,-0.053501745912106546,0.21425670166718191,down_in_first_group,0.6923076923076923,DoRothEA levels A-C + decoupler ULM,0.24996615194504557
STAT3,tumor_vs_normal,36,1.1138012592517423,1.1344434701716681,8.934875950217247e-09,up_in_first_group,0.9166666666666666,DoRothEA levels A-C + decoupler ULM,2.5017652660608292e-08
STAT3,PPAR_low_vs_high,39,-0.04512587412251302,-0.10021909042599597,0.289213247175212,down_in_first_group,0.6410256410256411,DoRothEA levels A-C + decoupler ULM,0.289213247175212
TCF7L2,tumor_vs_normal,36,1.0414847163295005,0.8766641264820744,2.9103830456733704e-11,up_in_first_group,1.0,DoRothEA levels A-C + decoupler ULM,4.0745362639427185e-10
TCF7L2,PPAR_low_vs_high,39,0.4701651835722731,0.5236311361483785,3.6399433156475425e-07,up_in_first_group,0.8974358974358975,DoRothEA levels A-C + decoupler ULM,8.493201069844266e-07
TP53,tumor_vs_normal,36,-0.39837189256639466,-0.4486273392332341,3.3327145501971245e-05,down_in_first_group,0.75,DoRothEA levels A-C + decoupler ULM,4.6658003702759744e-05
TP53,PPAR_low_vs_high,39,-0.4074380171695522,-0.2984867051864327,4.399772296892479e-05,down_in_first_group,0.8205128205128205,DoRothEA levels A-C + decoupler ULM,7.699601519561838e-05
