group,state,n_donors,spearman_rho,P,donor_consistency,direction,BH_FDR,state_association_interpretation
pooled,EMT,72,-0.11849636632580875,0.3215019999691804,0.3888888888888889,negative,0.4189268484446896,state rises as PPAR/NR falls
pooled,E2F_targets,72,-0.1989517010740241,0.09385383387233906,0.3888888888888889,negative,0.15521980217348383,state rises as PPAR/NR falls
pooled,G2M_checkpoint,72,-0.22506270499710598,0.0573332434598679,0.3611111111111111,negative,0.10272206119892999,state rises as PPAR/NR falls
pooled,MYC_targets_V1,72,-0.4781014856260853,2.1629324383004526e-05,0.2777777777777778,negative,7.154314988224575e-05,state rises as PPAR/NR falls
pooled,MYC_targets_V2,72,-0.3742041288828864,0.0012029995877699989,0.3333333333333333,negative,0.003233061392131872,state rises as PPAR/NR falls
pooled,Hypoxia,72,0.01225159174223423,0.9186434978677954,0.4722222222222222,positive,0.9186434978677954,state falls or tracks as PPAR/NR falls
pooled,Inflammatory_response,72,-0.019100906810727382,0.8734683784932363,0.4166666666666667,negative,0.8942652446478372,state rises as PPAR/NR falls
pooled,TNF_NFkB,72,-0.08244903209209598,0.49111732023192667,0.4166666666666667,negative,0.5866123547214679,state rises as PPAR/NR falls
pooled,IL6_JAK_STAT3,72,0.06428066113576436,0.5916483972987558,0.4444444444444444,positive,0.6523302842011924,state falls or tracks as PPAR/NR falls
pooled,ROS,72,0.1541578236542543,0.1960374931802295,0.5277777777777778,positive,0.2863006974113045,state falls or tracks as PPAR/NR falls
pooled,OXPHOS,72,0.5175573991896586,3.231248433232481e-06,0.6944444444444444,positive,1.3894368262899668e-05,state falls or tracks as PPAR/NR falls
pooled,Fatty_acid_metabolism,72,0.5586532896006176,3.4025072478752674e-07,0.75,positive,2.0901115951233783e-06,state falls or tracks as PPAR/NR falls
pooled,Cholesterol_homeostasis,72,0.036368898321435465,0.761661449533564,0.4722222222222222,positive,0.7988156665839817,state falls or tracks as PPAR/NR falls
pooled,Apoptosis,72,0.13113383497331021,0.2722119312491285,0.5555555555555556,positive,0.36578478261601644,state falls or tracks as PPAR/NR falls
pooled,p53,72,0.090841854781658,0.44791278486068486,0.5,positive,0.5502928499716986,state falls or tracks as PPAR/NR falls
pooled,UPR,72,-0.5073316612000772,5.411305281117078e-06,0.25,negative,1.939051059066953e-05,state rises as PPAR/NR falls
pooled,Glycolysis,72,-0.14103800887516885,0.23731676417583125,0.4166666666666667,negative,0.3291813180503466,state rises as PPAR/NR falls
pooled,IFN_alpha,72,0.16123223358415334,0.17604663073663196,0.4444444444444444,positive,0.27035732577411337,state falls or tracks as PPAR/NR falls
pooled,IFN_gamma,72,0.15290372371213584,0.19974467261253803,0.5,positive,0.2863006974113045,state falls or tracks as PPAR/NR falls
pooled,TGF_beta,72,0.3695414496109075,0.001399861010844626,0.6388888888888888,positive,0.0033441124147954955,state falls or tracks as PPAR/NR falls
pooled,WNT_beta_catenin,72,0.07579265547623643,0.5268788871513983,0.5277777777777778,positive,0.6123187066894629,state falls or tracks as PPAR/NR falls
pooled,intestinal_epithelial_differentiation,72,0.7128111132548718,2.1622385768847305e-12,0.7777777777777778,positive,3.099208626868114e-11,state falls or tracks as PPAR/NR falls
pooled,stemness,72,-0.28506656376615863,0.015218919756843353,0.3888888888888889,negative,0.031162549978298294,state rises as PPAR/NR falls
pooled,secretory_differentiation,72,0.18142645829313786,0.12720924753319696,0.4722222222222222,positive,0.20259250533064702,state falls or tracks as PPAR/NR falls
