state,n_donors,interaction_beta_tumor_x_PPARlow,P,normal_PPARlow_mean,normal_PPARhigh_mean,tumor_PPARlow_mean,tumor_PPARhigh_mean,analysis_level,BH_FDR,direction
Apoptosis,36,0.13922352110018255,0.2641925312407045,-0.021216224730777583,0.05255741008664847,0.013192069073699426,-0.049096902311545,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
Cholesterol_homeostasis,36,0.19093767279978838,0.2562445676910087,-0.15653800342783902,0.08709674598760454,-0.04104503288023541,0.022146652506499994,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
E2F_targets,36,0.293709301282763,0.14012556527051015,-0.04248897055277982,-0.06632593055274137,0.26549677024406004,-0.05162644924808168,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
EMT,36,0.023556218121973088,0.8226468719404803,-0.04787675145974676,-0.07896349434660704,0.09941266417240618,0.05461086303991662,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.8226468719404803,amplified_in_tumor_PPARlow
Fatty_acid_metabolism,36,0.2779308902022319,0.0618218380477412,-0.014899025622767199,0.225753495271948,-0.12003431972038495,-0.1585283783613558,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
G2M_checkpoint,36,0.2761080740727658,0.1226637128385981,-0.01761733014788433,-0.02697796997597335,0.20832340702755422,-0.07527403461230864,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
Glycolysis,36,0.163070619837683,0.25447494229783074,-0.09432404986614945,0.026788566384907283,0.04190076694793293,0.003599372441588771,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
Hypoxia,36,0.10451171939967126,0.35127228962776746,-0.08257542023575375,0.025210419508299154,0.008049118058806096,0.0168857159799714,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
IFN_alpha,36,0.27525194980264317,0.2117487714603219,0.019439423433244812,0.031207948881905683,0.1330310536786623,-0.1154247042373735,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
IFN_gamma,36,0.2399631592850227,0.16191810435404563,-0.02619207858692994,0.05303657939122386,0.07209520662354878,-0.07872240606265368,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
IL6_JAK_STAT3,36,0.12134826964099424,0.3904275463369893,-0.015307440937748685,0.023776553482105122,0.039439819565913414,-0.03711896223866159,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.5070856743869053,amplified_in_tumor_PPARlow
Inflammatory_response,36,0.12341618736342844,0.28668050195859096,-0.04833024736606991,-0.010092378326911308,0.0749137886123772,-0.0026694690441418194,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
MYC_targets_V1,36,0.19563790014836477,0.39909576579430295,-0.1754412965072047,-0.07483578928633196,0.1844185178499793,0.07711321443721247,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.5070856743869053,amplified_in_tumor_PPARlow
MYC_targets_V2,36,0.241011204525701,0.31004098129857416,-0.045880514565032206,-0.1008118064675918,0.27961288465189904,-0.021880270978632425,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
OXPHOS,36,0.3934677122733794,0.025789483746883217,-0.011475336684055214,0.40036239096689247,-0.25781674012411726,-0.26528632225053694,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
ROS,36,0.1025143874093123,0.5105711720828963,-0.061435660262287126,0.15625115971857778,-0.152042759593367,-0.043071888924259207,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.5802278655337668,amplified_in_tumor_PPARlow
TGF_beta,36,0.22583862144665368,0.14888742838614566,-0.020295637855867237,0.18803120052786004,-0.11155426530522179,-0.1212479834596114,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
TNF_NFkB,36,0.17321345506607438,0.25299210004822814,-0.10423128283974267,-0.014483035390277054,0.09824745680179499,0.021123235760306714,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
UPR,36,0.09637222523182702,0.582578841306496,-0.11064828278980314,-0.05853388389371819,0.1067310529429475,0.06549415628725544,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.6291851486110156,amplified_in_tumor_PPARlow
WNT_beta_catenin,36,0.07036174264189991,0.6280570455295178,0.021905401839616097,0.0741375475613208,-0.04901265594466826,-0.06216626531574787,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.6522130857421916,amplified_in_tumor_PPARlow
enterocyte_differentiation,36,0.20492233919671352,0.41318091987081174,0.20142831485240173,0.493453179040442,-0.4590961703271561,-0.3734301001796558,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.5070856743869053,amplified_in_tumor_PPARlow
goblet_program,36,-0.50286631719974,0.08641714978913198,0.49159399245149216,-0.3090098253108317,0.18144544306374974,-0.061571130172889885,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,attenuated_or_reversed
intestinal_epithelial_differentiation,36,0.2333850054486451,0.33884116210194515,0.13040423286923886,0.46802688127256,-0.43057899018079315,-0.3221729019931956,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
p53,36,0.18465562660772278,0.19123417647713836,-0.026868588545067035,0.06462633766634805,0.026209425586487253,-0.06534729917801298,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,amplified_in_tumor_PPARlow
secretory_differentiation,36,-0.44109318240531026,0.11127653209059646,0.4983552836109924,-0.20861383130085295,0.0927906946385816,-0.1205723126720616,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,attenuated_or_reversed
stemness,36,-0.21714422382030593,0.34331961587490145,0.04285087077785657,-0.19626894299600084,0.14272253758370476,0.09991246623452853,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.4991764115763011,attenuated_or_reversed
stress_like_epithelial,36,0.13629756025216672,0.5157581026966815,-0.22115514314185608,-0.18017383025297665,0.2645736747808019,0.1680703123174013,donor-level pseudobulk OLS with donor fixed effects; HC3 SE,0.5802278655337668,amplified_in_tumor_PPARlow
