#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
5000,10.000000000000009,-752009.0792244133,210531.93019937584,-541477.1490250374,313.37501230509025,754.7381353242467,0.9659728090892837,--,--
10000,19.999999999999794,-755191.5733666229,210428.9182530805,-544762.6551135425,313.22167988702284,749.4208448090362,0.9728265790254943,78.8,1:27
15000,29.99999999999425,-756462.1054560267,207943.6003850539,-548518.5050709728,309.52230508559796,744.3332254645782,0.9794759816759857,76.5,1:19
20000,40.00000000000292,-757559.831568364,208882.04078622287,-548677.7907821411,310.91916575174696,742.4780002404665,0.981923392302332,74.5,1:09
25000,50.00000000001514,-755109.3056815839,208525.23768142247,-546584.0680001614,310.38806732287,741.9649858863539,0.9826023202901376,72.9,0:59
30000,60.00000000002736,-759100.1303431811,208647.27954670222,-550452.8507964788,310.5697256157359,739.4169224863316,0.9859884113207423,71.7,0:48
35000,70.00000000001826,-760090.4266237118,208456.88468387193,-551633.54193984,310.2863244593138,732.1682779357354,0.9957499371066196,70.7,0:36
40000,79.99999999999496,-759053.2506960388,208251.1268309299,-550802.1238651089,309.9800556209646,732.0743298902627,0.9958777229837514,69.9,0:24
45000,89.99999999997165,-761713.5250328099,209093.8216297139,-552619.7034030961,311.2343997610116,728.2330809348418,1.001130731070431,69.2,0:12
50000,99.99999999994834,-761860.8520526942,207095.66037405177,-554765.1916786424,308.26015349115755,728.2330809348418,1.001130731070431,68.7,0:00
55000,109.99999999992504,-761885.5331401778,209038.60264246835,-552846.9304977094,311.1522067616354,728.2330809348418,1.001130731070431,--,--
60000,119.99999999990173,-761652.4660666035,207971.84443634824,-553680.6216302554,309.564346119058,727.5037809919856,1.0021343335313908,74.6,1:8:08:28
65000,129.99999999989262,-763005.8730218336,208150.67369371,-554855.1993281236,309.8305319687445,726.2303910491293,1.003891500124029,72.6,1:8:59:37
70000,139.99999999994037,-761605.6350255534,208931.3614643941,-552674.2735611593,310.992579167537,724.2465758862393,1.0066413028102281,71.2,1:9:38:38
75000,149.99999999998812,-763570.4534686254,209744.5212022107,-553825.9322664147,312.2029606170537,722.4278967534651,1.0091754761718004,70.1,1:10:10:10
80000,160.00000000003587,-764330.1398316207,209808.9961430595,-554521.1436885612,312.2989310257358,722.4278967534651,1.0091754761718004,69.3,1:10:35:25
85000,170.00000000008362,-763039.5946427151,207756.69972282587,-555282.8949198892,309.2441050174655,721.7389716902986,1.0101387694203825,68.6,1:10:56:48
90000,180.00000000013137,-762168.1818994903,208559.06091357023,-553609.1209859201,310.4384129202359,721.8489991562141,1.009984799533118,67.9,1:11:15:51
95000,190.0000000001791,-763606.2707220647,208945.13887009645,-554661.1318519682,311.01308672036953,720.7438095494732,1.011533511694944,67.5,1:11:29:47
100000,200.00000000022686,-763060.0167335137,208228.37539676644,-554831.6413367472,309.94619030203563,720.7194544227334,1.0115676942422969,67.1,1:11:41:24
105000,210.0000000002746,-762941.056675537,207843.40220747187,-555097.6544680651,309.37316093866036,720.519590235245,1.0118482919637735,66.8,1:11:52:01
110000,220.00000000032236,-764204.1350459191,209113.24964991165,-555090.8853960074,311.2633182061271,719.6781749698489,1.0130312993533737,66.5,1:12:01:08
115000,230.0000000003701,-763997.4044980793,208532.46352770578,-555464.9409703736,310.39882293445726,718.1301805894976,1.0152149796956087,66.2,1:12:11:20
120000,240.00000000041786,-764258.8887561657,209302.43597826888,-554956.4527778969,311.5449204691224,718.1301805894976,1.0152149796956087,65.7,1:12:26:46
125000,250.0000000004656,-764384.7100316994,208492.8292756263,-555891.880756073,310.3398276826618,716.7063485043668,1.0172318387124324,65.2,1:12:43:33
130000,260.00000000051335,-764464.6217410648,209197.6216729589,-555267.000068106,311.3889052547786,716.7063485043668,1.0172318387124324,64.9,1:12:51:52
135000,270.0000000005611,-764993.2144247121,207408.4427414147,-557584.7716832974,308.7257274215744,716.7063485043668,1.0172318387124324,64.8,1:12:56:04
140000,280.00000000060885,-764506.1235516579,208670.83119416278,-555835.292357495,310.6047820454459,716.7063485043668,1.0172318387124324,64.7,1:12:59:45
145000,290.0000000006566,-762328.4374166867,208190.61210091977,-554137.825315767,309.8899799529004,716.7063485043668,1.0172318387124324,64.6,1:13:03:50
150000,300.00000000070435,-763898.5338279158,208845.14078534322,-555053.3930425725,310.8642404099293,716.7063485043668,1.0172318387124324,64.4,1:13:07:46
155000,310.0000000007521,-766099.5465871431,208230.4227476969,-557869.1238394462,309.9492377667239,716.7063485043668,1.0172318387124324,64.3,1:13:11:41
160000,320.00000000079984,-765379.2900780295,208400.17447135918,-556979.1156066703,310.2019117836348,716.7063485043668,1.0172318387124324,64.1,1:13:18:27
165000,330.0000000008476,-765098.2741864468,208277.1814020794,-556821.0927843674,310.0188376315929,715.4854311894484,1.0189676615692385,64.1,1:13:19:59
170000,340.00000000089534,-763988.5175446696,207946.98251171305,-556041.5350329565,309.5273393527632,715.5187159488327,1.0189202608616406,64,1:13:21:05
175000,350.0000000009431,-764440.2388327518,209795.18859066936,-554645.0502420824,312.27837859981133,714.3960343573906,1.0205215057804278,64,1:13:23:01
180000,360.00000000099084,-766193.611180346,209264.6677516311,-556928.9434287149,311.48870278054585,713.3558857710672,1.022009534438666,63.9,1:13:24:12
185000,370.0000000010386,-765353.8173666876,207196.41598740616,-558157.4013792814,308.41012737656695,713.5623316541042,1.0217138494628062,63.9,1:13:25:16
190000,380.00000000108633,-765856.8282868839,209529.1875180969,-556327.640768787,311.88243823432083,712.4067279743476,1.0233711840130495,63.9,1:13:26:12
195000,390.0000000011341,-766355.9691753094,207459.9570421619,-558896.0121331476,308.80240602617016,712.4806418732715,1.0232650178243683,63.8,1:13:26:38
200000,400.00000000118183,-766280.9232289619,208749.56377273082,-557531.3594562311,310.7219748282899,712.4806418732715,1.0232650178243683,63.8,1:13:27:35
205000,410.0000000012296,-766318.1870695311,208236.03508368964,-558082.1519858415,309.95759168177665,711.4060914955242,1.0248106186065142,63.8,1:13:27:57
210000,420.00000000127733,-767029.543417132,207719.0326710282,-559310.5107461038,309.1880379267899,711.6238011109009,1.0244970946276049,63.8,1:13:28:47
215000,430.0000000013251,-766934.3108110176,208093.14310334797,-558841.1677076697,309.7448981675175,711.2647075989784,1.0250143285852773,63.7,1:13:29:44
220000,440.0000000013728,-766638.9752196944,208923.08282570605,-557715.8923939883,310.9802564832853,711.0273420772108,1.0253565138241925,63.7,1:13:31:09
225000,450.0000000014206,-767345.8412199426,207954.8197119939,-559391.0215079486,309.53900495964825,710.9522092932712,1.0254648725695585,63.7,1:13:32:01
230000,460.0000000014683,-765448.0705150608,207675.6709336692,-557772.3995813916,309.1234943444194,710.783762107176,1.0257078953866694,63.6,1:13:32:14
235000,470.00000000151607,-765787.1874636998,208402.54579362046,-557384.6416700794,310.20544147693164,710.7649382708211,1.0257350601447084,63.6,1:13:32:34
240000,480.0000000015638,-765072.428718877,209343.30061728598,-555729.128101591,311.6057471415549,709.8166462826218,1.027105408874404,63.6,1:13:32:36
245000,490.00000000161157,-767749.2289471263,209698.84554320312,-558050.3834039231,312.1349727817169,709.8166462826218,1.027105408874404,63.6,1:13:33:35
250000,500.0000000016593,-767305.4166824063,209380.06089869034,-557925.355783716,311.66046451210536,709.9341831198395,1.0269353611092467,63.6,1:13:34:32
255000,510.00000000170706,-765841.9164102925,208391.40389108675,-557450.5125192057,310.18885684846083,710.9291081315677,1.0254981943587096,63.5,1:13:35:53
260000,520.0000000015274,-768142.8230072074,208594.77587051078,-559548.0471366965,310.49157433408953,710.9291081315677,1.0254981943587096,63.5,1:13:36:50
265000,530.0000000012909,-766297.1083014049,208908.75349754337,-557388.3548038615,310.95892739849967,711.1461975167394,1.0251851437183697,63.4,1:13:37:59
270000,540.0000000010544,-767775.1150340512,208297.46203088688,-559477.6530031643,310.04902517747286,711.7510595657684,1.0243139183393137,63.4,1:13:38:04
275000,550.000000000818,-766043.2041059346,208289.23878231802,-557753.9653236165,310.0367849409491,713.0043201013185,1.022513463315862,63.4,1:13:38:52
280000,560.0000000005815,-767343.738244974,209315.40681819932,-558028.3314267747,311.5642274555684,711.3284303391761,1.0249225050070632,63.4,1:13:39:30
285000,570.000000000345,-764289.6907769246,208093.64003067493,-556196.0507462497,309.7456378396758,711.3284303391761,1.0249225050070632,63.4,1:13:40:00
290000,580.0000000001086,-767201.0535097811,207109.11191401095,-560091.9415957702,308.2801759955645,711.1965705825262,1.0251125312778373,63.3,1:13:40:48
295000,589.9999999998721,-766519.6876531714,208404.6470462165,-558115.0406069548,310.208569173797,711.1965705825262,1.0251125312778373,63.3,1:13:41:10
