time_ps,core_rmsd_vs_40ns_after_protein_fit_A,core_internal_rmsd_vs_40ns_A,branch1_rmsd_vs_40ns_after_core_fit_A,branch2_rmsd_vs_40ns_after_core_fit_A,com_drift_vs_40ns_A,com_displacement_vs_minimized_A,pair_retention_vs_40ns,pocket_residue_fraction_vs_40ns,nearest_distance_to_40ns_pocket_A,pair_retention_vs_minimized,pocket_residue_fraction_vs_minimized,nearest_distance_to_minimized_pocket_A
4.000000011925622675e+04,6.725178453592985754e-15,0.000000000000000000e+00,1.297267614824131814e-14,1.429617826067548881e-14,0.000000000000000000e+00,3.484293470336836118e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.419299798223708997e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.419299798223708997e+00
4.001000011928604363e+04,1.120936146421175339e+00,4.337814563757357023e-02,9.534997027189783259e-01,1.447716399092286110e+00,3.926983682574887724e-01,4.915063452911739850e-01,4.761904761904761640e-01,6.666666666666666297e-01,3.398774144606265590e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.565404540976092385e+00
4.002000011931585323e+04,7.359254958429154447e-01,6.805114562376977927e-02,8.684100009463645575e-01,1.155888659033480703e+00,2.338537406025083254e-01,2.521561220665517467e-01,7.142857142857143016e-01,8.333333333333333703e-01,3.420138816180493979e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.521955899646960209e+00
4.003000011934567010e+04,8.625935241896227623e-01,5.747679166943576307e-02,6.422152038834773036e-01,9.277266914182489277e-01,3.301030545856714626e-01,6.124119106578197469e-01,6.666666666666666297e-01,8.333333333333333703e-01,3.043978538510353715e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.043978538510353715e+00
4.004000011937548697e+04,8.868616318974810175e-01,4.260751404687145721e-02,1.430070063793541957e+00,1.063187185858862405e+00,5.611825201837195715e-02,2.985649126450101720e-01,6.190476190476190688e-01,1.000000000000000000e+00,3.225414447447024546e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.225414447447024546e+00
4.005000011940529657e+04,4.210585848423403221e-01,3.822170510820011718e-02,1.286876792110297263e+00,8.860918568867502954e-01,1.764154637770279088e-01,4.647316303501086154e-01,7.619047619047618625e-01,1.000000000000000000e+00,3.423944334814893242e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.472126410731725787e+00
4.006000011943511345e+04,9.329851940074348482e-01,4.581601564569788565e-02,1.223031198769345185e+00,1.647912618450756650e+00,2.663572747197252566e-01,4.601841869787479111e-01,5.714285714285713969e-01,8.333333333333333703e-01,3.364298041717439069e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.364298041717439069e+00
4.007000011946492305e+04,8.455439941007121263e-01,7.616011734135902378e-02,1.369017337253525923e+00,1.656048564501714004e+00,2.290993063973075505e-01,5.688660702913359568e-01,6.666666666666666297e-01,1.000000000000000000e+00,3.424443973848693368e+00,0.000000000000000000e+00,1.666666666666666574e-01,3.424443973848693368e+00
4.008000011949473992e+04,7.310100374867426476e-01,6.262648722381453092e-02,7.817451383954785449e-01,1.176643361567913049e+00,1.137241520557547014e-01,4.169385498012623814e-01,6.666666666666666297e-01,8.333333333333333703e-01,3.536367536554251512e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.536367536554251512e+00
4.009000011952455679e+04,6.464196042079788374e-01,5.961465882812915645e-02,1.083806413085506959e+00,1.515947428477747883e+00,3.947020924682069776e-01,6.455379411198495232e-01,8.095238095238095344e-01,1.000000000000000000e+00,3.512804082663293137e+00,4.166666666666666435e-02,3.333333333333333148e-01,3.512804082663293137e+00
4.010000011955436639e+04,6.225648515108801462e-01,7.035921018802032689e-02,1.326248378224896163e+00,2.689103177013678181e+00,2.644804705517350696e-01,3.965474543817738007e-01,6.666666666666666297e-01,8.333333333333333703e-01,3.332852971818296428e+00,1.250000000000000000e-01,3.333333333333333148e-01,3.332852971818296428e+00
4.011000011958418327e+04,8.223976207182919218e-01,7.045894717149382702e-02,1.095262113850609564e+00,1.132020409878584433e+00,4.060470492016071131e-01,3.400197307847541150e-01,7.142857142857143016e-01,1.000000000000000000e+00,3.238950231802423918e+00,8.333333333333332871e-02,3.333333333333333148e-01,3.238950231802423918e+00
