cycle,analyte,value_variable,lod_comment_variable,nhanes_phthe_rows,age20_crc_frame_rows,matched_rows,analytic_value_n,exposure_and_crc_outcome_n,crc_cases,cancer_free_controls,above_lod_n,above_lod_pct,below_lod_n,missing_comment_n
2005-2006,MiNP,URXMNP,URDMNPLC,2638,1543,1543,1490,1490,6,1367,189,12.684563758389261,1301,0
2005-2006,MCOP,URXCOP,URDCOPLC,2638,1543,1543,1490,1490,6,1367,1411,94.69798657718121,79,0
2007-2008,MiNP,URXMNP,URDMNPLC,2718,1900,1900,1814,1814,15,1625,167,9.206174200661522,1647,0
2007-2008,MCOP,URXCOP,URDCOPLC,2718,1900,1900,1814,1814,15,1625,1732,95.47960308710033,82,0
2009-2010,MiNP,URXMNP,URDMNPLC,2819,1967,1967,1914,1914,16,1742,700,36.57262277951933,1214,0
2009-2010,MCOP,URXCOP,URDCOPLC,2819,1967,1967,1914,1914,16,1742,1909,99.7387669801463,5,0
2011-2012,MiNP,URXMNP,URDMNPLC,2594,1775,1775,1705,1705,11,1569,963,56.48093841642229,742,0
2011-2012,MCOP,URXCOP,URDCOPLC,2594,1775,1775,1705,1705,11,1569,1705,100.0,0,0
2013-2014,MiNP,URXMNP,URDMNPLC,2777,1863,1863,1814,1814,7,1639,682,37.59647188533627,1132,0
2013-2014,MCOP,URXCOP,URDCOPLC,2777,1863,1863,1814,1814,7,1639,1811,99.83461962513782,3,0
2015-2016,MiNP,URXMNP,URDMNPLC,3205,1751,1751,1690,1690,11,1530,432,25.562130177514792,1258,0
2015-2016,MCOP,URXCOP,URDCOPLC,3205,1751,1751,1690,1690,11,1530,1678,99.28994082840237,12,0
2017-2018,MiNP,URXMNP,URDMNPLC,2986,1765,1765,1700,1700,10,1538,188,11.058823529411764,1512,0
2017-2018,MONP,URXMONP,URDMONLC,2986,1765,1765,1700,1700,10,1538,1435,84.41176470588235,265,0
2017-2018,MCOP,URXCOP,URDCOPLC,2986,1765,1765,1700,1700,10,1538,1687,99.23529411764706,13,0
