drug,role,signature_id,contrast_id,rrs_model,rho_model,n_genes_scored
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M19_leflunomide_10uM,GSE77932|HCT116,0.4788805712752775,0.04223885744944495,211
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M19_leflunomide_10uM,GSE77932|DLD1,0.4687273804040271,0.06254523919194578,168
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M19_leflunomide_10uM,GSE42387|HCT116,0.5644541748989872,-0.12890834979797444,306
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M19_leflunomide_10uM,GSE42387|HT29,0.5985608526918605,-0.1971217053837211,317
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M19_leflunomide_10uM,GSE42387|LoVo,0.4674163783160323,0.0651672433679354,289
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M19_leflunomide_10uM,GSE119603|HCT116,0.4963633450660855,0.007273309867828996,333
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M20_leflunomide_3.33uM,GSE77932|HCT116,0.4304499176045273,0.13910016479094547,211
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M20_leflunomide_3.33uM,GSE77932|DLD1,0.4140645167821584,0.17187096643568317,168
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M20_leflunomide_3.33uM,GSE42387|HCT116,0.4872874110974728,0.025425177805054374,306
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M20_leflunomide_3.33uM,GSE42387|HT29,0.5113467100737674,-0.022693420147534917,317
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M20_leflunomide_3.33uM,GSE42387|LoVo,0.509143200890904,-0.018286401781808057,289
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M20_leflunomide_3.33uM,GSE119603|HCT116,0.45431782294018785,0.09136435411962429,333
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M21_leflunomide_1.11uM,GSE77932|HCT116,0.5338287707106449,-0.06765754142128998,211
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M21_leflunomide_1.11uM,GSE77932|DLD1,0.4521122589984865,0.09577548200302693,168
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M21_leflunomide_1.11uM,GSE42387|HCT116,0.5047898755807123,-0.009579751161424682,306
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M21_leflunomide_1.11uM,GSE42387|HT29,0.5564679694321992,-0.1129359388643985,317
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M21_leflunomide_1.11uM,GSE42387|LoVo,0.4552937199220459,0.0894125601559082,289
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M21_leflunomide_1.11uM,GSE119603|HCT116,0.4746578073607923,0.05068438527841533,333
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M22_leflunomide_0.37uM,GSE77932|HCT116,0.4211021831606648,0.15779563367867044,211
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M22_leflunomide_0.37uM,GSE77932|DLD1,0.516405059703079,-0.032810119406158106,168
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M22_leflunomide_0.37uM,GSE42387|HCT116,0.4657488349106931,0.06850233017861389,306
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M22_leflunomide_0.37uM,GSE42387|HT29,0.562426400176602,-0.1248528003532038,317
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M22_leflunomide_0.37uM,GSE42387|LoVo,0.4791579664320089,0.04168406713598218,289
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M22_leflunomide_0.37uM,GSE119603|HCT116,0.46598205932064685,0.06803588135870636,333
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M23_leflunomide_0.125uM,GSE77932|HCT116,0.5265715818653313,-0.05314316373066262,211
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M23_leflunomide_0.125uM,GSE77932|DLD1,0.4917316676874484,0.016536664625103135,168
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M23_leflunomide_0.125uM,GSE42387|HCT116,0.55484196562162,-0.1096839312432401,306
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M23_leflunomide_0.125uM,GSE42387|HT29,0.5421056914183077,-0.08421138283661536,317
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M23_leflunomide_0.125uM,GSE42387|LoVo,0.5212467187686434,-0.042493437537286724,289
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M23_leflunomide_0.125uM,GSE119603|HCT116,0.5172548154276982,-0.03450963085539648,333
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M24_leflunomide_0.04uM,GSE77932|HCT116,0.45554668438062873,0.0889066312387425,211
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M24_leflunomide_0.04uM,GSE77932|DLD1,0.563970115559245,-0.12794023111849,168
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M24_leflunomide_0.04uM,GSE42387|HCT116,0.45932485024767633,0.08135029950464728,306
leflunomide,primary,L1000_LINCS_DCIC_REP.A024_HT29_24H_M24_leflunomide_0.04uM,GSE42387|HT29,0.5306455943555948,-0.06129118871118955,317
