contrast_id,dataset,model,context,platform,pathway,gene_set_source,n_genes_present,parental_n,resistant_n,delta_pathway,p_value,direction,note
GSE77932|HCT116,GSE77932,HCT116,acquired_OXA_R,GPL16699,GSH_redox,MSigDB Reactome,35,1,3,-0.08591178457467863,,down,matched parental and independent OHP-resistant clones; no biological parental replicates
GSE77932|HCT116,GSE77932,HCT116,acquired_OXA_R,GPL16699,NRF2_response,curated mechanistic set,22,1,3,0.2576333714734873,,up,matched parental and independent OHP-resistant clones; no biological parental replicates
GSE77932|HCT116,GSE77932,HCT116,acquired_OXA_R,GPL16699,ferroptosis_resistance,curated mechanistic set,16,1,3,-0.18530004596036107,,down,matched parental and independent OHP-resistant clones; no biological parental replicates
GSE77932|HCT116,GSE77932,HCT116,acquired_OXA_R,GPL16699,DNA_repair,MSigDB Hallmark,145,1,3,-0.8868014834499797,,down,matched parental and independent OHP-resistant clones; no biological parental replicates
GSE77932|HCT116,GSE77932,HCT116,acquired_OXA_R,GPL16699,UPR_ER_stress,MSigDB Hallmark,109,1,3,-0.8775099634455328,,down,matched parental and independent OHP-resistant clones; no biological parental replicates
GSE77932|HCT116,GSE77932,HCT116,acquired_OXA_R,GPL16699,OXPHOS,MSigDB Hallmark,185,1,3,-1.1243420682803236,,down,matched parental and independent OHP-resistant clones; no biological parental replicates
GSE77932|HCT116,GSE77932,HCT116,acquired_OXA_R,GPL16699,glycolysis,MSigDB Hallmark,195,1,3,-0.13252716661487943,,down,matched parental and independent OHP-resistant clones; no biological parental replicates
GSE77932|HCT116,GSE77932,HCT116,acquired_OXA_R,GPL16699,EMT,MSigDB Hallmark,195,1,3,0.6032493923557187,,up,matched parental and independent OHP-resistant clones; no biological parental replicates
GSE77932|HCT116,GSE77932,HCT116,acquired_OXA_R,GPL16699,TGF_beta,MSigDB Hallmark,52,1,3,0.3915376730784366,,up,matched parental and independent OHP-resistant clones; no biological parental replicates
GSE77932|HCT116,GSE77932,HCT116,acquired_OXA_R,GPL16699,ABC_transport,MSigDB Reactome,34,1,3,0.09155104058019875,,up,matched parental and independent OHP-resistant clones; no biological parental replicates
