pathway,n_primary_contrasts,n_up,n_down,sign_concordance,median_delta,mean_delta,median_abs_delta,gene_set_source
pyrimidine_metabolism,7,1,6,0.8571428571428571,-0.11906863314950741,-0.1087332920315712,0.12348291194503536,MSigDB Reactome
EMT,7,6,1,0.8571428571428571,0.10160134853610488,0.1550588401346535,0.10160134853610488,MSigDB Hallmark
apoptosis,7,6,1,0.8571428571428571,0.06616139075010981,0.11157201110479453,0.08093694518541834,MSigDB Hallmark
UPR_ER_stress,7,1,6,0.8571428571428571,-0.0399505380959215,-0.11623258227806069,0.07498504403770881,MSigDB Hallmark
TNF_NFkB,7,5,2,0.7142857142857143,0.04989765117258161,0.06481472228193175,0.2814843502300628,MSigDB Hallmark
NRF2_response,7,5,2,0.7142857142857143,0.2576333714734873,0.1488125590011699,0.27460841973826705,curated mechanistic set
ferroptosis_resistance,7,5,2,0.7142857142857143,0.20512767839492943,0.07264904727243629,0.25285886408511,curated mechanistic set
carnitine_entry,7,2,5,0.7142857142857143,-0.059981272424475596,0.08247576375444178,0.18842381202470646,curated mechanistic set
lipid_FA_metabolism,7,5,2,0.7142857142857143,0.03235779593198805,0.052999487797794176,0.06824480967777773,MSigDB Reactome
drug_metabolism,7,5,2,0.7142857142857143,0.01773318976497428,0.024244400622339613,0.04017994705523635,MSigDB Hallmark
FAO_mitochondrial,7,3,4,0.5714285714285714,-0.14761658168519107,-0.09090376909488916,0.234508149459223,MSigDB Reactome
purine_metabolism,7,3,4,0.5714285714285714,-0.03540107228746434,-0.15432109657453927,0.19023149149326296,MSigDB Reactome
ROS,7,3,4,0.5714285714285714,-0.005634561936588723,0.0526021280731256,0.189170197767851,MSigDB Hallmark
ABC_transport,7,4,3,0.5714285714285714,0.06962185893849956,0.002966579029929322,0.18574226330810156,MSigDB Reactome
IL6_JAK_STAT3,7,4,3,0.5714285714285714,0.06556467088954417,0.13336630902351404,0.17846124443177347,MSigDB Hallmark
cholesterol_homeostasis,7,4,3,0.5714285714285714,0.03811616239982922,0.012731644550805268,0.14728009338460848,MSigDB Hallmark
OXPHOS,7,4,3,0.5714285714285714,0.11967993674076396,-0.06320083594804303,0.14048369773589314,MSigDB Hallmark
glycolysis,7,4,3,0.5714285714285714,0.06687752918503548,0.03728885508265541,0.124232579120873,MSigDB Hallmark
GSH_redox,7,4,3,0.5714285714285714,0.10989939096791426,0.15197242256408977,0.1190764438094739,MSigDB Reactome
TGF_beta,7,4,3,0.5714285714285714,0.04636054735091538,0.10487625697567086,0.08572382997331478,MSigDB Hallmark
DNA_repair,7,3,4,0.5714285714285714,-0.015002821888633826,-0.08978032440065535,0.08279181165819141,MSigDB Hallmark
autophagy,7,4,3,0.5714285714285714,0.05860208825544279,0.02376306794804221,0.07995246248478957,MSigDB Reactome
