module,gene,n_models,n_up,n_down,sign_concordance,median_delta_gene,mean_delta_gene
ATF6_proteostasis,HSP90B1,6,5,1,0.8333333333333334,0.22406903165310715,0.28393560556243685
ATF6_proteostasis,MANF,6,5,1,0.8333333333333334,0.1691189480685082,0.3514649605432963
ATF6_proteostasis,EDEM1,6,4,2,0.6666666666666666,0.5277060393677122,0.3578287054104205
ATF6_proteostasis,CANX,6,4,2,0.6666666666666666,0.3191226442589201,0.13564358376274177
ATF6_proteostasis,HSPA5,6,4,2,0.6666666666666666,0.1405579680747937,-0.3193814232232343
ATF6_proteostasis,HERPUD1,6,2,4,0.6666666666666666,-0.998661263025711,-0.6389625214129432
ATF6_proteostasis,PDIA4,6,3,3,0.5,0.25424541002597745,0.4309636656346038
ATF6_proteostasis,CALR,6,3,3,0.5,0.11667276829199322,0.08975469969717227
ATF6_proteostasis,XBP1,6,3,3,0.5,0.02011459182538622,-0.14633167615333617
ATF6_proteostasis,ATF6,6,3,3,0.5,-0.5761398873172221,-0.4712041490540524
DNA_replication_E2F,UBR7,6,6,0,1.0,0.7017448641344453,0.712285066512235
DNA_replication_E2F,SPC24,3,3,0,1.0,0.5619324876607781,0.5351203517071365
DNA_replication_E2F,CDKN3,6,6,0,1.0,0.4391515371830274,0.6752713749400577
DNA_replication_E2F,CENPE,6,6,0,1.0,0.390685300411284,0.6074800296602926
DNA_replication_E2F,NBN,6,6,0,1.0,0.38015664776033475,0.6517975833726503
DNA_replication_E2F,DLGAP5,6,6,0,1.0,0.3053442920738655,0.5461345908000578
DNA_replication_E2F,HMMR,6,6,0,1.0,0.17225116543610905,0.43602596579278935
DNA_replication_E2F,TRA2B,6,0,6,1.0,-0.14839630705674467,-0.527006190536437
DNA_replication_E2F,CNOT9,1,0,1,1.0,-0.23301176163269596,-0.23301176163269596
DNA_replication_E2F,STMN1,6,0,6,1.0,-0.8079073278428857,-0.8316535055668933
DNA_replication_E2F,CDKN2C,6,5,1,0.8333333333333334,1.0109830773780475,0.8929731955581754
DNA_replication_E2F,DCK,6,5,1,0.8333333333333334,0.921138271383051,0.7484720233774672
DNA_replication_E2F,ASF1A,6,5,1,0.8333333333333334,0.9172864498229782,0.8277199181953523
DNA_replication_E2F,CDCA3,6,5,1,0.8333333333333334,0.6874582449205329,0.6773930966642995
DNA_replication_E2F,RRM2,6,5,1,0.8333333333333334,0.6491174415152255,0.6105372788488318
DNA_replication_E2F,CDK1,6,5,1,0.8333333333333334,0.6213286233836814,0.6892145968408636
DNA_replication_E2F,ILF3,6,5,1,0.8333333333333334,0.573219090147092,0.4919271366651034
DNA_replication_E2F,RNASEH2A,6,5,1,0.8333333333333334,0.39959742131912923,0.3687877847055372
DNA_replication_E2F,CKS2,6,5,1,0.8333333333333334,0.3836316093911892,0.1964864382957876
DNA_replication_E2F,KIF2C,6,5,1,0.8333333333333334,0.3688994760721635,0.34894032223553856
DNA_replication_E2F,PHF5A,6,5,1,0.8333333333333334,0.3677633647950345,0.15433421050499024
DNA_replication_E2F,PTTG1,6,5,1,0.8333333333333334,0.3184255983908111,0.5035410936213961
DNA_replication_E2F,PRDX4,6,5,1,0.8333333333333334,0.27443286053321897,0.007159751941687276
DNA_replication_E2F,PRIM2,6,5,1,0.8333333333333334,0.25580983386839146,0.14409900250863197
DNA_replication_E2F,TUBG1,6,5,1,0.8333333333333334,0.23406204302575823,0.352739766495249
DNA_replication_E2F,KPNA2,6,5,1,0.8333333333333334,0.20388571840918104,0.35541585490324007
DNA_replication_E2F,CDKN1A,6,5,1,0.8333333333333334,0.17766211219080347,-0.08933918562721439
DNA_replication_E2F,UBE2T,6,5,1,0.8333333333333334,0.16289386193821093,0.3062864563620907
DNA_replication_E2F,ATAD2,6,5,1,0.8333333333333334,0.11405362967066701,0.3419164815621478
DNA_replication_E2F,USP1,6,1,5,0.8333333333333334,-0.1994230889381924,-0.592568714497919
DNA_replication_E2F,RAD21,6,1,5,0.8333333333333334,-0.24791208889791486,0.01274648310259637
DNA_replication_E2F,PA2G4,6,1,5,0.8333333333333334,-0.2647817691175667,-0.6597828459854063
DNA_replication_E2F,CDKN2A,6,1,5,0.8333333333333334,-0.2659226187785405,-0.32099213279294253
DNA_replication_E2F,PPM1D,6,1,5,0.8333333333333334,-0.3181755359954511,-0.6654723106752419
DNA_replication_E2F,RAD51AP1,6,1,5,0.8333333333333334,-0.35409733669569643,-0.2987839794656632
DNA_replication_E2F,ORC2,6,1,5,0.8333333333333334,-0.37317914892931836,-0.49388466660016955
DNA_replication_E2F,MCM2,6,1,5,0.8333333333333334,-0.41346110708159534,-0.8701881279900695
DNA_replication_E2F,CCP110,6,1,5,0.8333333333333334,-0.4184998343904206,-0.6537687973878379
DNA_replication_E2F,MSH2,6,1,5,0.8333333333333334,-0.5195192035100078,-0.4748169641324598
DNA_replication_E2F,GINS3,6,1,5,0.8333333333333334,-0.609582626925889,-0.5990749010291232
DNA_replication_E2F,MCM5,6,1,5,0.8333333333333334,-0.6440905909600294,-0.5548030458625843
DNA_replication_E2F,PAN2,6,1,5,0.8333333333333334,-0.724339445172054,-0.4355686635381104
DNA_replication_E2F,BRCA1,6,1,5,0.8333333333333334,-0.8454066485580214,-0.6467962611689416
DNA_replication_E2F,LUC7L3,6,1,5,0.8333333333333334,-1.1350470138684288,-0.8094774772112422
DNA_replication_E2F,TP53,6,1,5,0.8333333333333334,-1.6654382586116832,-1.1966597753071389
DNA_replication_E2F,POLA2,4,3,1,0.75,0.5391165257998474,0.22838894936980203
DNA_replication_E2F,HMGA1,4,3,1,0.75,0.3927920975717939,0.059357601361603674
DNA_replication_E2F,SRSF1,4,3,1,0.75,0.31552258442791936,0.5076054397602275
DNA_replication_E2F,CKS1B,4,3,1,0.75,0.27552434099752315,0.4059391623469255
DNA_replication_E2F,GSPT1,4,1,3,0.75,-0.3690299734172059,-0.1745663994740126
DNA_replication_E2F,RAD50,4,1,3,0.75,-0.4291024227183005,-0.46018646045831235
DNA_replication_E2F,ANP32E,6,4,2,0.6666666666666666,0.9622156911037345,0.6786779545972625
DNA_replication_E2F,TRIP13,6,4,2,0.6666666666666666,0.6998021066783301,0.28219796367667344
DNA_replication_E2F,DIAPH3,6,4,2,0.6666666666666666,0.681863639827162,0.2183781543746687
DNA_replication_E2F,SUV39H1,6,4,2,0.6666666666666666,0.6709788444791897,0.5774868882453214
DNA_replication_E2F,RACGAP1,6,4,2,0.6666666666666666,0.49356707176703374,0.5611208149294602
DNA_replication_E2F,SMC3,6,4,2,0.6666666666666666,0.4787165779432263,0.2639522422481571
DNA_replication_E2F,TUBB,6,4,2,0.6666666666666666,0.4653921001100226,0.6845937425847498
DNA_replication_E2F,KIF4A,6,4,2,0.6666666666666666,0.4245708954081197,0.32726631221542496
DNA_replication_E2F,EIF2S1,6,4,2,0.6666666666666666,0.39392824368513607,0.10473933279085712
DNA_replication_E2F,CIT,6,4,2,0.6666666666666666,0.3928403264028442,0.2609090156192783
DNA_replication_E2F,HUS1,6,4,2,0.6666666666666666,0.3831382862073093,0.11285376687497495
DNA_replication_E2F,NME1,6,4,2,0.6666666666666666,0.38261830344671227,-0.01866483102791805
DNA_replication_E2F,SPAG5,6,4,2,0.6666666666666666,0.3815690890521025,0.4758212560820076
DNA_replication_E2F,CDC20,6,4,2,0.6666666666666666,0.3430912680249769,0.3297183705510481
DNA_replication_E2F,MAD2L1,6,4,2,0.6666666666666666,0.3233030831730973,0.24306827743987205
