dataset,CELL_LINE_NAME,OXA_LN_IC50,OXA_group
GDSC2,C2BBe1,3.639759,OXA-S-like
GDSC2,CCK-81,1.8883290000000001,OXA-S-like
GDSC2,CL-11,6.098312,OXA-R-like
GDSC2,COLO-205,3.5319905,OXA-S-like
GDSC2,COLO-320-HSR,4.168295,OXA-R-like
GDSC2,COLO-678,8.0275085,OXA-R-like
GDSC2,CW-2,3.106015,OXA-S-like
GDSC2,CaR-1,6.628916,OXA-R-like
GDSC2,DiFi,4.1801555,OXA-R-like
GDSC2,GP5d,2.5742005,OXA-S-like
GDSC2,HCC2998,3.2440825,OXA-S-like
GDSC2,HCT-116,2.0459505,OXA-S-like
GDSC2,HCT-15,2.8587885,OXA-S-like
GDSC2,HT-115,4.912083,OXA-R-like
GDSC2,HT-29,3.0475545,OXA-S-like
GDSC2,HT55,2.1227405,OXA-S-like
GDSC2,KM12,4.0614989999999995,OXA-R-like
GDSC2,LS-1034,4.6148875,OXA-R-like
GDSC2,LS-123,6.247258,OXA-R-like
GDSC2,LS-180,2.278583,OXA-S-like
GDSC2,LS-411N,3.208996,OXA-S-like
GDSC2,LS-513,1.7760415,OXA-S-like
GDSC2,LoVo,2.8276895,OXA-S-like
GDSC2,MDST8,3.815016,OXA-S-like
GDSC2,NCI-H508,1.521591,OXA-S-like
GDSC2,NCI-H716,3.893207,OXA-S-like
GDSC2,NCI-H747,4.8425650000000005,OXA-R-like
GDSC2,RCM-1,5.915122,OXA-R-like
GDSC2,RKO,3.56134,OXA-S-like
GDSC2,SK-CO-1,2.4715405,OXA-S-like
GDSC2,SNU-1040,5.510084,OXA-R-like
GDSC2,SNU-175,2.768688,OXA-S-like
GDSC2,SNU-407,3.9995840000000005,OXA-R-like
GDSC2,SNU-61,5.233121000000001,OXA-R-like
GDSC2,SNU-81,4.497106499999999,OXA-R-like
GDSC2,SNU-C1,4.99785,OXA-R-like
GDSC2,SNU-C2B,6.196574,OXA-R-like
GDSC2,SNU-C5,4.2355955000000005,OXA-R-like
GDSC2,SW1116,4.986903,OXA-R-like
GDSC2,SW1417,7.1312505,OXA-R-like
GDSC2,SW1463,3.1018985,OXA-S-like
GDSC2,SW48,2.5972415,OXA-S-like
GDSC2,SW620,2.9577495000000003,OXA-S-like
GDSC2,SW837,4.825061,OXA-R-like
GDSC2,SW948,4.5897575,OXA-R-like
GDSC2,T84,4.7249255,OXA-R-like
