DRUG_NAME,delta_R_minus_S_GDSC2,mannwhitney_p_BH_GDSC2,n_overlap_GDSC2,spearman_p_BH_GDSC2,spearman_r_GDSC2
123138,0.7493545000000004,0.10574572123032727,45.0,0.013066794523358724,0.3980237154150197
123829,2.4699515,0.0035924475767876883,45.0,1.5404433296845032e-05,0.6761528326745717
150412,0.8487394999999998,0.016210715287392655,45.0,0.0003829607875172536,0.5661396574440052
5-Fluorouracil,1.501637,0.0035924475767876883,46.0,1.37362649924136e-06,0.727659574468085
5-azacytidine,1.5147654999999998,0.02199150478886762,42.0,0.0004663612510263084,0.5741025848796695
50869,1.5249044999999999,0.007478006252356402,45.0,0.0034751043182934447,0.4658761528326745
615590,0.2369325,0.15117758623088964,45.0,0.0077116235960951705,0.4288537549407115
630600,2.4979180000000003,0.004328710186056266,45.0,1.2772325143756663e-05,0.6869565217391302
667880,0.6612379999999998,0.01625690867458089,45.0,0.029275232319878254,0.3459815546772068
720427,0.20968600000000004,0.43095079281039594,45.0,0.07632647968917912,0.2770750988142292
729189,0.7783614999999999,0.03676957599312764,45.0,0.013623429662126641,0.3955204216073781
741909,0.7910705000000005,0.08886516879237708,45.0,0.017661272691754472,0.37984189723320155
743380,0.9553490000000002,0.03411177939635223,45.0,0.0012934718712282777,0.5181818181818182
765771,0.46272,0.07587820870046663,45.0,0.033335718812521946,0.3374176548089591
776928,2.4704095,0.01400143834081283,45.0,0.0021017297631872856,0.4922266139657443
A-366,0.7097340000000001,0.0035924475767876883,42.0,0.00010236408585427115,0.630824082327202
ABT737,-0.09826999999999986,0.8766016470507922,44.0,0.8478643740176818,0.031007751937984496
AGI-5198,0.2307435,0.4403003572305918,44.0,0.037236662819522516,0.33206483439041573
AGI-6780,0.6011499999999996,0.11456988595983089,46.0,0.01897573433591504,0.3711995066296639
AGK2,0.6087814999999996,0.16549706667764544,45.0,0.008304295454483216,0.4247694334650856
AMG-319,0.4117740000000003,0.23430793291589472,41.0,0.04686771834660788,0.3277003484320558
AT13148,0.4786450000000002,0.3153177148292673,43.0,0.07573196651538361,0.2843551797040169
AZ6102,0.3166884999999997,0.41314825260893584,43.0,0.2861216157850024,0.17079432195711267
AZ960,1.5598479999999997,0.020475403914680765,46.0,0.04869607853521372,0.30619796484736356
AZD1208,0.7381134999999999,0.007478006252356402,45.0,1.5404433296845032e-05,0.6689064558629775
AZD1332,1.4971954999999992,0.00357873776566538,45.0,0.0009813468207195042,0.52832674571805
AZD2014,0.8536195000000002,0.01705314499836229,45.0,0.021890232627764045,0.36561264822134387
AZD3759,0.12420549999999997,0.5021581786038966,45.0,0.02921236710469624,0.34637681159420286
