dataset,DRUG_NAME,n_overlap,n_OXA_R_like,n_OXA_S_like,spearman_r,spearman_p,pearson_r,pearson_p,median_LN_IC50_R,median_LN_IC50_S,delta_R_minus_S,mannwhitney_p,collateral_sensitivity_direction,spearman_p_BH,pearson_p_BH,mannwhitney_p_BH
GDSC2,123138,45,23,22,0.3980237154150197,0.006773595690417573,0.4062664580501527,0.005619922094359729,3.445987,2.6966324999999998,0.7493545000000004,0.0610370523277992,no,0.013066794523358724,0.008353108249540143,0.10574572123032727
GDSC2,123829,45,23,22,0.6761528326745717,3.4425197352951046e-07,0.7086955105506217,5.115262479910945e-08,3.084452,0.6145005,2.4699515,0.00022452797354923052,no,1.5404433296845032e-05,3.6700859126736414e-06,0.0035924475767876883
GDSC2,150412,45,23,22,0.5661396574440052,5.047609779515424e-05,0.5227245661605178,0.0002298918667791422,3.676374,2.8276345000000003,0.8487394999999998,0.0032779019882595447,no,0.0003829607875172536,0.0006783830069784384,0.016210715287392655
GDSC2,5-Fluorouracil,46,23,23,0.727659574468085,1.0100194847362941e-08,0.7744181382470158,2.72017459434398e-10,4.463236,2.961599,1.501637,0.00018789376849001892,no,1.37362649924136e-06,7.398874896615626e-08,0.0035924475767876883
GDSC2,5-azacytidine,42,20,22,0.5741025848796695,7.029710033852443e-05,0.6439671542883029,4.201615185051754e-06,3.7778169999999998,2.2630515,1.5147654999999998,0.0058212806794061345,no,0.0004663612510263084,3.740536793005908e-05,0.02199150478886762
GDSC2,50869,45,23,22,0.4658761528326745,0.0012588748345509519,0.521180170961253,0.00024173105227559544,3.603549,2.0786445000000002,1.5249044999999999,0.0008797654414536944,no,0.0034751043182934447,0.0006994770874357655,0.007478006252356402
GDSC2,615590,45,23,22,0.4288537549407115,0.0032887806512758816,0.5624515466186287,5.789225944440942e-05,4.034473,3.7975405,0.2369325,0.1044903904831149,no,0.0077116235960951705,0.00025397894465934454,0.15117758623088964
GDSC2,630600,45,23,22,0.6869565217391302,1.87828310937598e-07,0.7024292410434059,7.530661777770834e-08,4.053077,1.555159,2.4979180000000003,0.0003486775726798748,no,1.2772325143756663e-05,3.6700859126736414e-06,0.004328710186056266
GDSC2,667880,45,23,22,0.3459815546772068,0.019911463158740726,0.2781880287431428,0.06426448615938138,2.053323,1.392085,0.6612379999999998,0.0035263147492657085,no,0.029275232319878254,0.07076898880709204,0.01625690867458089
GDSC2,720427,45,23,22,0.2770750988142292,0.0653826094396277,0.32861735928019226,0.027523609228290745,4.105785,3.896099,0.20968600000000004,0.39451010077128157,no,0.07632647968917912,0.033272985378200365,0.43095079281039594
GDSC2,729189,45,23,22,0.3955204216073781,0.0071623178003092265,0.3742077065402726,0.011329319892354958,4.537614,3.7592524999999997,0.7783614999999999,0.01135128086900763,no,0.013623429662126641,0.01510575985647328,0.03676957599312764
GDSC2,741909,45,23,22,0.37984189723320155,0.010064328188315968,0.43103922479415174,0.0031165722330874497,3.078498,2.2874274999999997,0.7910705000000005,0.04448819918052541,no,0.017661272691754472,0.005137622105453251,0.08886516879237708
GDSC2,743380,45,23,22,0.5181818181818182,0.0002663030323117042,0.5256488666516645,0.00020890130245131255,2.849235,1.893886,0.9553490000000002,0.009963134418656566,no,0.0012934718712282777,0.0006456949348495115,0.03411177939635223
GDSC2,765771,45,23,22,0.3374176548089591,0.02340853784261651,0.3976814997143833,0.006825633145326399,4.129573,3.6668529999999997,0.46272,0.03375464431160464,no,0.033335718812521946,0.009623168251899664,0.07587820870046663
GDSC2,776928,45,23,22,0.4922266139657443,0.0005936859071754422,0.5192032944232168,0.0002576893859780228,5.798636,3.3282265,2.4704095,0.0026252696889024056,no,0.0021017297631872856,0.0007139156281735531,0.01400143834081283
GDSC2,A-366,42,20,22,0.630824082327202,7.526771018696408e-06,0.6841677343400019,5.872097434730783e-07,5.434392,4.724658,0.7097340000000001,0.0001505026087593354,no,0.00010236408585427115,8.471514595641697e-06,0.0035924475767876883
GDSC2,ABT737,44,22,22,0.031007751937984496,0.8416300771499047,0.08168924228324913,0.5980907185126172,1.8749920000000002,1.973262,-0.09826999999999986,0.8602588271965479,yes,0.8478643740176818,0.611581486599368,0.8766016470507922
GDSC2,AGI-5198,44,22,22,0.33206483439041573,0.027653698123321867,0.41675409741611563,0.004890813569481921,4.981071,4.7503275,0.2307435,0.40468782833694095,no,0.037236662819522516,0.007431850787145713,0.4403003572305918
GDSC2,AGI-6780,46,23,23,0.3711995066296639,0.01109243293900916,0.4701626247210177,0.000977269869556143,5.098069,4.496919,0.6011499999999996,0.06823647619666398,no,0.01897573433591504,0.0020930504292855975,0.11456988595983089
GDSC2,AGK2,45,22,23,0.4247694334650856,0.0036331292613364066,0.5400236217786217,0.00012880372755778302,3.6425314999999996,3.03375,0.6087814999999996,0.11986368432167702,no,0.008304295454483216,0.00043793267369646226,0.16549706667764544
GDSC2,AMG-319,41,20,21,0.3277003484320558,0.03647813975007825,0.42949542146222874,0.005073571678415574,5.563187,5.151413,0.4117740000000003,0.18779091682229798,no,0.04686771834660788,0.0076243729090002,0.23430793291589472
GDSC2,AT13148,43,21,22,0.2843551797040169,0.06459491261606248,0.3842605290814465,0.01095841355128741,3.967949,3.4893039999999997,0.4786450000000002,0.2689474626484927,no,0.07573196651538361,0.01468319451206983,0.3153177148292673
GDSC2,AZ6102,43,21,22,0.17079432195711267,0.27349860332389936,0.19547733620496824,0.2090364047798773,2.474755,2.1580665000000003,0.3166884999999997,0.3751750676264969,no,0.2861216157850024,0.21868423884664087,0.41314825260893584
GDSC2,AZ960,46,23,23,0.30619796484736356,0.03849138560687849,0.3730393397319228,0.010669139200856579,3.905235,2.345387,1.5598479999999997,0.005269405419219314,no,0.04869607853521372,0.014366365656598958,0.020475403914680765
GDSC2,AZD1208,45,23,22,0.6689064558629775,5.097055134985488e-07,0.6916485543913146,1.432110659648695e-07,5.710526,4.9724125,0.7381134999999999,0.0008797654414536944,no,1.5404433296845032e-05,4.606252963482949e-06,0.007478006252356402
GDSC2,AZD1332,45,23,22,0.52832674571805,0.000191218314331374,0.43279424974397496,0.0029840724312677003,5.175062,3.6778665000000004,1.4971954999999992,8.975175678418862e-05,no,0.0009813468207195042,0.0050102944524988546,0.00357873776566538
GDSC2,AZD2014,45,23,22,0.36561264822134387,0.01352043779950132,0.4267635548763344,0.0034612451220942166,2.788749,1.9351295,0.8536195000000002,0.0040752000915204,no,0.021890232627764045,0.005603920673866827,0.01705314499836229
GDSC2,AZD3759,45,22,23,0.34637681159420286,0.019761307159059223,0.3412350569319471,0.02179093504541058,2.5040805,2.379875,0.12420549999999997,0.47446563198971115,no,0.02921236710469624,0.027064540330372956,0.5021581786038966
GDSC2,AZD4547,46,23,23,0.38661732963305573,0.007952383483062353,0.3005323309793219,0.04241807843529323,4.328859,3.393892,0.9349669999999994,0.07162838991083394,no,0.014815399365705204,0.048477803926049404,0.11736700033582427
GDSC2,AZD5153,45,23,22,0.38695652173913037,0.00864179918024559,0.37765768967045277,0.010539534769411291,2.494132,1.3101665,1.1839655,0.0032779019882595447,no,0.015775633402864433,0.014262455011342644,0.016210715287392655
GDSC2,AZD5363,44,22,22,0.4625792811839323,0.0015694899410505687,0.5989520098359931,1.7450666854830677e-05,3.5809515000000003,2.568355,1.0125965000000003,0.028185802147907384,no,0.004065726323483378,0.00011577027767107182,0.06725033494939306
