gene,background,observed_background_vulnerability_rho,empirical_p_value,n_permutations,n_trajectories_combined
A1BG,HCT116,0.1062770562770562,0.23876123876123875,1000,3
A1CF,HCT116,-0.1196248196248196,0.1888111888111888,1000,3
A2M,HCT116,-0.0547619047619047,0.5554445554445554,1000,3
A2ML1,HCT116,0.1829725829725829,0.05094905094905095,1000,3
A3GALT2,HCT116,0.165007215007215,0.06893106893106893,1000,3
A4GALT,HCT116,-0.0149350649350649,0.8831168831168831,1000,3
A4GNT,HCT116,0.1249639249639249,0.18081918081918083,1000,3
AAAS,HCT116,-0.2605339105339105,0.007992007992007992,1000,3
AACS,HCT116,-0.1646464646464646,0.06693306693306693,1000,3
AADAC,HCT116,-0.2539682539682539,0.007992007992007992,1000,3
AADACL2,HCT116,0.0979076479076479,0.2997002997002997,1000,3
AADACL3,HCT116,-0.221067821067821,0.01898101898101898,1000,3
AADACL4,HCT116,0.0067099567099567,0.948051948051948,1000,3
AADAT,HCT116,0.1404761904761904,0.11688311688311688,1000,3
AAGAB,HCT116,-0.0743145743145743,0.4015984015984016,1000,3
AAK1,HCT116,0.0783549783549783,0.3966033966033966,1000,3
AAMDC,HCT116,-0.0877344877344877,0.35364635364635366,1000,3
AAMP,HCT116,-0.1601731601731601,0.07692307692307693,1000,3
AANAT,HCT116,-0.1194083694083694,0.18281718281718282,1000,3
AAR2,HCT116,0.0457431457431457,0.6023976023976024,1000,3
AARD,HCT116,0.1259740259740259,0.17782217782217782,1000,3
AARS1,HCT116,-0.0075757575757575,0.955044955044955,1000,3
AARS2,HCT116,0.1442279942279942,0.12187812187812187,1000,3
AARSD1,HCT116,0.2334054834054834,0.012987012987012988,1000,3
AASDH,HCT116,-0.1284992784992785,0.14785214785214784,1000,3
AASDHPPT,HCT116,-0.0531024531024531,0.5774225774225774,1000,3
AASS,HCT116,-0.1243867243867243,0.17582417582417584,1000,3
AATF,HCT116,-0.0958874458874458,0.3036963036963037,1000,3
AATK,HCT116,0.1645021645021645,0.07192807192807193,1000,3
ABAT,HCT116,-0.0006493506493506,0.99000999000999,1000,3
ABCA1,HCT116,-0.2229437229437229,0.012987012987012988,1000,3
ABCA10,HCT116,0.1516594516594516,0.10989010989010989,1000,3
ABCA12,HCT116,-0.0632756132756132,0.46653346653346656,1000,3
ABCA13,HCT116,-0.1826839826839826,0.053946053946053944,1000,3
ABCA2,HCT116,0.0266955266955266,0.7942057942057942,1000,3
ABCA3,HCT116,0.0305194805194805,0.7352647352647352,1000,3
ABCA4,HCT116,0.1165223665223665,0.18581418581418582,1000,3
ABCA5,HCT116,-0.1424242424242424,0.1028971028971029,1000,3
ABCA6,HCT116,-0.0184704184704184,0.8431568431568431,1000,3
ABCA7,HCT116,-0.1461760461760461,0.10789210789210789,1000,3
ABCA8,HCT116,0.1022366522366522,0.25874125874125875,1000,3
ABCA9,HCT116,-0.1748196248196248,0.057942057942057944,1000,3
ABCB1,HCT116,0.1536075036075036,0.09290709290709291,1000,3
ABCB10,HCT116,0.1618326118326118,0.07492507492507493,1000,3
ABCB11,HCT116,-0.1691919191919192,0.08191808191808192,1000,3
ABCB4,HCT116,-0.0863636363636363,0.33166833166833165,1000,3
ABCB5,HCT116,0.2195526695526695,0.012987012987012988,1000,3
ABCB6,HCT116,0.0004329004329004,0.997002997002997,1000,3
ABCB7,HCT116,-0.1545454545454545,0.08391608391608392,1000,3
ABCB8,HCT116,0.2607503607503607,0.003996003996003996,1000,3
ABCB9,HCT116,0.1235209235209235,0.18581418581418582,1000,3
ABCC1,HCT116,-0.1781385281385281,0.04095904095904096,1000,3
ABCC10,HCT116,0.0374458874458874,0.6703296703296703,1000,3
ABCC11,HCT116,0.008080808080808,0.9230769230769231,1000,3
ABCC12,HCT116,0.0222222222222222,0.8001998001998002,1000,3
ABCC2,HCT116,0.0139249639249639,0.8681318681318682,1000,3
ABCC3,HCT116,-0.1885281385281385,0.04095904095904096,1000,3
ABCC4,HCT116,0.0696248196248196,0.4515484515484515,1000,3
ABCC5,HCT116,0.1111111111111111,0.22877122877122877,1000,3
ABCC6,HCT116,,0.000999000999000999,1000,3
ABCC8,HCT116,-0.0468975468975468,0.6273726273726273,1000,3
ABCC9,HCT116,-0.0007936507936507,0.9920079920079921,1000,3
ABCD1,HCT116,0.1248196248196248,0.17782217782217782,1000,3
ABCD2,HCT116,0.1307359307359307,0.14685314685314685,1000,3
ABCD3,HCT116,-0.0473304473304473,0.6073926073926074,1000,3
ABCD4,HCT116,0.1714285714285714,0.07892107892107893,1000,3
ABCE1,HCT116,-0.0147186147186147,0.8761238761238761,1000,3
ABCF1,HCT116,-0.2513708513708513,0.004995004995004995,1000,3
ABCF3,HCT116,-0.1184704184704184,0.1878121878121878,1000,3
ABCG1,HCT116,0.0554112554112554,0.5504495504495505,1000,3
ABCG2,HCT116,0.0236652236652236,0.7852147852147852,1000,3
ABCG4,HCT116,-0.0894660894660894,0.31868131868131866,1000,3
ABCG5,HCT116,-0.0352813852813852,0.7042957042957043,1000,3
ABCG8,HCT116,-0.1427128427128427,0.1258741258741259,1000,3
ABHD1,HCT116,0.029076479076479,0.7572427572427572,1000,3
ABHD10,HCT116,-0.2106782106782107,0.017982017982017984,1000,3
ABHD11,HCT116,-0.187012987012987,0.03696303696303696,1000,3
ABHD12,HCT116,-0.1797258297258297,0.053946053946053944,1000,3
ABHD12B,HCT116,-0.1456709956709956,0.11188811188811189,1000,3
ABHD13,HCT116,-0.1565656565656565,0.08691308691308691,1000,3
ABHD14A,HCT116,-0.0314574314574314,0.7082917082917083,1000,3
ABHD14B,HCT116,-0.1985569985569985,0.03496503496503497,1000,3
ABHD15,HCT116,-0.0018037518037518,0.9820179820179821,1000,3
ABHD16A,HCT116,-0.2295815295815295,0.011988011988011988,1000,3
ABHD16B,HCT116,-0.1386002886002886,0.10989010989010989,1000,3
ABHD17A,HCT116,0.0836219336219336,0.36563436563436563,1000,3
ABHD17B,HCT116,0.015079365079365,0.8691308691308691,1000,3
ABHD17C,HCT116,0.2517316017316017,0.003996003996003996,1000,3
ABHD18,HCT116,0.0384559884559884,0.6553446553446554,1000,3
ABHD2,HCT116,-0.0126262626262626,0.8861138861138861,1000,3
ABHD3,HCT116,-0.1024531024531024,0.27172827172827174,1000,3
ABHD4,HCT116,-0.0486291486291486,0.5954045954045954,1000,3
ABHD5,HCT116,0.0448773448773448,0.6533466533466533,1000,3
ABHD6,HCT116,0.0534632034632034,0.5384615384615384,1000,3
ABHD8,HCT116,-0.0198412698412698,0.8141858141858141,1000,3
ABI1,HCT116,0.1572150072150072,0.0979020979020979,1000,3
ABI2,HCT116,-0.1512987012987013,0.1038961038961039,1000,3
ABI3,HCT116,0.1202020202020202,0.18681318681318682,1000,3
ABI3BP,HCT116,0.0847763347763347,0.35064935064935066,1000,3
ABITRAM,HCT116,-0.0499278499278499,0.5764235764235764,1000,3
ABL1,HCT116,0.0547619047619047,0.5164835164835165,1000,3
