selection_scope,trajectory,background,gene,n,raw_vulnerability_rho,adjusted_partial_vulnerability_rho,delta_adjusted_minus_raw,covariates
trajectory_top200,GSE77932|HCT116,HCT116,ACOT4,55,0.38030303030303036,0.15839208801862148,-0.22191094228440889,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,ACSM4,55,0.3815295815295816,0.11849750403597686,-0.26303207749360474,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,ACSS2,55,0.49862914862914876,0.3528435884514512,-0.14578556017769756,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,ADAM29,55,0.36695526695526703,0.09357345218234232,-0.2733818147729247,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,ADAMTS9,55,0.4525252525252526,0.2861440288005506,-0.166381223724702,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,ADGRE3,55,0.4150072150072151,0.30665660268482176,-0.10835061232239335,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,ALPG,55,0.3903318903318904,0.24131968302835557,-0.14901220730353484,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,ANTKMT,55,0.4575757575757577,0.37824887231395954,-0.07932688526179815,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,ARC,55,0.39920634920634934,0.2642993324605068,-0.13490701674584255,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,ARPC4,55,0.3702741702741704,0.11134048096722327,-0.25893368930694716,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,ATP11B,55,0.4113275613275614,0.1951085332273077,-0.21621902810025367,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,BDKRB1,55,0.4733766233766235,0.4386122896222153,-0.03476433375440818,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,BRK1,55,0.3826839826839828,0.07341504165159839,-0.3092689410323844,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,C16ORF92,55,0.37193362193362206,0.2985435953159691,-0.07339002661765298,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,C16ORF95,55,0.4396825396825398,0.31575030867390885,-0.12393223100863093,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,C1QTNF8,55,0.39920634920634934,0.29025219335990093,-0.10895415584644841,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,C8ORF48,55,0.4189754689754691,0.3705894739274018,-0.04838599504806729,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CACNG6,55,0.4021645021645022,0.16457411310353703,-0.2375903890609652,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CAMK2N2,55,0.6277056277056279,0.38128492756569865,-0.24642070013992923,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CASP6,55,0.3683982683982685,0.1636555292730717,-0.2047427391251968,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CBY2,55,0.4749639249639251,0.15960292545916926,-0.3153609995047558,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CCDC97,55,0.39018759018759025,0.2239638314530666,-0.16622375873452366,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CCNA2,55,0.39025974025974036,0.19987483384598914,-0.19038490641375122,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CCNJL,55,0.4067821067821069,0.03674671607482798,-0.3700353907072789,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CEP164,55,0.40613275613275623,0.2046893614657165,-0.20144339466703973,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CITED4,55,0.388961038961039,0.3100761584600198,-0.07888488050101922,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CLCN1,55,0.37806637806637816,0.2904433148416596,-0.08762306322471858,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CLEC2L,55,0.3957431457431458,0.2595692169298573,-0.1361739288132885,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CLTA,55,0.4003607503607504,0.22260506521703943,-0.17775568514371098,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CNKSR3,55,0.38520923520923533,0.21003208675654667,-0.17517714845268867,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CNNM3,55,0.4502164502164503,0.11304647069477973,-0.33716997952167055,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,COL17A1,55,0.36854256854256856,0.17965991037742166,-0.1888826581651469,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,COL18A1,55,0.42460317460317476,0.3269851948587469,-0.09761797974442787,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,COL5A1,55,0.3784992784992786,0.35676942771478526,-0.021729850784493354,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CRK,55,0.4106782106782108,0.03928996150835841,-0.3713882491698524,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CRYBA2,55,0.4065656565656567,0.2938991716926789,-0.11266648487297781,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CUEDC2,55,0.5562049062049063,0.3121923019831088,-0.24401260422179744,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CYP21A2,55,0.37344877344877353,0.3152675224428656,-0.05818125100590793,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CYP2D6,55,0.4476190476190477,0.16360934833252266,-0.28400969928652503,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CYP2W1,55,0.40952380952380957,0.21154594607983088,-0.1979778634439787,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CYTH1,55,0.3746753246753247,0.22504563582606,-0.14962968884926472,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,CYTH4,55,0.38564213564213573,0.22247342016876742,-0.1631687154733683,proliferation_score+global_dependency+gene_expression
trajectory_top200,GSE77932|HCT116,HCT116,DEF6,55,0.3812409812409813,0.18631398735997218,-0.19492699388100915,proliferation_score+global_dependency+gene_expression
