r3_rank,gene,median_background_vulnerability_rho,n_positive_backgrounds,n_resampling_supported_backgrounds,tier1_flag,tier2_flag,tier3_flag,observed_global_T_median_vulnerability_rho,global_empirical_p_value,n_permutations,permutation_unit,self_line_exclusion,global_empirical_q_value,cross_method_stable_flag,n_models_top500,n_models_direction_ge3of4,median_rank_percentile,leave_HCT116_out_median_vulnerability_rho,leave_HCT116_out_n_positive_backgrounds,adjusted_partial_rho_median,adjusted_partial_rho_min,adjusted_positive_fraction,adjusted_audit_n,final_shortlist_flag,previous_19_reclassified_as_internal_stability
1,ZFP36L1,0.2633838383838384,3,2,False,True,True,0.2633838383838384,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,5,6,0.0008404272623759,0.3430735930735931,2,0.11718316521742382,-0.011914189822590269,0.8333333333333334,6.0,True,False
2,ADAMTS9,0.2630952380952381,3,2,False,True,True,0.2630952380952381,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.001328417285691,0.1292929292929293,2,0.2968275691167537,-0.27629083561942297,0.8333333333333334,6.0,True,True
3,AFDN,0.2422799422799422,4,2,False,True,True,0.24227994227994223,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.0024670606734262,0.3522366522366522,3,0.11902415810764914,-0.07208190437977037,0.6666666666666666,6.0,True,False
4,MALT1,0.2232683982683982,3,2,False,True,True,0.22326839826839823,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.0024670606734262,0.1808802308802309,2,0.12901422019465675,-0.019757080254866607,0.8333333333333334,6.0,True,True
5,STK10,0.236075036075036,3,2,False,True,True,0.23607503607503605,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,6,6,0.0042292468687306,0.1312409812409812,2,0.2829909230005541,-0.16352463785720356,0.8333333333333334,6.0,True,True
6,MOB4,0.2508658008658008,3,2,False,True,True,0.25086580086580085,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,5,6,0.0064794230873502,0.0892496392496392,2,0.27261870033240415,-0.1858511453506564,0.6666666666666666,6.0,True,True
7,TRMU,0.230050505050505,3,2,False,True,True,0.230050505050505,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,5,6,0.0067505286558585,0.1155844155844155,2,0.2492422013723103,-0.25781384470872143,0.6666666666666666,6.0,True,True
8,FAM171B,0.1961038961038961,4,2,False,True,False,0.1961038961038961,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869,True,5,6,0.0110611071951417,0.0772005772005772,3,0.17404847883517566,0.10469511736249049,1.0,6.0,True,False
9,IFNA10,0.2414141414141414,3,2,False,True,True,0.24141414141414141,0.001998001998001998,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.02800087450543378,True,6,6,0.001491080626796,0.1605339105339105,2,0.24442949883432602,-0.1402680023091857,0.8333333333333334,6.0,True,False
10,LRRC3,0.236075036075036,3,2,False,True,True,0.23607503607503605,0.001998001998001998,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.02800087450543378,True,6,6,0.0058287697229301,0.0984126984126984,2,0.2701076428277595,-0.037581773629627835,0.8333333333333334,6.0,True,False
11,SHC2,0.2147907647907647,3,2,False,True,True,0.21479076479076475,0.001998001998001998,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.02800087450543378,True,6,6,0.0109797755245892,0.0767676767676767,2,0.2544975658622744,-0.059241433359021184,0.8333333333333334,6.0,True,False
