trajectory,background,gene,n,raw_vulnerability_rho,adjusted_partial_vulnerability_rho,delta_adjusted_minus_raw,covariates
GSE77932|HCT116,HCT116,A1BG,55,0.10627705627705629,0.2117698076871644,0.10549275141010812,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,A1CF,55,-0.23809523809523814,-0.10715707804284545,0.13093816005239267,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,A2M,55,-0.054761904761904776,-0.02349800268319126,0.03126390207871352,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,A2ML1,55,0.08636363636363636,0.06825512810311632,-0.018108508260520045,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,A3GALT2,55,0.290981240981241,0.2305798445065096,-0.06040139647473142,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,A4GALT,55,-0.014935064935064937,-0.20501330872459692,-0.19007824378953198,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,A4GNT,55,0.08261183261183262,0.07359974967826009,-0.00901208293357253,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AAAS,55,-0.26053391053391056,0.02203382863668558,0.28256773917059613,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AACS,55,-0.1646464646464647,-0.056020871772862746,0.10862559287360196,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AADAC,55,-0.26010101010101017,-0.127802527102303,0.13229848299870717,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AADACL2,55,-0.015512265512265517,0.025418832816634675,0.04093109832890019,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AADACL3,55,-0.2574314574314575,-0.030452505992503452,0.22697895143895405,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AADACL4,55,0.006709956709956711,0.1128600032080375,0.1061500464980808,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AADAT,55,0.30440115440115445,0.03769739612347495,-0.2667037582776795,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AAGAB,55,-0.07431457431457433,0.012652666163436813,0.08696724047801115,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AAK1,55,0.07835497835497839,-0.12699939486177073,-0.2053543732167491,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AAMDC,55,-0.08773448773448776,0.007992401511374425,0.09572688924586219,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AAMP,55,-0.21111111111111117,-0.050362993065806015,0.16074811804530514,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AANAT,55,-0.1619047619047619,-0.13244645891243062,0.029458302992331292,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AAR2,55,0.04574314574314575,-0.01481998456851943,-0.060563130311665186,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AARD,55,0.125974025974026,0.1281002813143751,0.0021262553403491036,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AARS1,55,-0.007575757575757578,0.1033989572814981,0.11097471485725569,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AARS2,55,0.14422799422799426,-0.031788466434776945,-0.1760164606627712,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AARSD1,55,0.3199134199134199,0.24932510688574117,-0.07058831302767876,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AASDH,55,-0.27950937950937954,-0.22046255265744497,0.059046826851934575,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AASDHPPT,55,-0.027633477633477642,-0.23264075126197914,-0.2050072736285015,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AASS,55,-0.1243867243867244,-0.07965345250435636,0.044733271882368045,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AATF,55,-0.3494949494949495,-0.22900839737803905,0.12048655211691048,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,AATK,55,0.20670995670995673,0.03129162541895368,-0.17541833129100304,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,ABAT,55,-0.0006493506493506496,-0.05375690341702137,-0.05310755276767072,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,ABCA1,55,-0.22272727272727277,-0.06122772395959133,0.16149954876768144,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,ABCA10,55,0.18701298701298705,-0.041079401220334856,-0.2280923882333219,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,ABCA12,55,0.2075757575757576,0.0350060542408708,-0.1725697033348868,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,ABCA13,55,-0.35735930735930743,-0.17674755280312854,0.1806117545561789,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,ABCA2,55,0.026695526695526703,0.1277499096996431,0.10105438300411639,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,ABCA3,55,0.03715728715728717,0.006482145229021626,-0.03067514192826554,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,ABCA4,55,0.11652236652236654,0.09936633993230432,-0.017156026590062226,proliferation_score+global_dependency+gene_expression
GSE77932|HCT116,HCT116,ABCA5,55,-0.14242424242424245,-0.1447755906089925,-0.0023513481847500517,proliferation_score+global_dependency+gene_expression
