trajectory,gene,n,rho_state_vs_dep,vulnerability_rho,p,p_BH_within_trajectory,permutation_p_top,vulnerability_rho_boot_low,vulnerability_rho_boot_high
GSE77932|HCT116,A1BG,56,-0.2200956937799043,0.2200956937799043,0.10311133537501793,0.5949279908994246,,,
GSE77932|HCT116,A1CF,56,0.14210526315789473,-0.14210526315789473,0.2961398579663388,0.7710300266000321,,,
GSE77932|HCT116,A2M,56,-0.06555023923444975,0.06555023923444975,0.6312372133910561,0.913610267410666,,,
GSE77932|HCT116,A2ML1,56,0.03280929596719071,-0.03280929596719071,0.8102920600352985,0.9608390227454019,,,
GSE77932|HCT116,A3GALT2,56,-0.3505126452494874,0.3505126452494874,0.00808652409647979,0.31953153397368034,,,
GSE77932|HCT116,A4GALT,56,-0.019617224880382776,0.019617224880382776,0.8858916850807044,0.9790399879927341,,,
GSE77932|HCT116,A4GNT,56,-0.005194805194805196,0.005194805194805196,0.969689427711346,0.9956766379369034,,,
GSE77932|HCT116,AAAS,56,0.11763499658236501,-0.11763499658236501,0.3878909128962808,0.8198104619452159,,,
GSE77932|HCT116,AACS,56,0.1190704032809296,-0.1190704032809296,0.3820857245319058,0.8166860324927409,,,
GSE77932|HCT116,AADAC,56,0.2088174982911825,-0.2088174982911825,0.122471083392786,0.6226336819722273,,,
GSE77932|HCT116,AADACL2,56,-0.042173615857826384,0.042173615857826384,0.7576123904191148,0.9464085113978785,,,
GSE77932|HCT116,AADACL3,56,0.1548872180451128,-0.1548872180451128,0.25436032853584917,0.7424605324721327,,,
GSE77932|HCT116,AADACL4,56,-0.03779904306220096,0.03779904306220096,0.7821017110524021,0.9526435555248028,,,
GSE77932|HCT116,AADAT,56,-0.16418318523581682,0.16418318523581682,0.22660562236712192,0.7218449839518322,,,
GSE77932|HCT116,AAGAB,56,0.037457279562542724,-0.037457279562542724,0.7840241522585434,0.9532368507016504,,,
GSE77932|HCT116,AAK1,56,-0.006971975393028025,0.006971975393028025,0.9593276420668091,0.9932846720117771,,,
GSE77932|HCT116,AAMDC,56,0.04005468215994532,-0.04005468215994532,0.7694465293404437,0.9496142692273037,,,
GSE77932|HCT116,AAMP,56,0.28024606971975397,-0.28024606971975397,0.03643931376025262,0.4565991160273164,,,
GSE77932|HCT116,AANAT,56,0.0748462064251538,-0.0748462064251538,0.5835305472699235,0.8978278911186716,,,
GSE77932|HCT116,AAR2,56,0.08434723171565277,-0.08434723171565277,0.5365334269835379,0.8822345255551302,,,
