module,subtype,members,n_members,mean_nes_subtype,mean_nes_other,delta_nes_subtype_vs_other,subtype_direction
COESSENTIALITY::1000::biological process:spliceosomal complex assembly,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.2202925465062915,-0.16588822110029308,-1.0544043254059985,lower_vulnerability
COESSENTIALITY::1000::biological process:spliceosomal complex assembly,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.16588822110029308,-1.2202925465062915,1.0544043254059985,higher_vulnerability
COESSENTIALITY::1001::biological process:snRNA transcription by RNA polymerase II,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.0408699469052716,1.0752372628996987,-2.1161072098049702,lower_vulnerability
COESSENTIALITY::1001::biological process:snRNA transcription by RNA polymerase II,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.0752372628996987,-1.0408699469052716,2.1161072098049702,higher_vulnerability
COESSENTIALITY::1002::cellular component:mitochondrial intermembrane space,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.510269436736589,1.440916973109711,-2.9511864098463,lower_vulnerability
COESSENTIALITY::1002::cellular component:mitochondrial intermembrane space,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.440916973109711,-1.510269436736589,2.9511864098463,higher_vulnerability
COESSENTIALITY::1003::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.2620072491964047,1.0894484853537645,-1.3514557345501692,lower_vulnerability
COESSENTIALITY::1003::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.0894484853537645,-0.2620072491964047,1.3514557345501692,higher_vulnerability
COESSENTIALITY::1004::biological process:proteasome-mediated ubiquitin-dependent protein catabolic process,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.3229286909609395,-0.9707925941616248,2.2937212851225643,higher_vulnerability
COESSENTIALITY::1004::biological process:proteasome-mediated ubiquitin-dependent protein catabolic process,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.9707925941616248,1.3229286909609395,-2.2937212851225643,lower_vulnerability
COESSENTIALITY::1006::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-0.2091045145737388,-0.09800962590979434,-0.11109488866394446,lower_vulnerability
COESSENTIALITY::1006::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,-0.09800962590979434,-0.2091045145737388,0.11109488866394446,higher_vulnerability
COESSENTIALITY::1007::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,0.2509466247145296,0.1892282009412571,0.061718423773272496,higher_vulnerability
COESSENTIALITY::1007::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.1892282009412571,0.2509466247145296,-0.061718423773272496,lower_vulnerability
COESSENTIALITY::1008::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.1202209976619522,0.2964754667683366,0.8237455308936156,higher_vulnerability
COESSENTIALITY::1008::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.2964754667683366,1.1202209976619522,-0.8237455308936156,lower_vulnerability
COESSENTIALITY::1009::,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.1958217444552395,0.8124227182357759,-2.0082444626910156,lower_vulnerability
COESSENTIALITY::1009::,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.8124227182357759,-1.1958217444552395,2.0082444626910156,higher_vulnerability
COESSENTIALITY::100::biological process:interstrand cross-link repair,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.5418108734772928,1.2863045962941644,-2.8281154697714572,lower_vulnerability
COESSENTIALITY::100::biological process:interstrand cross-link repair,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.2863045962941644,-1.5418108734772928,2.8281154697714572,higher_vulnerability
COESSENTIALITY::1010::biological process:positive regulation of cyclin-dependent protein serine/threonine kinase activity,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,-1.2633848242856944,1.2765293099580146,-2.539914134243709,lower_vulnerability
COESSENTIALITY::1010::biological process:positive regulation of cyclin-dependent protein serine/threonine kinase activity,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,1.2765293099580146,-1.2633848242856944,2.539914134243709,higher_vulnerability
COESSENTIALITY::1011::biological process:response to bacterium,cluster_1,GSE77932|HCT116;GSE42387|HCT116;GSE119603|HCT116,3,1.052596535548574,0.16179013374198278,0.8908064018065912,higher_vulnerability
COESSENTIALITY::1011::biological process:response to bacterium,cluster_2,GSE77932|DLD1;GSE42387|HT29;GSE42387|LoVo,3,0.16179013374198278,1.052596535548574,-0.8908064018065912,lower_vulnerability
