alias,source_role,alias_key
meldonium,INN/common name,MELDONIUM
mildronate,brand/generic name,MILDRONATE
mildronat,MeSH entry term,MILDRONAT
mildronāts,brand spelling,MILDRONATS
mindronate,MeSH entry term,MINDRONATE
MET-88,MeSH synonym,MET88
3-TMHP,MeSH abbreviation,3TMHP
Vasonat,MeSH synonym,VASONAT
Quaterin,PubChem synonym,QUATERIN
Kvaterin,PubChem synonym,KVATERIN
Quaterine,PubChem synonym,QUATERINE
"3-(2,2,2-trimethylhydrazine)propionate",chemical name,3222TRIMETHYLHYDRAZINEPROPIONATE
"3-(2,2,2-trimethylhydrazinium)propionate",chemical name,3222TRIMETHYLHYDRAZINIUMPROPIONATE
"3-(2,2,2-trimethylhydrazinium)propanoate",chemical name,3222TRIMETHYLHYDRAZINIUMPROPANOATE
"3-(2,2,2-trimethyldiazaniumyl)propanoate",chemical name,3222TRIMETHYLDIAZANIUMYLPROPANOATE
3-[(trimethylazaniumyl)amino]propanoate,IUPAC name,3TRIMETHYLAZANIUMYLAMINOPROPANOATE
N-trimethylhydrazine-3-propionate,chemical name,NTRIMETHYLHYDRAZINE3PROPIONATE
trimethylhydraziniumpropionate,chemical name,TRIMETHYLHYDRAZINIUMPROPIONATE
76144-81-5,CAS,76144815
802032-35-5,salt/CAS record,802032355
CHEBI:131843,ChEBI,CHEBI131843
CHEMBL2104708,ChEMBL,CHEMBL2104708
CID 123868,PubChem CID,CID123868
C01EB22,ATC,C01EB22
73H7UDN6EC,UNII,73H7UDN6EC
DTXSID10997497,DSSTox,DTXSID10997497
DTXCID301424501,DSSTox compound ID,DTXCID301424501
