database,ModelID,signature_size,scoring_method,trajectory,background,state_score
CTRPv2,ACH-000007,100,weighted,GSE77932|HCT116,HCT116,0.07404480209935205
CTRPv2,ACH-000249,100,weighted,GSE77932|HCT116,HCT116,-0.10942140716626703
CTRPv2,ACH-000252,100,weighted,GSE77932|HCT116,HCT116,0.020199013500507703
CTRPv2,ACH-000296,100,weighted,GSE77932|HCT116,HCT116,0.1923889190234187
CTRPv2,ACH-000350,100,weighted,GSE77932|HCT116,HCT116,0.29314826669000427
CTRPv2,ACH-000400,100,weighted,GSE77932|HCT116,HCT116,0.121493304736685
CTRPv2,ACH-000403,100,weighted,GSE77932|HCT116,HCT116,0.07835009843919297
CTRPv2,ACH-000467,100,weighted,GSE77932|HCT116,HCT116,0.19231371153567015
CTRPv2,ACH-000470,100,weighted,GSE77932|HCT116,HCT116,-0.052548917848140315
CTRPv2,ACH-000489,100,weighted,GSE77932|HCT116,HCT116,0.7317680937164612
CTRPv2,ACH-000532,100,weighted,GSE77932|HCT116,HCT116,0.5734324319515778
CTRPv2,ACH-000552,100,weighted,GSE77932|HCT116,HCT116,-0.038165235388966066
CTRPv2,ACH-000565,100,weighted,GSE77932|HCT116,HCT116,0.5010004666019847
CTRPv2,ACH-000651,100,weighted,GSE77932|HCT116,HCT116,-0.2796398549480958
CTRPv2,ACH-000680,100,weighted,GSE77932|HCT116,HCT116,0.2616265893627333
CTRPv2,ACH-000895,100,weighted,GSE77932|HCT116,HCT116,0.05647460345178799
CTRPv2,ACH-000926,100,weighted,GSE77932|HCT116,HCT116,0.2457360497171155
CTRPv2,ACH-000943,100,weighted,GSE77932|HCT116,HCT116,-0.3806398676591656
CTRPv2,ACH-000950,100,weighted,GSE77932|HCT116,HCT116,-0.02810511579668429
CTRPv2,ACH-000955,100,weighted,GSE77932|HCT116,HCT116,-0.16493170496292509
CTRPv2,ACH-000957,100,weighted,GSE77932|HCT116,HCT116,-0.06089358162576682
CTRPv2,ACH-000958,100,weighted,GSE77932|HCT116,HCT116,-0.22636531399536536
CTRPv2,ACH-000959,100,weighted,GSE77932|HCT116,HCT116,-0.2172585896041342
CTRPv2,ACH-000963,100,weighted,GSE77932|HCT116,HCT116,-0.3134994434317318
CTRPv2,ACH-000967,100,weighted,GSE77932|HCT116,HCT116,0.19007516978066685
CTRPv2,ACH-000970,100,weighted,GSE77932|HCT116,HCT116,-0.007359460129634585
CTRPv2,ACH-000971,100,weighted,GSE77932|HCT116,HCT116,-0.6677262701950221
CTRPv2,ACH-000982,100,weighted,GSE77932|HCT116,HCT116,-0.25557646714760873
CTRPv2,ACH-000985,100,weighted,GSE77932|HCT116,HCT116,0.023363616407004163
CTRPv2,ACH-000986,100,weighted,GSE77932|HCT116,HCT116,-0.09694338868893336
CTRPv2,ACH-000991,100,weighted,GSE77932|HCT116,HCT116,0.08220314576466581
CTRPv2,ACH-000997,100,weighted,GSE77932|HCT116,HCT116,-0.4295386617532572
CTRPv2,ACH-000998,100,weighted,GSE77932|HCT116,HCT116,-0.30900500243712725
CTRPv2,ACH-000007,100,weighted,GSE77932|DLD1,DLD1,0.1186234938200493
CTRPv2,ACH-000249,100,weighted,GSE77932|DLD1,DLD1,0.2687109068209274
CTRPv2,ACH-000252,100,weighted,GSE77932|DLD1,DLD1,-0.046131834538719094
CTRPv2,ACH-000296,100,weighted,GSE77932|DLD1,DLD1,-0.09705735874458851
CTRPv2,ACH-000350,100,weighted,GSE77932|DLD1,DLD1,-0.0734784002530278
CTRPv2,ACH-000400,100,weighted,GSE77932|DLD1,DLD1,-0.01398261711128613
