database,DRUG_NAME,drug_key,n_trajectory_rows,n_trajectories_n20,n_trajectories_n30,max_crc_n,median_crc_n,any_trajectory_n20,any_trajectory_n30,three_trajectories_n20,three_trajectories_n30,all_four_trajectories_n20,primary_discovery_gate,SYNONYMS,TARGET,TARGET_PATHWAY,prism_name,prism_disease_area,prism_indication,prism_phase,prism_name_count_by_key,clinical_status,clinical_context,approved_nononcology_high_confidence,annotation_source
GDSC1,(5Z)-7-Oxozeaenol,5Z7OXOZEAENOL,6,6,6,39,38.0,True,True,True,True,True,none,"5Z-7-Oxozeaenol, LL-Z1640-2",TAK1,"Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,5-Fluorouracil,5FLUOROURACIL,6,6,6,38,37.0,True,True,True,True,True,none,5-FU,Antimetabolite (DNA & RNA),Other,5-fluorouracil,oncology,"colorectal cancer, breast cancer, pancreatic cancer, gastric adenocarcinoma",Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,965-D2,965D2,6,6,0,28,28.0,True,False,True,False,True,none,,"MKNK1, MKNK2, PIM1, PIM3","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,993-D2,993D2,6,6,0,28,28.0,True,False,True,False,True,none,,"MKNK1, MKNK2","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,A-443654,A443654,6,0,0,13,13.0,False,False,False,False,False,,KIN001-139,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,A-770041,A770041,6,0,0,13,13.0,False,False,False,False,False,,KIN001-111,"LCK, FYN","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,A-83-01,A8301,6,6,6,37,36.0,True,True,True,True,True,none,,TGFB,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,ACY-1215,ACY1215,6,6,6,38,37.0,True,True,True,True,True,none,,HDAC6,Chromatin histone acetylation,ACY-1215,,,Phase 1/Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AGI-6780,AGI6780,6,6,6,37,36.0,True,True,True,True,True,none,,IDH2(R140Q),Metabolism,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AICA Ribonucleotide,AICARIBONUCLEOTIDE,6,6,6,38,37.0,True,True,True,True,True,none,"AICAR, N1-(b-D-Ribofuranosyl)-5-aminoimidazole-4-carboxamide",AMPK agonist,Metabolism,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AKT inhibitor VIII,AKTINHIBITORVIII,6,6,6,38,37.0,True,True,True,True,True,none,"Akti-1/2, KIN001-102","AKT1, AKT2, AKT3",PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AR-42,AR42,6,6,6,37,36.0,True,True,True,True,True,none,"HDAC-42, AR 42, AR42",HDAC1,Chromatin histone acetylation,AR-42,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,ARRY-520,ARRY520,6,6,6,37,36.0,True,True,True,True,True,none,,KIF11,Mitosis,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AS601245,AS601245,6,6,6,31,30.0,True,True,True,True,True,none,,"JNK1, JNK2, JNK2",JNK and p38 signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AS605240,AS605240,6,6,6,38,37.0,True,True,True,True,True,none,"KIN001-173, AS-605240",PI3Kgamma,PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AST-1306,AST1306,6,6,6,38,37.0,True,True,True,True,True,none,,"EGFR, ERBB4",RTK signaling,AST-1306,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AT-7519,AT7519,6,6,6,37,36.0,True,True,True,True,True,none,AT7519,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle,AT-7519,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AT7867,AT7867,6,6,6,38,37.0,True,True,True,True,True,none,,AKT,PI3K/MTOR signaling,AT7867,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AZ20,AZ20,6,6,6,38,37.0,True,True,True,True,True,TierA_strong_collateral,,ATR,Genome integrity,AZ20,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AZ628,AZ628,6,0,0,13,13.0,False,False,False,False,False,,"AZ-628, AZ 628",BRAF,ERK MAPK signaling,AZ-628,,,Preclinical,1.0,preclinical,preclinical_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AZD1208,AZD1208,6,6,6,39,38.0,True,True,True,True,True,none,SN1028350371,"PIM1, PIM2, PIM3","Other, kinases",,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AZD1332,AZD1332,6,6,6,39,38.0,True,True,True,True,True,none,SN1061387896,"NTRK1, NTRK2, NTRK3",RTK signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AZD1480,AZD1480,6,6,6,39,38.0,True,True,True,True,True,none,SN1044232195,"JAK1, JAK2","Other, kinases",AZD1480,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AZD2014,AZD2014,6,6,6,39,38.0,True,True,True,True,True,TierB_moderate_candidate,SN1103949359,"mTORC1, mTORC2",PI3K/MTOR signaling,AZD2014,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AZD3514,AZD3514,6,6,6,39,38.0,True,True,True,True,True,none,SN1019841295,AR,Hormone-related,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AZD4547,AZD4547,6,6,6,39,38.0,True,True,True,True,True,none,AZ6,"FGRF1, FGFR2, FGFR3",RTK signaling,AZD4547,,,Phase 2/Phase 3,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AZD4877,AZD4877,6,6,6,39,38.0,True,True,True,True,True,none,SN1055467765,EG5,Mitosis,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AZD5438,AZD5438,6,6,6,39,38.0,True,True,True,True,True,TierB_moderate_candidate,SN1057898678,CDK2,Cell cycle,AZD5438,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AZD5582,AZD5582,6,6,6,38,37.0,True,True,True,True,True,none,SN1021632995,IAP,Other,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AZD6094,AZD6094,6,6,6,39,38.0,True,True,True,True,True,TierA_strong_collateral,SN1042487586,MET,RTK signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AZD6482,AZD6482,6,6,6,38,37.0,True,True,True,True,True,none,"AZD 6482, AZD-6482, AK-55409",PI3Kbeta,PI3K/MTOR signaling,AZD6482,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AZD6738,AZD6738,6,6,6,39,38.0,True,True,True,True,True,none,SN1034081770,ATR,Genome integrity,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AZD7762,AZD7762,6,6,6,39,38.0,True,True,True,True,True,none,"AZD-7762, AZD 7762","CHEK1, CHEK2",Cell cycle,AZD7762,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AZD7969,AZD7969,6,6,6,39,38.0,True,True,True,True,True,TierB_moderate_candidate,SN1098976045,GSK3B,WNT signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AZD8055,AZD8055,6,6,6,38,37.0,True,True,True,True,True,none,AZD-8055,"MTORC1, MTORC2",PI3K/MTOR signaling,AZD8055,,,Phase 1,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,AZD8186,AZD8186,6,6,6,39,38.0,True,True,True,True,True,none,SN1028722848,"PI3Kbeta, PI3Kdelta",PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AZD8835,AZD8835,6,6,6,39,38.0,True,True,True,True,True,TierB_moderate_candidate,SN1040214596,"PI3Kalpha, PI3Kdelta",PI3K/MTOR signaling,,,,,,unresolved,unresolved,False,GDSC screened_compounds_rel_8.4; no normalized PRISM metadata match
GDSC1,AZD8931,AZD8931,6,6,6,39,38.0,True,True,True,True,True,none,SN0216062465,"EGFR, ERBB2, ERBB3",RTK signaling,AZD8931,,,Phase 2,1.0,investigational,investigational_nononcology_or_unresolved,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
GDSC1,Afatinib,AFATINIB,6,6,6,39,38.0,True,True,True,True,True,none,"BIBW2992, Tovok, Gilotrif","EGFR, ERBB2",EGFR signaling,afatinib,oncology,non-small cell lung cancer (NSCLC),Launched,1.0,approved,approved_oncology,False,GDSC screened_compounds_rel_8.4 + normalized PRISM secondary metadata
