database,signature_size,scoring_method,trajectory,background,DRUG_NAME,drug_key,rho_score_vs_sensitivity,p_value,n,n_priority,power_status,sensitivity_metric,direction_definition,p_value_bh_within_database_signature
PRISM,100,weighted,GSE77932|HCT116,HCT116,1-azakenpaullone,1AZAKENPAULLONE,-0.10671936758893281,0.6364319056668153,22,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9608897248222992
PRISM,100,weighted,GSE77932|HCT116,HCT116,1-naphthyl-PP1,1NAPHTHYLPP1,0.44169960474308306,0.034850061488149,23,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.7133659199188959
PRISM,100,weighted,GSE77932|HCT116,HCT116,1-phenylbiguanide,1PHENYLBIGUANIDE,-0.10671936758893281,0.6279215092073558,23,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9608897248222992
PRISM,100,weighted,GSE77932|HCT116,HCT116,10-deacetylbaccatin,10DEACETYLBACCATIN,-0.1323076923076923,0.5283992800855006,25,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.949582551801673
PRISM,100,weighted,GSE77932|HCT116,HCT116,10-hydroxycamptothecin,10HYDROXYCAMPTOTHECIN,-0.2792307692307692,0.17645690072440764,25,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.8454384000450101
PRISM,100,weighted,GSE77932|HCT116,HCT116,12-O-tetradecanoylphorbol-13-acetate,12OTETRADECANOYLPHORBOL13ACETATE,-0.03670242800677584,0.8711837997313935,22,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9904408882140721
PRISM,100,weighted,GSE77932|HCT116,HCT116,"2,3-DCPE",23DCPE,-0.21846153846153843,0.2941205702947026,25,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.8946560061383467
PRISM,100,weighted,GSE77932|HCT116,HCT116,2-methoxyestradiol,2METHOXYESTRADIOL,0.006633217425302604,0.9743446904666184,26,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9962858200690761
PRISM,100,weighted,GSE77932|HCT116,HCT116,3'-fluorobenzylspiperone,3FLUOROBENZYLSPIPERONE,0.16753246753246753,0.4679157387083451,21,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9414290462117346
PRISM,100,weighted,GSE77932|HCT116,HCT116,3-amino-benzamide,3AMINOBENZAMIDE,0.09389995818919372,0.6482028076811531,26,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9608897248222992
PRISM,100,weighted,GSE77932|HCT116,HCT116,3-deazaneplanocin-A,3DEAZANEPLANOCINA,-0.44478632478632474,0.022801672485381647,26,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.7133659199188959
PRISM,100,weighted,GSE77932|HCT116,HCT116,4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,44FLUOROBENZOYL14PHENYLBUTYLPIPERIDINE,-0.09333333333333332,0.6501924085712949,26,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9608897248222992
PRISM,100,weighted,GSE77932|HCT116,HCT116,4-chlorophenylguanidine,4CHLOROPHENYLGUANIDINE,0.163184641445511,0.4680769349758337,22,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9414290462117346
PRISM,100,weighted,GSE77932|HCT116,HCT116,4-hydroxy-phenazone,4HYDROXYPHENAZONE,-0.0009881422924901185,0.9964297417631358,23,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9989475612708762
PRISM,100,weighted,GSE77932|HCT116,HCT116,4-iodo-6-phenylpyrimidine,4IODO6PHENYLPYRIMIDINE,-0.2049689440993789,0.3601708702376962,22,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9192754243732456
PRISM,100,weighted,GSE77932|HCT116,HCT116,4-methylgenistein,4METHYLGENISTEIN,0.02992659514398645,0.8948231841333145,22,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9928069073529343
PRISM,100,weighted,GSE77932|HCT116,HCT116,4-methylhistamine,4METHYLHISTAMINE,0.37792207792207794,0.09119661406939472,21,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.8144658452531633
PRISM,100,weighted,GSE77932|HCT116,HCT116,4-pyrimidinecarbonitrile,4PYRIMIDINECARBONITRILE,-0.1643478260869565,0.4428461512393397,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9379977436256783
PRISM,100,weighted,GSE77932|HCT116,HCT116,4E1RCat,4E1RCAT,-0.35130434782608694,0.09231725461010787,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.8144658452531633
PRISM,100,weighted,GSE77932|HCT116,HCT116,5-fluorouracil,5FLUOROURACIL,-0.1948051948051948,0.3974429535072252,21,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9313654144782139
PRISM,100,weighted,GSE77932|HCT116,HCT116,5-hydroxymethyl-tolterodine,5HYDROXYMETHYLTOLTERODINE,-0.3685770750988142,0.0835251937271713,23,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.8094403490661873
PRISM,100,weighted,GSE77932|HCT116,HCT116,7-aminocephalosporanic-acid,7AMINOCEPHALOSPORANICACID,-0.07669172932330826,0.74793344754194,20,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9762685075368638
PRISM,100,weighted,GSE77932|HCT116,HCT116,7-hydroxystaurosporine,7HYDROXYSTAUROSPORINE,-0.4339130434782608,0.03413496013263738,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.7133659199188959
PRISM,100,weighted,GSE77932|HCT116,HCT116,7-nitroindazole,7NITROINDAZOLE,-0.05251270468661773,0.8164691262307053,22,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9845247382220418
PRISM,100,weighted,GSE77932|HCT116,HCT116,8-hydroxy-PIPAT,8HYDROXYPIPAT,0.0909090909090909,0.6799528986653569,23,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9646450528870288
PRISM,100,weighted,GSE77932|HCT116,HCT116,9-aminoacridine,9AMINOACRIDINE,-0.15897435897435896,0.4379267018285339,26,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9367487201716687
PRISM,100,weighted,GSE77932|HCT116,HCT116,A-674563,A674563,-0.04545454545454545,0.836836496093119,23,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9872996490773248
PRISM,100,weighted,GSE77932|HCT116,HCT116,A-803467,A803467,-0.037593984962406006,0.8749652018566715,20,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9904408882140721
PRISM,100,weighted,GSE77932|HCT116,HCT116,A61603,A61603,0.6294466403162056,0.0012903808284814118,23,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.46653303643752814
PRISM,100,weighted,GSE77932|HCT116,HCT116,ABT-702,ABT702,0.12,0.5764898720889466,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9565917322560238
PRISM,100,weighted,GSE77932|HCT116,HCT116,ABT-737,ABT737,0.13999999999999999,0.5140986909290426,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9484165558964368
PRISM,100,weighted,GSE77932|HCT116,HCT116,ABT-751,ABT751,-0.45384615384615384,0.022678852863869996,25,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.7133659199188959
PRISM,100,weighted,GSE77932|HCT116,HCT116,AC-264613,AC264613,0.1476923076923077,0.4811005696665244,25,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9424165540667769
PRISM,100,weighted,GSE77932|HCT116,HCT116,ACDPP,ACDPP,-0.4324675324675325,0.05022991747689417,21,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.7641631672512237
PRISM,100,weighted,GSE77932|HCT116,HCT116,ACY-1215,ACY1215,0.042608695652173914,0.8432913759776879,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9882559979435905
PRISM,100,weighted,GSE77932|HCT116,HCT116,ADL5859,ADL5859,-0.09090909090909091,0.6874290975505298,22,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9659811822880093
PRISM,100,weighted,GSE77932|HCT116,HCT116,AEE788,AEE788,0.1993224167137211,0.37383975032592714,22,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9192754243732456
PRISM,100,weighted,GSE77932|HCT116,HCT116,AEG3482,AEG3482,0.1408695652173913,0.511462281884675,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9484165558964368
PRISM,100,weighted,GSE77932|HCT116,HCT116,AG-14361,AG14361,-0.2692307692307692,0.19311390833091396,25,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.8554236636973456
PRISM,100,weighted,GSE77932|HCT116,HCT116,AM-251,AM251,-0.18173913043478263,0.3953708419767238,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9313654144782139
PRISM,100,weighted,GSE77932|HCT116,HCT116,AM-580,AM580,0.316205533596838,0.1415826177908934,23,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.8346864525839558
PRISM,100,weighted,GSE77932|HCT116,HCT116,AMG-208,AMG208,-0.16205533596837948,0.4600567015448336,23,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9387084089363879
PRISM,100,weighted,GSE77932|HCT116,HCT116,AMG-232,AMG232,-0.37272727272727274,0.09610224578434735,21,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.8173948126121623
PRISM,100,weighted,GSE77932|HCT116,HCT116,AMG458,AMG458,-0.04434782608695652,0.8369769840650598,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9872996490773248
PRISM,100,weighted,GSE77932|HCT116,HCT116,AMG900,AMG900,0.01217391304347826,0.9549770846497846,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9952362454228927
PRISM,100,weighted,GSE77932|HCT116,HCT116,AP1903,AP1903,-0.12,0.5764898720889466,24,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9565917322560238
PRISM,100,weighted,GSE77932|HCT116,HCT116,AP26113,AP26113,0.19,0.3629865382459391,25,False,low_power_n20_29,-AUC,positive rho = OXA-R-like state more sensitive,0.9192754243732456
