database,signature_size,scoring_method,DRUG_NAME,drug_key,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,median_background_rho,IQR_background_rho,min_background_rho,max_background_rho,leave_HCT116_out_median_rho,primary_discovery_gate,tested_status,rank_within_database_signature,global_empirical_p_value,global_empirical_q_value,global_null_permutations,global_null_unit
PRISM,100,weighted,1-azakenpaullone,1AZAKENPAULLONE,4,1,1,-0.21852060982495763,0.3761645962732919,-0.41840767927724454,0.3409090909090909,-0.0942970073404856,none,tested,1302.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,100,weighted,1-naphthyl-PP1,1NAPHTHYLPP1,4,1,0,-0.10227272727272727,0.1856422924901186,-0.3660869565217391,0.3320158102766798,-0.10968379446640317,none,tested,1066.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,100,weighted,1-phenylbiguanide,1PHENYLBIGUANIDE,4,2,2,-0.002964426877470356,0.12131422924901186,-0.1057312252964427,0.23130434782608694,0.021739130434782608,none,tested,604.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,100,weighted,10-deacetylbaccatin,10DEACETYLBACCATIN,4,2,2,-0.028461538461538455,0.2799572649572649,-0.16615384615384618,0.3305982905982906,0.07538461538461538,none,tested,725.0,0.10037992401519696,0.12321034872215243,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,100,weighted,10-hydroxycamptothecin,10HYDROXYCAMPTOTHECIN,4,2,2,0.014615384615384624,0.2225,-0.2792307692307692,0.19999999999999998,0.08307692307692309,none,tested,522.0,0.0621875624875025,0.09129517708793043,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,100,weighted,12-O-tetradecanoylphorbol-13-acetate,12OTETRADECANOYLPHORBOL13ACETATE,4,1,1,-0.05533596837944665,0.07601637492941841,-0.11914172783738003,0.07312252964426878,-0.07396950875211745,none,tested,853.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,100,weighted,"2,3-DCPE",23DCPE,4,2,2,0.03269230769230769,0.22833333333333333,-0.06256410256410255,0.3038461538461538,0.12384615384615384,none,tested,445.0,0.03139372125574885,0.05204954034068808,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,100,weighted,2-methoxyestradiol,2METHOXYESTRADIOL,4,4,3,0.14053065164294912,0.10606096548596153,0.006633217425302604,0.35225875695422776,0.15363370537876928,TierB_moderate_candidate,tested,134.0,0.11817636472705459,0.13903715285186563,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,100,weighted,3'-fluorobenzylspiperone,3FLUOROBENZYLSPIPERONE,4,2,1,0.003387916431394699,0.1427300959909656,-0.16363636363636364,0.09220779220779221,-0.04912478825522304,none,tested,574.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
PRISM,100,weighted,3-amino-benzamide,3AMINOBENZAMIDE,4,3,2,0.09933339711078196,0.12877314047245936,-0.11123969168353513,0.26546058376484866,0.07626801603720634,none,tested,229.0,0.6786642671465707,0.7162782803692627,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories
