database,signature_size,scoring_method,DRUG_NAME,drug_key,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,median_background_rho,IQR_background_rho,min_background_rho,max_background_rho,leave_HCT116_out_median_rho,primary_discovery_gate,tested_status,rank_within_database_signature,global_empirical_p_value,global_empirical_q_value,global_null_permutations,global_null_unit,n_models_available,n_models_positive_median_rho,n_models_direction_consistent_ge3of4,n_models_top50,n_models_top100,n_models_top200,median_model_rho,median_model_rank,signature_robust_flag,model_combinations,strict_database_gate
PRISM,250,weighted,1-azakenpaullone,1AZAKENPAULLONE,4,1,1,-0.1389045736871824,0.23076651609260304,-0.34500282326369286,0.17490118577075098,-0.07171089779785433,none,tested,1150.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,0,0,0,0,0,-0.06380575945793338,881.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,1-naphthyl-PP1,1NAPHTHYLPP1,4,2,1,0.05984189723320158,0.23724308300395258,-0.18873517786561267,0.2114624505928854,-0.03162055335968379,none,tested,345.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,2,0,0,0,0,-0.03692687747035574,739.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,1-phenylbiguanide,1PHENYLBIGUANIDE,4,3,3,0.12104743083003953,0.07863636363636363,-0.06818181818181818,0.2078260869565217,0.1274703557312253,TierB_moderate_candidate,tested,165.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,2,2,0,0,1,-0.01852766798418972,681.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,10-deacetylbaccatin,10DEACETYLBACCATIN,4,2,2,-0.006923076923076921,0.24544871794871795,-0.1992307692307692,0.11794871794871793,0.10384615384615385,none,tested,653.0,0.10037992401519696,0.12321034872215243,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,1,0,0,0,0.021495726495726494,475.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,10-hydroxycamptothecin,10HYDROXYCAMPTOTHECIN,4,1,1,-0.11555555555555554,0.2389102564102564,-0.24230769230769234,0.14923076923076922,-0.021538461538461538,none,tested,1078.0,0.0621875624875025,0.09129517708793043,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,1,0,0,0,0,-0.04480769230769231,807.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,12-O-tetradecanoylphorbol-13-acetate,12OTETRADECANOYLPHORBOL13ACETATE,4,2,2,0.003952569169960486,0.19247600225861097,-0.1326933935629588,0.15612648221343872,0.08413325804630155,none,tested,599.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,2,0,0,0,0,-0.10897797854319595,1007.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,"2,3-DCPE",23DCPE,4,3,3,0.2008119658119658,0.17121794871794874,-0.1376923076923077,0.44538461538461543,0.21777777777777776,TierA_strong_collateral,tested,42.0,0.03139372125574885,0.05204954034068808,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,3,2,2,2,0.0419017094017094,391.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,2-methoxyestradiol,2METHOXYESTRADIOL,4,4,3,0.16780418161488347,0.08901788714911393,0.08972299359488257,0.2957018504858582,0.19281963023246348,TierA_strong_collateral,tested,80.0,0.11817636472705459,0.13903715285186563,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,6,6,2,5,6,0.17724663153892864,64.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,3'-fluorobenzylspiperone,3FLUOROBENZYLSPIPERONE,4,0,0,-0.13656126482213438,0.13173348390739692,-0.22987012987012984,-0.044607566346696784,-0.07961603613777528,none,tested,1140.0,0.0001999600079984003,0.0003439312137572485,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,3,2,0,0,0,-0.017221908526256352,648.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
PRISM,250,weighted,3-amino-benzamide,3AMINOBENZAMIDE,4,3,2,0.043702435695246025,0.12175750855885935,-0.22061918785396764,0.12459099510706251,0.020065793816178148,none,tested,403.0,0.6786642671465707,0.7162782803692627,5000,shared row-label permutation of full sensitivity matrix across all drugs/trajectories,6,4,2,0,0,0,0.01366125060340342,506.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank,False
