database,signature_size,scoring_method,DRUG_NAME,drug_key,background,n_trajectory_values,n_positive_trajectory_values,median_rho,min_rho,max_rho,median_n,median_p
GDSC1,100,weighted,(5Z)-7-Oxozeaenol,5Z7OXOZEAENOL,HCT116,3,0,-0.13404092351460772,-0.19728635518109205,-0.06641864536601379,38.0,0.4223725581608437
GDSC1,100,weighted,5-Fluorouracil,5FLUOROURACIL,HCT116,3,0,-0.26126126126126126,-0.27927927927927926,-0.07373162636320531,37.0,0.11830861772234968
GDSC1,100,weighted,965-D2,965D2,HCT116,3,0,-0.31143951833607003,-0.36836343732895455,-0.015873015873015872,28.0,0.10668759979172379
GDSC1,100,weighted,993-D2,993D2,HCT116,3,1,-0.1620142309797482,-0.18555008210180626,0.1346469622331691,28.0,0.41012416488083225
GDSC1,100,weighted,A-83-01,A8301,HCT116,3,1,-0.1827541827541828,-0.2839124839124839,0.14543114543114544,36.0,0.2860423833751726
GDSC1,100,weighted,ACY-1215,ACY1215,HCT116,3,1,-0.13632053105737316,-0.29445234708392604,0.2984826932195353,37.0,0.07688315208438089
GDSC1,100,weighted,AGI-6780,AGI6780,HCT116,3,1,-0.17966537966537968,-0.41827541827541836,0.13384813384813385,36.0,0.29440364582206346
GDSC1,100,weighted,AICA Ribonucleotide,AICARIBONUCLEOTIDE,HCT116,3,0,-0.1605026078710289,-0.26766239924134655,-0.15908013276434327,37.0,0.3426400263055718
GDSC1,100,weighted,AKT inhibitor VIII,AKTINHIBITORVIII,HCT116,3,1,-0.3447131341868183,-0.3674727358937884,0.04220009483167377,37.0,0.03667533137959995
GDSC1,100,weighted,AR-42,AR42,HCT116,3,2,0.049163449163449176,-0.21904761904761907,0.10990990990990991,36.0,0.5233930887934503
GDSC1,100,weighted,ARRY-520,ARRY520,HCT116,3,1,-0.33564993564993567,-0.40025740025740025,0.03191763191763192,36.0,0.04535930263669667
GDSC1,100,weighted,AS601245,AS601245,HCT116,3,0,-0.2040044493882091,-0.34905450500556173,-0.16840934371523916,30.0,0.2795541796207105
GDSC1,100,weighted,AS605240,AS605240,HCT116,3,2,0.031294452347083924,-0.2060218112849692,0.10265528686581317,37.0,0.5454471087771352
GDSC1,100,weighted,AST-1306,AST1306,HCT116,3,2,0.019203413940256042,-0.19440493124703648,0.09198672356567092,37.0,0.5881774191361685
GDSC1,100,weighted,AT-7519,AT7519,HCT116,3,1,-0.02831402831402832,-0.1667953667953668,0.01698841698841699,36.0,0.869793058403182
GDSC1,100,weighted,AT7867,AT7867,HCT116,3,1,-0.32788051209103836,-0.38335704125177805,0.05784732100521574,37.0,0.047578550661597996
GDSC1,100,weighted,AZ20,AZ20,HCT116,3,0,-0.36154575628259833,-0.5116168800379327,-0.10455192034139402,37.0,0.027899870470564917
GDSC1,100,weighted,AZD1208,AZD1208,HCT116,3,0,-0.23952292373345005,-0.30145530145530147,-0.002954371375424007,38.0,0.14751214490229414
GDSC1,100,weighted,AZD1332,AZD1332,HCT116,3,0,-0.16052084473137104,-0.21545026808184703,-0.14454535507167085,38.0,0.3356859262478882
GDSC1,100,weighted,AZD1480,AZD1480,HCT116,3,0,-0.1371047160520845,-0.1515483094430463,-0.02527628843418317,38.0,0.41174653857225596
GDSC1,100,weighted,AZD2014,AZD2014,HCT116,3,0,-0.17255717255717254,-0.34916292811029653,-0.024400919137761243,38.0,0.3002128356346923
GDSC1,100,weighted,AZD3514,AZD3514,HCT116,3,0,-0.09858846700951963,-0.23842871211292266,-0.04256483203851625,38.0,0.5559444117153884
GDSC1,100,weighted,AZD4547,AZD4547,HCT116,3,0,-0.16249042564832036,-0.31108436371594267,-0.020899441952073532,38.0,0.3297112521210749
GDSC1,100,weighted,AZD4877,AZD4877,HCT116,3,0,-0.3082394135025714,-0.34719334719334716,-0.1806543385490754,38.0,0.05973089803134953
GDSC1,100,weighted,AZD5438,AZD5438,HCT116,3,0,-0.27935222672064774,-0.4704015756647335,-0.1644600065652697,38.0,0.0894097730982994
GDSC1,100,weighted,AZD5582,AZD5582,HCT116,3,1,-0.03295400663821716,-0.39094357515410144,0.13632053105737316,37.0,0.4211019255246158
GDSC1,100,weighted,AZD6094,AZD6094,HCT116,3,0,-0.16949338001969583,-0.35069482437903493,-0.14126272021008862,38.0,0.3090063685199562
GDSC1,100,weighted,AZD6482,AZD6482,HCT116,3,0,-0.37695590327169276,-0.4625414888572783,-0.1880037932669511,37.0,0.02145931884853973
GDSC1,100,weighted,AZD6738,AZD6738,HCT116,3,0,-0.2741000109421162,-0.3382208119050224,-0.09596235912025386,38.0,0.09585528844866216
GDSC1,100,weighted,AZD7762,AZD7762,HCT116,3,0,-0.20516467884888936,-0.2642521063573695,-0.20144435933909616,38.0,0.21658217421107043
GDSC1,100,weighted,AZD7969,AZD7969,HCT116,3,0,-0.2791333843965423,-0.44151438888280997,-0.2423678739468213,38.0,0.08967148327847031
GDSC1,100,weighted,AZD8055,AZD8055,HCT116,3,0,-0.22190611664295873,-0.28496917970602176,-0.06424845898530109,37.0,0.1868346250649692
GDSC1,100,weighted,AZD8186,AZD8186,HCT116,3,2,0.010613852719115878,-0.1331655542181858,0.05985337564284932,38.0,0.7211246718249559
GDSC1,100,weighted,AZD8835,AZD8835,HCT116,3,0,-0.26381442170915853,-0.31633657949447425,-0.08480140059087428,38.0,0.10950225074968346
GDSC1,100,weighted,AZD8931,AZD8931,HCT116,3,0,-0.20144435933909616,-0.2196082722398512,-0.1622715833242149,38.0,0.22521223196708298
GDSC1,100,weighted,Afatinib,AFATINIB,HCT116,3,2,0.1088740562424773,-0.21807637597111282,0.12156691104059525,38.0,0.467190070641015
GDSC1,100,weighted,Alectinib,ALECTINIB,HCT116,3,0,-0.27430061640587955,-0.30512091038406824,-0.0033191085822664762,37.0,0.10039894816948042
GDSC1,100,weighted,Alisertib,ALISERTIB,HCT116,3,1,-0.15624195624195625,-0.30193050193050197,0.025997425997425997,36.0,0.3628365056755195
GDSC1,100,weighted,Amuvatinib,AMUVATINIB,HCT116,3,2,0.005920205920205921,-0.39150579150579157,0.11042471042471043,36.0,0.5214375151506235
GDSC1,100,weighted,Apitolisib,APITOLISIB,HCT116,3,0,-0.20483641536273114,-0.29492650545282123,-0.08771929824561402,37.0,0.22392689844130045
GDSC1,100,weighted,Ara-G,ARAG,HCT116,3,1,-0.3284427284427285,-0.4334620334620335,0.1868725868725869,36.0,0.05049496211815213
GDSC1,100,weighted,Avagacestat,AVAGACESTAT,HCT116,3,0,-0.22773279352226725,-0.23805668016194334,-0.06376518218623482,39.0,0.16322139660225046
GDSC1,100,weighted,Axitinib,AXITINIB,HCT116,3,0,-0.32361308677098144,-0.3679468942626837,-0.08914177335229967,37.0,0.050720870581196106
GDSC1,100,weighted,BAM7,BAM7,HCT116,3,1,-0.09240669240669241,-0.2574002574002574,0.15855855855855858,36.0,0.3556748124446604
GDSC1,100,weighted,BAY ACCi,BAYACCI,HCT116,3,1,-0.021346469622331693,-0.40667761357416526,0.0996168582375479,28.0,0.6140170317147632
GDSC1,100,weighted,BAY AKT1,BAYAKT1,HCT116,3,1,-0.1384783798576902,-0.25944170771756975,0.025725232621784347,28.0,0.48221293115721264
GDSC1,100,weighted,BAY-61-3606,BAY613606,HCT116,3,0,-0.20266963292547271,-0.3779755283648498,-0.11902113459399331,30.0,0.2827802117622579
GDSC1,100,weighted,BAY-HDAC11_1,BAYHDAC111,HCT116,3,0,-0.42309797482211275,-0.48877941981390255,-0.30268199233716475,28.0,0.02487776625952039
GDSC1,100,weighted,BAY-HDAC11_2,BAYHDAC112,HCT116,3,0,-0.3037766830870279,-0.475095785440613,-0.2129173508483853,28.0,0.11605529821938773
GDSC1,100,weighted,BAY-HDAC11_4,BAYHDAC114,HCT116,3,0,-0.25287356321839083,-0.47454844006568137,-0.18281335522714834,28.0,0.19418556016448751
GDSC1,100,weighted,BAY-MPS-combo 2 (paclitaxel 1 uM),BAYMPSCOMBO2PACLITAXEL1UM,HCT116,3,0,-0.4367588932806324,-0.48122529644268774,-0.1314229249011858,23.0,0.03718028976152966
GDSC1,100,weighted,BAY-MPS-combo-1 (paclitaxel 5 uM),BAYMPSCOMBO1PACLITAXEL5UM,HCT116,3,0,-0.3794466403162055,-0.44762845849802374,-0.1324110671936759,23.0,0.07413953912074538
GDSC1,100,weighted,BAY-MPS1,BAYMPS1,HCT116,3,0,-0.2638204707170224,-0.4187192118226601,-0.09140667761357417,28.0,0.17492852916146748
GDSC1,100,weighted,BIBF-1120,BIBF1120,HCT116,3,1,-0.14082503556187764,-0.28971076339497387,0.21431958274063534,37.0,0.20274414221915898
GDSC1,100,weighted,BIX02189,BIX02189,HCT116,3,0,-0.28971076339497387,-0.328117591275486,-0.009957325746799429,37.0,0.0819862116299095
GDSC1,100,weighted,BMS-345541,BMS345541,HCT116,3,0,-0.2294926505452821,-0.2923186344238976,-0.04694167852062589,37.0,0.17182797370756295
GDSC1,100,weighted,BMS-536924,BMS536924,HCT116,3,1,-0.1038406827880512,-0.27059853375642845,0.005361636940584309,38.0,0.534984841125767
GDSC1,100,weighted,BMS-754807,BMS754807,HCT116,3,1,-0.10300333704115683,-0.2832035595105673,0.0353726362625139,30.0,0.5880636614116412
GDSC1,100,weighted,BPTES,BPTES,HCT116,3,0,-0.03840682788051209,-0.15067294014662436,-0.012802275960170697,38.0,0.8189224771242939
GDSC1,100,weighted,BX-912,BX912,HCT116,3,0,-0.12138454243717402,-0.1998577524893314,-0.0045045045045045045,37.0,0.47419874257594985
GDSC1,100,weighted,BX795,BX795,HCT116,3,0,-0.3627311522048364,-0.4632527264106211,-0.17970602181128495,37.0,0.02735363988522895
GDSC1,100,weighted,Belinostat,BELINOSTAT,HCT116,3,1,-0.11866151866151867,-0.27207207207207207,0.09549549549549549,36.0,0.49064463266892916
GDSC1,100,weighted,Bexarotene,BEXAROTENE,HCT116,3,0,-0.31701890989988873,-0.32235817575083425,-0.006006674082313682,30.0,0.08783155046091667
GDSC1,100,weighted,Bicalutamide,BICALUTAMIDE,HCT116,3,0,-0.07451581135791661,-0.2622825254404202,-0.01214574898785425,38.0,0.6565937783763451
GDSC1,100,weighted,Bleomycin,BLEOMYCIN,HCT116,3,0,-0.24760845383759733,-0.3450500556173526,-0.17374860956618463,30.0,0.1870910301604378
GDSC1,100,weighted,Bleomycin (10 uM),BLEOMYCIN10UM,HCT116,3,0,-0.28394791552686294,-0.4303534303534303,-0.028121238647554437,38.0,0.08404878304287315
GDSC1,100,weighted,Bleomycin (50 uM),BLEOMYCIN50UM,HCT116,3,0,-0.2841667578509684,-0.5027902396323448,-0.0309661888609257,38.0,0.08379985584256221
GDSC1,100,weighted,Bosutinib,BOSUTINIB,HCT116,3,0,-0.24822190611664294,-0.3954480796586059,-0.10929350403034611,37.0,0.13851380783735326
GDSC1,100,weighted,"Brivanib, BMS-540215",BRIVANIBBMS540215,HCT116,3,1,-0.2923186344238976,-0.4599336178283546,0.11166429587482217,37.0,0.07914799393484952
GDSC1,100,weighted,Bryostatin 1,BRYOSTATIN1,HCT116,3,1,-0.07541713014460512,-0.2578420467185762,0.024249165739710785,30.0,0.6920391624734634
GDSC1,100,weighted,C-75,C75,HCT116,3,1,-0.17142857142857146,-0.20720720720720723,0.05070785070785071,36.0,0.3174572157408504
GDSC1,100,weighted,"CAP-232, TT-232, TLN-232",CAP232TT232TLN232,HCT116,3,1,-0.07155727155727155,-0.16628056628056628,0.06975546975546977,36.0,0.6783441697633723
GDSC1,100,weighted,CAY10566,CAY10566,HCT116,3,1,-0.23655083655083659,-0.29729729729729737,0.03783783783783784,36.0,0.16482658749125131
GDSC1,100,weighted,CAY10603,CAY10603,HCT116,3,1,-0.1642958748221906,-0.20436225699383592,0.013750592697961118,37.0,0.33120180058710386
GDSC1,100,weighted,CCT-018159,CCT018159,HCT116,3,0,-0.24869606448553816,-0.2856804172593646,-0.12778568041725935,37.0,0.1377372194128311
GDSC1,100,weighted,CCT007093,CCT007093,HCT116,3,0,-0.22805662805662807,-0.41750321750321756,-0.04864864864864865,36.0,0.18097597481055913
GDSC1,100,weighted,CCT245232,CCT245232,HCT116,3,0,-0.276434329065908,-0.3745851114272166,-0.15908013276434327,37.0,0.09767662276640149
GDSC1,100,weighted,CCT245467,CCT245467,HCT116,3,0,-0.2771455666192508,-0.3845424371740161,-0.20697012802275958,37.0,0.09678183077213683
GDSC1,100,weighted,CD532,CD532,HCT116,3,1,-0.24822190611664294,-0.30915125651967756,0.04291133238501659,37.0,0.13851380783735326
GDSC1,100,weighted,CHIR-99021,CHIR99021,HCT116,3,0,-0.2303315461210198,-0.2778203304519094,-0.21829521829521828,38.0,0.16415983832705477
GDSC1,100,weighted,CI-1033,CI1033,HCT116,3,1,-0.013276434329065905,-0.046704599336178286,0.09246088193456614,37.0,0.783706588920208
GDSC1,100,weighted,CI-1040,CI1040,HCT116,3,1,-0.024710424710424714,-0.2460746460746461,0.056885456885456896,36.0,0.7417519353168035
GDSC1,100,weighted,CP466722,CP466722,HCT116,3,0,-0.18942626837363677,-0.20293978188715028,-0.036510194404931244,37.0,0.26148387057674743
GDSC1,100,weighted,CP724714,CP724714,HCT116,3,1,-0.059032716927453766,-0.33072546230440963,0.026789947842579417,37.0,0.7285460155865393
GDSC1,100,weighted,CPI-613,CPI613,HCT116,3,0,-0.2175032175032175,-0.31891891891891894,-0.13204633204633207,36.0,0.20256310325568996
GDSC1,100,weighted,CRT0105446,CRT0105446,HCT116,3,0,-0.3503217503217504,-0.5624195624195624,-0.17966537966537968,36.0,0.03620273856425053
GDSC1,100,weighted,CRT0105950,CRT0105950,HCT116,3,0,-0.30373230373230375,-0.338996138996139,-0.14877734877734877,36.0,0.07171984646451031
GDSC1,100,weighted,CRT0160829,CRT0160829,HCT116,3,1,-0.13963963963963963,-0.1645329540066382,0.40896159317211944,37.0,0.33049484638933413
GDSC1,100,weighted,CUDC-101,CUDC101,HCT116,3,1,-0.15030820293978187,-0.18302513039355142,0.07728781412991939,37.0,0.3745578964053356
GDSC1,100,weighted,CX-5461,CX5461,HCT116,3,0,-0.3997155049786628,-0.4845898530109055,-0.11190137505926978,37.0,0.014243252664201261
GDSC1,100,weighted,Cabozantinib,CABOZANTINIB,HCT116,3,1,-0.24845898530109056,-0.284257942152679,0.130393551446183,37.0,0.1381251114031072
GDSC1,100,weighted,Capivasertib,CAPIVASERTIB,HCT116,3,0,-0.05429113323850165,-0.05998103366524418,-0.006164058795637743,37.0,0.7496196852594518
GDSC1,100,weighted,Cetuximab,CETUXIMAB,HCT116,3,0,-0.20702826585179523,-0.2675324675324675,-0.20397249809014514,34.0,0.2400750148862963
GDSC1,100,weighted,Cisplatin,CISPLATIN,HCT116,3,0,-0.34522376627639784,-0.46405514826567457,-0.24368092789145418,38.0,0.03377385997312184
GDSC1,100,weighted,Cytarabine,CYTARABINE,HCT116,3,0,-0.45276705276705276,-0.4985842985842986,-0.15160875160875162,36.0,0.005557987392629249
GDSC1,100,weighted,DMOG,DMOG,HCT116,3,2,0.01757508342602892,-0.27786429365962184,0.26807563959955505,30.0,0.15206088858104014
GDSC1,100,weighted,Dabrafenib,DABRAFENIB,HCT116,3,0,-0.1305019305019305,-0.20720720720720723,-0.09909909909909911,36.0,0.44807341502475617
GDSC1,100,weighted,Dacinostat,DACINOSTAT,HCT116,3,1,-0.08876529477196884,-0.1510567296996663,0.09588431590656285,30.0,0.6142415327888044
GDSC1,100,weighted,Dactolisib,DACTOLISIB,HCT116,3,0,-0.24016121384542433,-0.4383594120436225,-0.07989568515884304,37.0,0.1522137233647444
GDSC1,100,weighted,Daporinad,DAPORINAD,HCT116,3,1,-0.014285714285714287,-0.2358543417366947,0.04201680672268908,35.0,0.8105993395206641
GDSC1,100,weighted,Docetaxel,DOCETAXEL,HCT116,3,0,-0.1690374585111427,-0.4148885727833096,-0.14485538169748693,37.0,0.31724050529411396
GDSC1,100,weighted,Doramapimod,DORAMAPIMOD,HCT116,3,0,-0.35324798482693215,-0.35893788525367465,-0.15267899478425795,37.0,0.031980436323529746
GDSC1,100,weighted,Doxorubicin,DOXORUBICIN,HCT116,3,0,-0.17715286136338768,-0.34391071233176496,-0.10821752927016084,38.0,0.2873251875296214
GDSC1,100,weighted,Dyrk1b_0191,DYRK1B0191,HCT116,3,0,-0.29379582011160954,-0.3086770981507823,-0.1040595251121567,38.0,0.07340187763767957
GDSC1,100,weighted,EHT-1864,EHT1864,HCT116,3,0,-0.1758043758043758,-0.4998712998712999,-0.16756756756756758,36.0,0.3050729765442252
GDSC1,100,weighted,ETP-45835,ETP45835,HCT116,3,1,-0.34044570886676145,-0.614746325272641,0.016832622095779987,37.0,0.03922510087004156
GDSC1,100,weighted,Elesclomol,ELESCLOMOL,HCT116,3,0,-0.35538169748696063,-0.36605026078710284,-0.139402560455192,37.0,0.030887143860874804
GDSC1,100,weighted,Embelin,EMBELIN,HCT116,3,0,-0.1764182424916574,-0.3125695216907675,-0.15150166852057842,30.0,0.35104370148324815
GDSC1,100,weighted,Enzastaurin,ENZASTAURIN,HCT116,3,1,-0.09601706970128022,-0.1984352773826458,0.1434329065908013,37.0,0.39704267971040536
GDSC1,100,weighted,EphB4_9721,EPHB49721,HCT116,3,0,-0.12134806871648977,-0.17540212277054382,-0.10953058321479374,38.0,0.4679982024602077
GDSC1,100,weighted,Epothilone B,EPOTHILONEB,HCT116,3,0,-0.24849833147942155,-0.2596218020022247,-0.19243604004449388,30.0,0.18546010138233066
GDSC1,100,weighted,Etoposide,ETOPOSIDE,HCT116,3,0,-0.28854282536151277,-0.3552836484983315,-0.1221357063403782,30.0,0.12201749243071905
GDSC1,100,weighted,FEN1_3940,FEN13940,HCT116,3,0,-0.2193894299157457,-0.27716380347959296,-0.08414487361855782,38.0,0.18569569781786913
GDSC1,100,weighted,FGFR_0939,FGFR0939,HCT116,3,0,-0.13032060400481454,-0.16664842980632452,-0.1257249151985994,38.0,0.43548000253521374
GDSC1,100,weighted,FGFR_3831,FGFR3831,HCT116,3,0,-0.17102527628843417,-0.179560126928548,-0.14235693183061604,38.0,0.30458942962193775
GDSC1,100,weighted,FH535,FH535,HCT116,3,0,-0.12614015572858733,-0.3592880978865406,-0.11857619577308119,30.0,0.5065612472958685
GDSC1,100,weighted,FMK,FMK,HCT116,3,1,-0.2863181312569522,-0.3539488320355951,0.02469410456062291,30.0,0.1250519348313997
GDSC1,100,weighted,FR-180204,FR180204,HCT116,3,1,-0.3416311047889995,-0.3582266477003319,0.0651967757230915,37.0,0.03850281267081789
GDSC1,100,weighted,FS106,FS106,HCT116,3,0,-0.2987197724039829,-0.3330962541488857,-0.1085822664770033,37.0,0.0725052573164997
GDSC1,100,weighted,FS112,FS112,HCT116,3,0,-0.29317889317889323,-0.5315315315315315,-0.12895752895752896,36.0,0.08267787906410091
GDSC1,100,weighted,FTI-277,FTI277,HCT116,3,1,-0.22091212458286985,-0.3637374860956618,0.06696329254727475,30.0,0.24074183075197952
