database,signature_size,scoring_method,trajectory,background,DRUG_NAME,drug_key,rho_score_vs_sensitivity,p_value,n,n_priority,power_status,sensitivity_metric,direction_definition,p_value_bh_within_database_signature
GDSC1,100,weighted,GSE77932|HCT116,HCT116,(5Z)-7-Oxozeaenol,5Z7OXOZEAENOL,-0.13404092351460772,0.4223725581608437,38,True,adequate_n>=30,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.7089067056568934
GDSC1,100,weighted,GSE77932|HCT116,HCT116,5-Fluorouracil,5FLUOROURACIL,-0.27927927927927926,0.09413504820470893,37,True,adequate_n>=30,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.3730877936996721
GDSC1,100,weighted,GSE77932|HCT116,HCT116,965-D2,965D2,-0.31143951833607003,0.10668759979172379,28,False,low_power_n20_29,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.3958161564501428
GDSC1,100,weighted,GSE77932|HCT116,HCT116,993-D2,993D2,-0.18555008210180626,0.3444962655311407,28,False,low_power_n20_29,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.6512740425984318
GDSC1,100,weighted,GSE77932|HCT116,HCT116,A-443654,A443654,,,13,False,insufficient_n<20,-LN_IC50,positive rho = OXA-R-like state more sensitive,
GDSC1,100,weighted,GSE77932|HCT116,HCT116,A-770041,A770041,,,13,False,insufficient_n<20,-LN_IC50,positive rho = OXA-R-like state more sensitive,
GDSC1,100,weighted,GSE77932|HCT116,HCT116,A-83-01,A8301,-0.1827541827541828,0.2860423833751726,36,True,adequate_n>=30,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.6067435993776199
GDSC1,100,weighted,GSE77932|HCT116,HCT116,ACY-1215,ACY1215,-0.13632053105737316,0.4211019255246158,37,True,adequate_n>=30,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.7085543734268094
GDSC1,100,weighted,GSE77932|HCT116,HCT116,AGI-6780,AGI6780,-0.41827541827541836,0.011127377842475514,36,True,adequate_n>=30,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.1991005821100083
GDSC1,100,weighted,GSE77932|HCT116,HCT116,AICA Ribonucleotide,AICARIBONUCLEOTIDE,-0.26766239924134655,0.10923887228606247,37,True,adequate_n>=30,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.39610561462520877
GDSC1,100,weighted,GSE77932|HCT116,HCT116,AKT inhibitor VIII,AKTINHIBITORVIII,-0.3674727358937884,0.025256178168866064,37,True,adequate_n>=30,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.2639190446104834
GDSC1,100,weighted,GSE77932|HCT116,HCT116,AR-42,AR42,0.049163449163449176,0.7758414414900089,36,True,adequate_n>=30,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.9194478112040082
GDSC1,100,weighted,GSE77932|HCT116,HCT116,ARRY-520,ARRY520,-0.40025740025740025,0.015568427200682869,36,True,adequate_n>=30,-LN_IC50,positive rho = OXA-R-like state more sensitive,0.2229001594705712
