database,DRUG_NAME,drug_key,n_models_available,n_models_positive_median_rho,n_models_direction_consistent_ge3of4,n_models_top50,n_models_top100,n_models_top200,median_model_rho,median_model_rank,signature_robust_flag,model_combinations
GDSC1,(5Z)-7-Oxozeaenol,5Z7OXOZEAENOL,6,6,3,1,4,6,0.12706669219827116,81.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,5-Fluorouracil,5FLUOROURACIL,6,0,0,0,0,0,-0.1031020899441952,322.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,965-D2,965D2,6,0,0,0,0,0,-0.052271483305966066,301.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,993-D2,993D2,6,6,1,1,1,3,0.04310344827586207,191.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,A-83-01,A8301,6,2,1,0,0,1,-0.027167581114949525,281.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,ACY-1215,ACY1215,6,3,2,0,0,1,-0.01900280847649269,267.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AGI-6780,AGI6780,6,6,1,1,2,6,0.10067906252116779,115.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AICA Ribonucleotide,AICARIBONUCLEOTIDE,6,5,5,0,2,5,0.07085476164423532,161.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AKT inhibitor VIII,AKTINHIBITORVIII,6,3,1,0,0,1,0.002270489112594379,244.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AR-42,AR42,6,2,1,0,0,0,-0.03263056289372079,279.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,ARRY-520,ARRY520,6,1,0,0,0,1,-0.05563571089886877,308.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AS601245,AS601245,6,0,0,0,0,0,-0.06465517241379311,314.5,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AS605240,AS605240,6,5,4,0,3,5,0.10567804646752013,107.5,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AST-1306,AST1306,6,0,0,0,0,0,-0.0347321005215742,292.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AT-7519,AT7519,6,5,1,0,0,1,0.023110140215403373,222.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AT7867,AT7867,6,2,0,0,0,1,-0.01043148411569466,273.0,False,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AZ20,AZ20,6,6,5,5,6,6,0.21461137250610934,16.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AZD1208,AZD1208,6,5,3,2,3,4,0.0984557938505307,129.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
GDSC1,AZD1332,AZD1332,6,6,5,0,1,6,0.09556844293686399,118.0,True,top100_weighted;top100_rank;top250_weighted;top250_rank;top500_weighted;top500_rank
