database,ModelID,signature_size,scoring_method,trajectory,background,state_score
GDSC1,ACH-000007,100,weighted,GSE77932|HCT116,HCT116,0.06570047831881334
GDSC1,ACH-000009,100,weighted,GSE77932|HCT116,HCT116,-0.16622026394033224
GDSC1,ACH-000236,100,weighted,GSE77932|HCT116,HCT116,0.0625130873860016
GDSC1,ACH-000249,100,weighted,GSE77932|HCT116,HCT116,-0.11604414183701892
GDSC1,ACH-000252,100,weighted,GSE77932|HCT116,HCT116,-0.00390403901632842
GDSC1,ACH-000350,100,weighted,GSE77932|HCT116,HCT116,0.2574042279208797
GDSC1,ACH-000360,100,weighted,GSE77932|HCT116,HCT116,0.4303321601687869
GDSC1,ACH-000381,100,weighted,GSE77932|HCT116,HCT116,0.11504905802229139
GDSC1,ACH-000400,100,weighted,GSE77932|HCT116,HCT116,0.11891927613426888
GDSC1,ACH-000403,100,weighted,GSE77932|HCT116,HCT116,0.04850240570650993
GDSC1,ACH-000421,100,weighted,GSE77932|HCT116,HCT116,0.06283346033386866
GDSC1,ACH-000470,100,weighted,GSE77932|HCT116,HCT116,-0.03656016478417076
GDSC1,ACH-000489,100,weighted,GSE77932|HCT116,HCT116,0.721229335840854
GDSC1,ACH-000491,100,weighted,GSE77932|HCT116,HCT116,0.09697300552621028
GDSC1,ACH-000501,100,weighted,GSE77932|HCT116,HCT116,0.48349779633333717
GDSC1,ACH-000532,100,weighted,GSE77932|HCT116,HCT116,0.5611486634534218
GDSC1,ACH-000552,100,weighted,GSE77932|HCT116,HCT116,-0.027615697895657435
GDSC1,ACH-000565,100,weighted,GSE77932|HCT116,HCT116,0.4746273127937978
GDSC1,ACH-000651,100,weighted,GSE77932|HCT116,HCT116,-0.287660291570822
GDSC1,ACH-000680,100,weighted,GSE77932|HCT116,HCT116,0.25622768532472134
GDSC1,ACH-000722,100,weighted,GSE77932|HCT116,HCT116,-0.1425492879769413
GDSC1,ACH-000926,100,weighted,GSE77932|HCT116,HCT116,0.2433791971286333
GDSC1,ACH-000935,100,weighted,GSE77932|HCT116,HCT116,-0.09294934906350999
GDSC1,ACH-000943,100,weighted,GSE77932|HCT116,HCT116,-0.36640984270606664
GDSC1,ACH-000950,100,weighted,GSE77932|HCT116,HCT116,-0.04853391781390013
GDSC1,ACH-000955,100,weighted,GSE77932|HCT116,HCT116,-0.18663977003516352
GDSC1,ACH-000957,100,weighted,GSE77932|HCT116,HCT116,-0.07337106387102325
GDSC1,ACH-000958,100,weighted,GSE77932|HCT116,HCT116,-0.24162094826219918
GDSC1,ACH-000963,100,weighted,GSE77932|HCT116,HCT116,-0.30129114098484694
GDSC1,ACH-000969,100,weighted,GSE77932|HCT116,HCT116,0.004646010991659166
GDSC1,ACH-000970,100,weighted,GSE77932|HCT116,HCT116,-0.052038841497096124
GDSC1,ACH-000971,100,weighted,GSE77932|HCT116,HCT116,-0.6745260099125148
GDSC1,ACH-000985,100,weighted,GSE77932|HCT116,HCT116,0.023503651580793223
GDSC1,ACH-000986,100,weighted,GSE77932|HCT116,HCT116,-0.12855480331127558
GDSC1,ACH-000989,100,weighted,GSE77932|HCT116,HCT116,0.028419370651572382
GDSC1,ACH-000991,100,weighted,GSE77932|HCT116,HCT116,0.10732117994025646
GDSC1,ACH-000997,100,weighted,GSE77932|HCT116,HCT116,-0.458825517797773
GDSC1,ACH-000998,100,weighted,GSE77932|HCT116,HCT116,-0.29524628263114383
GDSC1,ACH-000999,100,weighted,GSE77932|HCT116,HCT116,-0.2502780768944751
GDSC1,ACH-001345,100,weighted,GSE77932|HCT116,HCT116,-0.21138791175442057
GDSC1,ACH-000007,100,weighted,GSE77932|DLD1,DLD1,0.09794665945189554
GDSC1,ACH-000009,100,weighted,GSE77932|DLD1,DLD1,0.019292458777332357
GDSC1,ACH-000236,100,weighted,GSE77932|DLD1,DLD1,0.14263415714643504
GDSC1,ACH-000249,100,weighted,GSE77932|DLD1,DLD1,0.2369857133571666
GDSC1,ACH-000252,100,weighted,GSE77932|DLD1,DLD1,-0.05316053496845304
GDSC1,ACH-000350,100,weighted,GSE77932|DLD1,DLD1,-0.05904856930847633
GDSC1,ACH-000360,100,weighted,GSE77932|DLD1,DLD1,-0.14346679465289727
GDSC1,ACH-000381,100,weighted,GSE77932|DLD1,DLD1,-0.022504655697631912
GDSC1,ACH-000400,100,weighted,GSE77932|DLD1,DLD1,-0.004993622916648806
GDSC1,ACH-000403,100,weighted,GSE77932|DLD1,DLD1,0.1015380876815138
GDSC1,ACH-000421,100,weighted,GSE77932|DLD1,DLD1,0.04014086174445389
GDSC1,ACH-000470,100,weighted,GSE77932|DLD1,DLD1,0.016263145058670703
GDSC1,ACH-000489,100,weighted,GSE77932|DLD1,DLD1,-0.09697005244929006
