module,tier,drug,n_pairs,n_datasets,n_trajectories,median_rho_state_vs_lnIC50,mean_rho_state_vs_lnIC50,fraction_negative_rho,min_pairwise_p,putative_target,pathway,drug_sensitivity_score,within_module_min_p_BH
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,SL0101,5,1,5,-0.2614983404457088,-0.04855381697486959,0.6,0.0018404674562841339,"RSK, AURKB, PIM1, PIM3","Other, kinases",0.15689900426742528,0.0119746869940512
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,torin2,5,1,5,-0.23219814241486067,-0.2045407636738906,0.6,0.00047305669590900703,"MTOR, ATM, ATR, DNAPK",PI3K/MTOR signaling,0.1393188854489164,0.007259062856338742
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,HG-6-71-01,5,1,5,-0.2198142414860681,-0.11909184726522186,0.6,0.004322124802950012,"DDR1, DDR2, SRC","Other, kinases",0.13188854489164084,0.0183601004026141
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,Pilaralisib,5,1,5,-0.18678192362402887,-0.040639019586387985,0.6,0.04979071474523102,PI3K,PI3K/MTOR signaling,0.11206915417441732,0.07616793862812127
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,XMD11-50,5,1,5,-0.18235294117647058,-0.1758823529411765,0.6,0.025362176320607912,"LRRK2, ERK5","Other, kinases",0.10941176470588235,0.04694733975000373
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,PF-4708671,5,1,5,-0.16577306050990262,-0.061910493489440846,0.6,0.02636588433762741,S6K1,PI3K/MTOR signaling,0.09946383630594156,0.04788715388530208
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,WEHI-539,5,1,5,-0.12186234817813767,-0.09299595141700408,0.8,0.0017161834459573126,BCL-XL,Apoptosis regulation,0.09748987854251014,0.011315906840308174
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,Bicalutamide,5,1,5,-0.15910931174089069,-0.02862348178137652,0.6,0.021549311172370942,AR,Hormone-related,0.09546558704453441,0.042276129551903296
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GSK2801,5,1,5,-0.14736842105263157,-0.022550607287449388,0.6,0.11830466001696449,,Chromatin other,0.08842105263157894,0.14478236963980892
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,AZ6102,5,1,5,-0.10976766239924134,-0.09734471313418683,0.8,0.27887512793317937,"TNKS1, TNKS2",WNT signaling,0.08781412991939308,0.293132547561665
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,HG6-64-1,5,1,5,-0.14354838709677423,0.020322580645161292,0.6,0.007969493559158315,BRAF,ERK MAPK signaling,0.08612903225806454,0.023407541082327846
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,KU-60019,5,1,5,-0.14213808950651058,-0.02790239632344894,0.6,5.600729803435229e-05,ATM,Genome integrity,0.08528285370390634,0.002617068289968825
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,Sepantronium bromide,10,2,5,-0.13885545464492832,-0.07842761790130211,0.6,0.012292522652096736,BIRC5,Apoptosis regulation,0.083313272786957,0.029812036255906085
