module,tier,dataset,trajectory,drug,n,rho_state_vs_lnIC50,p,putative_target,pathway
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,(5Z)-7-Oxozeaenol,39,0.04595141700404859,0.7811838404507325,TAK1,"Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,(5Z)-7-Oxozeaenol,39,-0.2105263157894737,0.19829128606637533,TAK1,"Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,(5Z)-7-Oxozeaenol,39,0.1396761133603239,0.3964014338241441,TAK1,"Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,(5Z)-7-Oxozeaenol,39,-0.3386639676113361,0.03495225873285382,TAK1,"Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,(5Z)-7-Oxozeaenol,39,0.05344129554655871,0.7466093809684703,TAK1,"Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,5-Fluorouracil,38,0.39183718131086553,0.01497701903091856,Antimetabolite (DNA & RNA),Other
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,5-Fluorouracil,38,0.15570631360105044,0.3505694694873023,Antimetabolite (DNA & RNA),Other
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,5-Fluorouracil,38,0.3255279571069044,0.04611410876533994,Antimetabolite (DNA & RNA),Other
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,5-Fluorouracil,38,-0.06685633001422475,0.6900335168239166,Antimetabolite (DNA & RNA),Other
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,5-Fluorouracil,38,0.1125943757522705,0.500923279454069,Antimetabolite (DNA & RNA),Other
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,965-D2,28,0.23043240284619596,0.2381195170344784,"MKNK1, MKNK2, PIM1, PIM3","Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,965-D2,28,-0.1412151067323481,0.47351233404598253,"MKNK1, MKNK2, PIM1, PIM3","Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,965-D2,28,0.5101258894362343,0.005548745741610678,"MKNK1, MKNK2, PIM1, PIM3","Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,965-D2,28,-0.3262178434592227,0.09022982571910769,"MKNK1, MKNK2, PIM1, PIM3","Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,965-D2,28,-0.07662835249042146,0.6983393491009365,"MKNK1, MKNK2, PIM1, PIM3","Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,993-D2,28,0.14887794198139023,0.44958936986233405,"MKNK1, MKNK2","Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,993-D2,28,-0.18062397372742198,0.3576807469476885,"MKNK1, MKNK2","Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,993-D2,28,0.021346469622331693,0.9141408073542384,"MKNK1, MKNK2","Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,993-D2,28,-0.3552271483305966,0.0635946933811006,"MKNK1, MKNK2","Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,993-D2,28,0.030103995621236997,0.8791341715501779,"MKNK1, MKNK2","Other, kinases"
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,A-83-01,37,0.27027027027027023,0.10569842524031972,TGFB,Other
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,A-83-01,37,-0.005926979611190137,0.97222705521768,TGFB,Other
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,A-83-01,37,0.25580844001896635,0.1264705071174154,TGFB,Other
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,A-83-01,37,-0.16642958748221903,0.324872877782885,TGFB,Other
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,A-83-01,37,-0.2003319108582266,0.23450065029500064,TGFB,Other
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,ACY-1215,38,0.2351460772513404,0.15527835688913738,HDAC6,Chromatin histone acetylation
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,ACY-1215,38,0.11303206040048144,0.4992496020214756,HDAC6,Chromatin histone acetylation
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,ACY-1215,38,0.25681146733778315,0.11960289412091071,HDAC6,Chromatin histone acetylation
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,ACY-1215,38,-0.07079549184812342,0.6727586377522233,HDAC6,Chromatin histone acetylation
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,ACY-1215,38,-0.3299048035890141,0.043097923296243006,HDAC6,Chromatin histone acetylation
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,AGI-6780,37,0.3895211000474158,0.017171296714657242,IDH2(R140Q),Metabolism
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,AGI-6780,37,-0.25391180654338547,0.12940548621460177,IDH2(R140Q),Metabolism
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,AGI-6780,37,0.32313892840208625,0.05108004214209903,IDH2(R140Q),Metabolism
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,AGI-6780,37,-0.3741109530583214,0.022544858679249304,IDH2(R140Q),Metabolism
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,AGI-6780,37,-0.036510194404931244,0.83013238396891,IDH2(R140Q),Metabolism
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,AICA Ribonucleotide,38,0.19816172447751396,0.23301982480516686,AMPK agonist,Metabolism
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,AICA Ribonucleotide,38,-0.45573913994966625,0.004035145469594336,AMPK agonist,Metabolism
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,AICA Ribonucleotide,38,0.2736623262939052,0.09640807794548427,AMPK agonist,Metabolism
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,AICA Ribonucleotide,38,-0.5596892438997703,0.00025874446785109753,AMPK agonist,Metabolism
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,AICA Ribonucleotide,38,0.17496443812233284,0.29341686503812703,AMPK agonist,Metabolism
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,AKT inhibitor VIII,38,0.41984899879636717,0.008685995730071519,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,AKT inhibitor VIII,38,-0.08261297734981946,0.6219468718896345,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,AKT inhibitor VIII,38,0.30408140934456723,0.06344054741173209,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,AKT inhibitor VIII,38,-0.22114016850858959,0.182121989255174,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,AKT inhibitor VIII,38,0.20341394025604553,0.2206145430880607,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,AR-42,37,0.01872925557136083,0.9123896159415881,HDAC1,Chromatin histone acetylation
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,AR-42,37,0.1768610715979137,0.2950245055847612,HDAC1,Chromatin histone acetylation
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,AR-42,37,0.12162162162162161,0.4733294067394269,HDAC1,Chromatin histone acetylation
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,AR-42,37,0.026789947842579417,0.8749360066761428,HDAC1,Chromatin histone acetylation
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,AR-42,37,-0.09151256519677571,0.5901103584158833,HDAC1,Chromatin histone acetylation
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,ARRY-520,37,0.46514935988620193,0.0037217445502409877,KIF11,Mitosis
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,ARRY-520,37,0.056187766714082495,0.7411677812667341,KIF11,Mitosis
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,ARRY-520,37,0.3560929350403034,0.030529604391987566,KIF11,Mitosis
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,ARRY-520,37,-0.21953532479848267,0.1917084928503276,KIF11,Mitosis
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,ARRY-520,37,0.0066382171645329524,0.9688958305027131,KIF11,Mitosis
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,AS601245,31,0.30403225806451617,0.09634345991002469,"JNK1, JNK2, JNK2",JNK and p38 signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,AS601245,31,0.1060483870967742,0.5701753103745147,"JNK1, JNK2, JNK2",JNK and p38 signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,AS601245,31,0.24112903225806454,0.19129442847272682,"JNK1, JNK2, JNK2",JNK and p38 signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,AS601245,31,-0.20766129032258068,0.2623008771928932,"JNK1, JNK2, JNK2",JNK and p38 signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,AS601245,31,0.005645161290322581,0.9759558205230284,"JNK1, JNK2, JNK2",JNK and p38 signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,AS605240,38,-0.01674143779406937,0.9205344049238022,PI3Kgamma,PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,AS605240,38,-0.2701608491082175,0.10091871065307481,PI3Kgamma,PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,AS605240,38,0.0504431557063136,0.7636001078987467,PI3Kgamma,PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,AS605240,38,-0.1535178903599956,0.35746507915077985,PI3Kgamma,PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,AS605240,38,0.12244228033701719,0.4639649663593455,PI3Kgamma,PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,AST-1306,38,-0.044753255279571066,0.7896266267342594,"EGFR, ERBB4",RTK signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,AST-1306,38,0.03162271583324215,0.8505077162233714,"EGFR, ERBB4",RTK signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,AST-1306,38,0.08151876572929204,0.6265843854252023,"EGFR, ERBB4",RTK signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,AST-1306,38,0.054601159864317766,0.7447394764874881,"EGFR, ERBB4",RTK signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,AST-1306,38,-0.12988291935660357,0.437036681586694,"EGFR, ERBB4",RTK signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,AT-7519,37,0.1209103840682788,0.47593992835405347,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,AT-7519,37,-0.08321479374110952,0.6243792248951126,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,AT-7519,37,0.15813181602655282,0.34991000965245117,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,AT-7519,37,-0.21431958274063534,0.20274414221915898,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,AT-7519,37,0.06661925082977714,0.6952382746382827,"CDK1, CDK2, CDK4, CDK6, CDK9",Cell cycle
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,AT7867,38,0.41941131414815624,0.008763299173287928,AKT,PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,AT7867,38,-0.00995732574679943,0.9526876495837132,AKT,PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,AT7867,38,0.32574679943101,0.045959363591822504,AKT,PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,AT7867,38,-0.2244228033701718,0.17555347894955453,AKT,PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE119603|HCT116,AT7867,38,0.10646679067731699,0.5246502165341814,AKT,PI3K/MTOR signaling
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|HCT116,AZ20,38,0.5176715176715176,0.0008728900602250024,ATR,Genome integrity
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE77932|DLD1,AZ20,38,-0.22945617682459787,0.16581323549920624,ATR,Genome integrity
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HCT116,AZ20,38,0.48769011926906664,0.0018977897059467095,ATR,Genome integrity
COESSENTIALITY::1063::cellular component:mitochondrial nucleoid,T2_subtype,GDSC1,GSE42387|HT29,AZ20,38,-0.47499726447094875,0.0025830464563706625,ATR,Genome integrity
