cohort,patient,sample,side,compartment,n_cells,selected_cells_total_UMI,SLC7A11_UMI,SLC7A11_CPM,SLC7A11_log2_CPM_plus1,SLC7A11_detection_fraction,GPX4_UMI,GPX4_CPM,GPX4_log2_CPM_plus1,GPX4_detection_fraction,AIFM2_UMI,AIFM2_CPM,AIFM2_log2_CPM_plus1,AIFM2_detection_fraction,GCH1_UMI,GCH1_CPM,GCH1_log2_CPM_plus1,GCH1_detection_fraction,DHODH_UMI,DHODH_CPM,DHODH_log2_CPM_plus1,DHODH_detection_fraction,SLC7A11_z,GPX4_z,AIFM2_z,GCH1_z,DHODH_z,antioxidant_available_genes,antioxidant_buffering_score
GSE200997,Patient 10,T_cac10,Left,malignant_epithelial,50,188804,0,0.0,0.0,0.0,25,132.41244888879473,7.05974948232548,0.34,6,31.778987733310736,5.0346993973210115,0.1,0,0.0,0.0,0.0,1,5.296497955551789,2.6545496402096496,0.02,-1.663651826299397,-1.4601521594534064,0.9534091263427714,-2.0150555275272266,0.05455913326808442,5,-0.8261782507338348
GSE200997,Patient 14,T_cac14,Left,malignant_epithelial,945,2428269,63,25.944407312369428,4.751913947456192,0.06243386243386243,987,406.46238122712106,8.670523059124974,0.4973544973544973,30,12.35447967255687,3.739251860568673,0.02962962962962963,105,43.24067885394905,5.467301618156901,0.09735449735449736,16,6.589055825363665,2.9239204072748928,0.016931216931216932,1.2203019240418864,0.7312394460949138,-0.10903901747081134,0.8136909661866799,0.2534826046639106,5,0.5819351847033158
GSE200997,Patient 15,T_cac15,Left,malignant_epithelial,52,126008,0,0.0,0.0,0.0,25,198.400101580852,7.639522334466471,0.19230769230769232,3,23.80801218970224,4.632734234835518,0.057692307692307696,5,39.680020316170406,5.346248494585012,0.09615384615384616,0,0.0,0.0,0.0,-1.663651826299397,-0.6713948942448493,0.6237414797230663,0.7510588630446307,-1.9057583695407765,5,-0.5732009494634651
GSE200997,Patient 16,T_cac16,Left,malignant_epithelial,77,321353,2,6.223685479830591,2.8527350790636725,0.025974025974025976,187,581.9145923641603,9.18714070750749,0.5064935064935064,9,28.006584659237664,4.858308532262355,0.1038961038961039,3,9.335528219745887,3.369540217616295,0.03896103896103896,4,12.447370959661182,3.7492522398475185,0.03896103896103896,0.06768340429752931,1.4340766382675052,0.808743949366894,-0.27167721374337744,0.8629692055208651,5,0.5803591967418832
GSE200997,Patient 2,T_cac2,Left,malignant_epithelial,1010,3289358,49,14.896523880951845,3.990639418385088,0.04257425742574258,1503,456.92806924633925,8.838977189207158,0.5613861386138614,80,24.320855315839747,4.662254233424514,0.062376237623762376,143,43.47352887706355,5.474874978808863,0.12673267326732673,10,3.0401069144799684,2.0143934719248717,0.009900990099009901,0.7582816607479363,0.9604144039530617,0.6479520068316252,0.8176093740021045,-0.41817994164354355,5,0.5532155007782368
GSE200997,Patient 4,T_cac4,Left,malignant_epithelial,47,94972,1,10.52941919723708,3.527247932909928,0.02127659574468085,38,400.11792949500904,8.647882644123156,0.3404255319148936,1,10.52941919723708,3.527247932909928,0.02127659574468085,10,105.29419197237081,6.731918958406881,0.19148936170212766,0,0.0,0.0,0.0,0.47704769330041724,0.7004380869866426,-0.28291188613742135,1.46799579825261,-1.9057583695407765,5,0.09136226457229432
GSE200997,Patient 6,T_cac6,Left,malignant_epithelial,50,407838,1,2.451953962112407,1.7874132237651223,0.02,73,178.99263923420574,7.491794098788322,0.64,3,7.355861886337221,3.062788646361088,0.06,1,2.451953962112407,1.7874132237651223,0.02,5,12.259769810562037,3.7289838253873984,0.1,-0.5788642802524995,-0.8723731200056613,-0.6638334540674514,-1.0902594868712603,0.8480014961141501,5,-0.47146576901654447
GSE200997,Patient 9,T_cac9,Left,malignant_epithelial,176,1490238,4,2.684135017359643,1.8813259347478708,0.017045454545454544,488,327.4644721178765,8.35959352174923,0.7102272727272727,15,10.065506315098663,3.467997559724455,0.06818181818181818,17,11.407573823778485,3.6331491334339225,0.09090909090909091,13,8.723438806418839,3.281466629837207,0.06818181818181818,-0.5218683165127939,0.30823252076648655,-0.3315054781010015,-0.13528766577067605,0.5175214109213596,5,-0.032581505739325056
GSE200997,Patient 1,T_cac1,Right,malignant_epithelial,1239,5815251,69,11.865351985666654,3.685419023473189,0.05004035512510089,1300,223.550109874879,7.810893617819195,0.4689265536723164,84,14.444776330376797,3.9490470730466494,0.057304277643260695,136,23.38678072537196,4.6080274168557755,0.10008071025020178,45,7.738273034130427,3.1273481846138953,0.03470540758676352,0.573042299867247,-0.4382512686104013,0.06302239586669775,0.36910805237831645,0.4037088526249981,5,0.1941260664253716
GSE200997,Patient 11,T_cac11,Right,malignant_epithelial,787,3549369,25,7.0435054794246525,3.007824386427862,0.026683608640406607,894,251.8757559442256,7.9822849173426835,0.5260482846251588,39,10.987868547902458,3.5835032641710565,0.048284625158831,126,35.49926761630025,5.189795610470911,0.12833545108005082,35,9.860907671194513,3.4410727724321126,0.044472681067344345,0.16180766550184264,-0.2050804117938553,-0.23677464739764015,0.6701111527702548,0.6353864943785634,5,0.2050900506918331
