cohort,proxy,gene,n_right,spearman_rho,spearman_p,spearman_fdr_within_cohort
GSE200997,AA_proxy_core,SLC7A11,8,0.7380952380952381,0.03655276105286081,0.10965828315858242
GSE200997,AA_proxy_core,MBOAT2,8,0.523809523809524,0.1827207505397148,0.1827207505397148
GSE200997,AA_proxy_core,MBOAT1,8,0.5476190476190477,0.16002564253889653,0.1827207505397148
GSE200997,AA_proxy_expanded,SLC7A11,8,0.5476190476190477,0.16002564253889653,0.23293553465009798
GSE200997,AA_proxy_expanded,MBOAT2,8,0.4761904761904762,0.23293553465009798,0.23293553465009798
GSE200997,AA_proxy_expanded,MBOAT1,8,0.523809523809524,0.1827207505397148,0.23293553465009798
GSE132465,AA_proxy_core,SLC7A11,11,0.05454545454545456,0.8734465775233149,0.8734465775233149
GSE132465,AA_proxy_core,MBOAT2,11,0.6000000000000001,0.05100326070695074,0.15300978212085223
GSE132465,AA_proxy_core,MBOAT1,11,0.3090909090909091,0.35502843970150694,0.5325426595522604
GSE132465,AA_proxy_expanded,SLC7A11,11,0.03636363636363637,0.9154683168905347,0.9154683168905345
GSE132465,AA_proxy_expanded,MBOAT2,11,0.6090909090909091,0.046695709354098905,0.14008712806229673
GSE132465,AA_proxy_expanded,MBOAT1,11,0.39090909090909093,0.23454006709519437,0.35181010064279156
