path,exists,bytes,sha256,role
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\work\nhanes_phase2a\phase2b_harmonized.pkl,True,4018140,134d04173437078e214044bddd133a1fe2c1735e2007ba3ec465e3f9ddb106e6,input or frozen reference
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\outputs\environmental_crc_systematic_human_screen_fdr_v2.csv,True,10614,8c62fe3288e4133ac1daa1759ad0522819c0fb8eda49dcadf34ecfbe7d8b5b38,input or frozen reference
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\outputs\environmental_crc_267_actionability_matrix_v2.csv,True,453968,32cf565641ee601f32c265003a2d1e175922e447f0ffd9763b22ab91d51fe3a8,input or frozen reference
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\outputs\mcop_phase2g_source_h5ad_qc.json,True,3491,e08365ac240163fddab3645a1c6af9ff2b00bbd01002017c16333a9776293bfb,input or frozen reference
D:\cellxgene_census\2025-11-08\16023185-de21-4c0d-a9c8-73abdd52d142.h5ad,True,3759324000,cb1abf4e714ec4a0e633e46c420e16f0df2047953b93a5162a516905d6c1e992,input or frozen reference
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\build_supplement_tables.py,True,9439,cd99bcde4a84360a95dcc46d3840295a3114795686c75e9aef5abfefbed3af9b,reproducibility script
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\environmental_crc_15axis_robustness_audit.py,True,35768,accbf05a310ed36d5b8c801f2017909047dc70856a1d0a943a34c85a9c928b05,reproducibility script
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\environmental_crc_267_actionability_prioritization_v2.py,True,8332,1bc70f51a5299371d09288758eb9fe45855e7637dd16a2fcc9e51ed56547ad99,reproducibility script
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\final_reproducibility_audit.py,True,13093,62f6511176ccb8fdfb3e4d2dc7d422af6a0a0f9e6257081a37b62e8e8b78148e,reproducibility script
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\mcop_crc_phase2.py,True,13868,3d3f5803706ddbf786f03e7b8696d3064f9457274b8302dbdb291a14f4b51f0a,reproducibility script
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\mcop_crc_phase2_heterogeneity.py,True,19009,12f7e2d6d1c293efc46b4da844a84f1b6402d831ec4c39dce96d7f41e03ba8ab,reproducibility script
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\mcop_crc_phase2_stability.py,True,16134,48f7b7daca0f6f6e6fd1a3b4010cc8be484fea0020d11ff598d1109cbd9e3544,reproducibility script
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\mcop_crc_phase2h_survey_audit.py,True,28111,592507c92b7ad13437cd2c3b309e5b1c79047799ea9bf425432891a1ba6eb75c,reproducibility script
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\mcop_phase2g_epithelial_state_analysis.py,True,76852,ce8091023182f34d739fce9b2f8ce62023873fbd9f40d09ab2f1cfefeecaec01,reproducibility script
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\mcop_phase2g_local_completion_audit.py,True,8096,5832bda4dfd50108081c795790a292e677fb8b2431fe58770c7139fdde442076,reproducibility script
C:\Users\21634\Documents\Codex\2026-08-22\non\work\whynot17\supplement\MCOP_CRC_reproducibility\scripts\mcop_phase2g_source_h5ad_qc.py,True,3922,4673f1efa146827280d9c49eb57a3f3161a630888bbc33e62b5670ba10621f03,reproducibility script
