Analysis,Cycles,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,Dropped_cycle,analysis_family,Sex_group,Effect,Female_OR,Female_CI_low,Female_CI_high,Male_OR,Male_CI_low,Male_CI_high,Interaction_OR_Male_vs_Female,Interaction_CI_low,Interaction_CI_high,Interaction_P,Excluded_known_timing_CRC_N,Timing_known_CRC_N,Timing_missing_CRC_N,Exam_age_median,Exam_age_Q1,Exam_age_Q3,Diagnosis_age_median,Diagnosis_age_Q1,Diagnosis_age_Q3,Years_since_diagnosis_median,Years_since_diagnosis_Q1,Years_since_diagnosis_Q3,Exposure,Excluded_fraction,Cutoff_log2,Retained_exposure_n,Normalization,Model_role,Secondary_exposure,Secondary_OR,Secondary_CI_low,Secondary_CI_high,Secondary_P,Complete_case_N,Complete_case_CRC_N,MCOP_BH_FDR,Burden_definition
LOCO_drop_2005-2006,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8650,64,8586,0.17961717010998157,0.0770037254821125,1.1967591202504888,1.0270847691079252,1.3944636654934426,0.02180410592938926,94.0,184.0,90.0,Newton-IRLS converged,2005-2006,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2007-2008,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8460,57,8403,0.23463669118807542,0.0765621903952618,1.2644492997005585,1.0861065777532517,1.4720765569992387,0.0028517759367674947,93.0,182.0,89.0,Newton-IRLS converged,2007-2008,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2009-2010,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8362,54,8308,0.19700945133772982,0.0735400600868774,1.2177555500704949,1.0522949719389634,1.4092327904931854,0.008733916646941278,93.0,183.0,90.0,Newton-IRLS converged,2009-2010,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2011-2012,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8521,60,8461,0.2888404417621511,0.08754414321484733,1.3348787206389714,1.1218400250817337,1.5883737065673988,0.0013793156036250537,92.0,183.0,91.0,Newton-IRLS converged,2011-2012,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2013-2014,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8452,63,8389,0.23167268024265605,0.07952572781979346,1.260707006974401,1.0765618419675342,1.476350076210748,0.004469911151366766,94.0,184.0,90.0,Newton-IRLS converged,2013-2014,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2015-2016,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8559,61,8498,0.20985023982439116,0.07976501525531247,1.2334933179476826,1.0528227940039112,1.4451679561716728,0.009953381507527437,94.0,184.0,90.0,Newton-IRLS converged,2015-2016,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2017-2018,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8612,61,8551,0.1961727837888966,0.07971377425382109,1.2167371196226022,1.0386265510476553,1.4253912696283257,0.01568127380342274,94.0,184.0,90.0,Newton-IRLS converged,2017-2018,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age_ge_40_7_cycle,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,6178,69,6109,0.20003440703834838,0.07716504016786216,1.2214447837346922,1.0482224303526197,1.4232927253911254,0.010840487594437285,109.0,214.0,105.0,Newton-IRLS converged,,age_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female_MCOP_primary,,ok,5065,33,5032,0.12867864050961828,0.09280119271607229,1.1373245753866479,0.946248266252126,1.3669850037366058,0.16839156676385159,109.0,214.0,105.0,Newton-IRLS converged,,sex_specific,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male_MCOP_primary,,ok,4871,37,4834,0.30160480308444937,0.10844068582027398,1.3520268042925943,1.0905464372751712,1.676202330359273,0.00638111830639338,109.0,214.0,105.0,Newton-IRLS converged,,sex_specific,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
