axis_key,exposure_axis,primary_biomarker,biological_matrix,eligible_chemical_count,eligible_chemical_ids,mapping_confidence,analysis,exposure_variable,status,fit_N,fit_crc_cases,fit_control_n,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,complete_case_n,n_parameters,cases_per_parameter_approx,condition_number_if_available,sparse_cell_warning,extreme_weight_ratio,extreme_weight_warning,singleton_stratum_N,fit_status,warning_message,warning_type,analytic_n,crc_cases,controls,reference_cycle,interaction_terms,interaction_P,interaction_P_chi2,interaction_test,df,heterogeneity_status
serum_or_blood|LBXPFDE,PFAS exposure axis,LBXPFDE,serum_or_blood,1,C036567,high,cycle_interaction,axis_log2,ok,5322,32,5290,0.29875017815593496,0.6120537028397818,1.348172778389417,0.3966393931331951,4.582423914156918,0.6271930207984466,62,121,59,Newton-IRLS converged,5322,18,1.7777777777777777,619.3187771497951,,16.831427349600606,False,0,ok,,none,5322,32,5290,2011-2012,axis_x_cycle_2013-2014;axis_x_cycle_2015-2016;axis_x_cycle_2017-2018,0.06329789948725646,0.053400512920749474,Wald F test,3,moderate
serum_or_blood|LBXPFHS,PFAS exposure axis,LBXPFHS,serum_or_blood,1,C471071,high,cycle_interaction,axis_log2,converged_with_warning,5322,32,5290,-0.6591301115930369,0.2946026576300443,0.5173011330846239,0.287069069172735,0.9321814539678442,0.02886718965432989,62,121,59,Newton-IRLS stopped before tolerance,5322,18,1.7777777777777777,370.69896541600536,,16.831427349600606,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5322,32,5290,2011-2012,axis_x_cycle_2013-2014;axis_x_cycle_2015-2016;axis_x_cycle_2017-2018,0.06704299355050307,0.056949335683377685,Wald F test,3,moderate
serum_or_blood|LBXPFNA,PFAS exposure axis,LBXPFNA,serum_or_blood,1,C101816,high,cycle_interaction,axis_log2,converged_with_warning,5322,32,5290,-0.25783072555340814,0.48421054330759467,0.7727260238068164,0.2935363463087946,2.034179124244291,0.5962992740787856,62,121,59,Newton-IRLS stopped before tolerance,5322,18,1.7777777777777777,372.52527100123484,,16.831427349600606,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5322,32,5290,2011-2012,axis_x_cycle_2013-2014;axis_x_cycle_2015-2016;axis_x_cycle_2017-2018,0.0011133629693125115,0.0004109444351542846,Wald F test,3,significant
urine|URXBPH,bisphenol exposure axis,URXBPH,urine,17,C008745;C517113;C047969;C000705701;C000730470;C000730511;C512161;C534679;D017438;C019273;C047971;C543008;C006780;C000611646;C000655605;C583074;C492482,high,cycle_interaction,axis_log2,converged_with_warning,5751,45,5706,0.18636847321263494,0.1401004712092905,1.2048661394910394,0.9107249095359579,1.5940075854867386,0.18815728187854133,64,124,60,Newton-IRLS stopped before tolerance,5751,19,2.3684210526315788,572.1144605452797,,7.660775127418916,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5751,45,5706,2005-2006,axis_x_cycle_2007-2008;axis_x_cycle_2009-2010;axis_x_cycle_2011-2012,0.4032225362040428,0.39625621043822523,Wald F test,3,low
urine|URXCOP,DINP-related exposure axis,URXCOP,urine,3,C573544;C019174;C012125,high,cycle_interaction,axis_log2,ok,9936,70,9866,0.44913211444111306,0.3338381027384919,1.5669516604679636,0.8085407881908196,3.036751567892251,0.18130148823775857,109,214,105,Newton-IRLS converged,9936,25,2.8,821.1237117368307,,16.72347552015508,False,0,ok,,none,9936,70,9866,2005-2006,axis_x_cycle_2007-2008;axis_x_cycle_2009-2010;axis_x_cycle_2011-2012;axis_x_cycle_2013-2014;axis_x_cycle_2015-2016;axis_x_cycle_2017-2018,0.005980883975610029,0.0036627389408795956,Wald F test,6,significant
urine|URXECP,DEHP-related exposure axis;phthalate exposure axis,URXECP,urine,2,C051450;D004051,moderate,cycle_interaction,axis_log2,ok,11224,85,11139,-0.1074357521230162,0.16878473729976612,0.8981342238143142,0.6430659289465485,1.2543738482739442,0.5256073761973808,124,244,120,Newton-IRLS converged,11224,27,3.1481481481481484,1536.5409018379542,,16.400286103961022,False,0,ok,,none,11224,85,11139,2003-2004,axis_x_cycle_2005-2006;axis_x_cycle_2007-2008;axis_x_cycle_2009-2010;axis_x_cycle_2011-2012;axis_x_cycle_2013-2014;axis_x_cycle_2015-2016;axis_x_cycle_2017-2018,0.029717259017979936,0.02327881431596847,Wald F test,7,significant
urine|URXMBP,phthalate exposure axis,URXMBP,urine,1,C028577,high,cycle_interaction,axis_log2,ok,13779,104,13675,-0.031688771536741496,0.18932806020628215,0.9688080558055626,0.6664944585583295,1.4082473409066039,0.8672960661712755,153,301,148,Newton-IRLS converged,13779,31,3.3548387096774195,1875.2671565588503,,16.091520412753837,False,0,ok,,none,13779,104,13675,1999-2000,axis_x_cycle_2001-2002;axis_x_cycle_2003-2004;axis_x_cycle_2005-2006;axis_x_cycle_2007-2008;axis_x_cycle_2009-2010;axis_x_cycle_2011-2012;axis_x_cycle_2013-2014;axis_x_cycle_2015-2016;axis_x_cycle_2017-2018,0.005541382238406614,0.0034709531171086038,Wald F test,9,significant
urine|URXMEP,phthalate exposure axis,URXMEP,urine,1,C581825,high,cycle_interaction,axis_log2,ok,13775,104,13671,-0.2686275745544704,0.18173452327587403,0.7644278950408185,0.5338392375416442,1.094617940426217,0.14142818849069336,153,301,148,Newton-IRLS converged,13775,31,3.3548387096774195,2197.4231460875644,,16.092056491572045,False,0,ok,,none,13775,104,13671,1999-2000,axis_x_cycle_2001-2002;axis_x_cycle_2003-2004;axis_x_cycle_2005-2006;axis_x_cycle_2007-2008;axis_x_cycle_2009-2010;axis_x_cycle_2011-2012;axis_x_cycle_2013-2014;axis_x_cycle_2015-2016;axis_x_cycle_2017-2018,0.03606123927763682,0.029076469783727507,Wald F test,9,significant
urine|URXMHP,DEHP-related exposure axis,URXMHP,urine,1,C016599,high,cycle_interaction,axis_log2,ok,13779,104,13675,0.06846132350510921,0.3135386208230127,1.0708592070693843,0.5763947407681543,1.9895036513293385,0.8274469774153428,153,301,148,Newton-IRLS converged,13779,31,3.3548387096774195,976.9976364865164,,16.091520412753837,False,0,ok,,none,13779,104,13675,1999-2000,axis_x_cycle_2001-2002;axis_x_cycle_2003-2004;axis_x_cycle_2005-2006;axis_x_cycle_2007-2008;axis_x_cycle_2009-2010;axis_x_cycle_2011-2012;axis_x_cycle_2013-2014;axis_x_cycle_2015-2016;axis_x_cycle_2017-2018,0.009435182254867933,0.0063992380308582906,Wald F test,9,significant
urine|URXMIB,phthalate exposure axis,URXMIB,urine,1,C575690,high,cycle_interaction,axis_log2,ok,12603,97,12506,-0.0005760696851187393,0.29817707458203696,0.9994240962111649,0.5542579208340929,1.8021366705672957,0.9984612804806611,139,274,135,Newton-IRLS converged,12603,29,3.3448275862068964,891.4420794743335,,16.17323622637846,False,0,ok,,none,12603,97,12506,2001-2002,axis_x_cycle_2003-2004;axis_x_cycle_2005-2006;axis_x_cycle_2007-2008;axis_x_cycle_2009-2010;axis_x_cycle_2011-2012;axis_x_cycle_2013-2014;axis_x_cycle_2015-2016;axis_x_cycle_2017-2018,0.011227851028027805,0.007765758282901967,Wald F test,8,significant
