axis_key,exposure_axis,primary_biomarker,biological_matrix,eligible_chemical_count,eligible_chemical_ids,mapping_confidence,analysis,exposure_variable,status,fit_N,fit_crc_cases,fit_control_n,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,complete_case_n,n_parameters,cases_per_parameter_approx,condition_number_if_available,sparse_cell_warning,extreme_weight_ratio,extreme_weight_warning,singleton_stratum_N,fit_status,warning_message,warning_type,analytic_n,crc_cases,controls,exclusion_window,direction
serum_or_blood|LBXPFDE,PFAS exposure axis,LBXPFDE,serum_or_blood,1,C036567,high,Exclude_diagnosis_lt_1y,axis_log2,ok,5317,27,5290,-0.3338081410503252,0.3328511819320255,0.7161911767335386,0.36818558048041916,1.393128435289848,0.31981926290879403,62,121,59,Newton-IRLS converged,5317,12,2.25,381.2455407955164,,16.83089691678887,False,0,ok,,none,5317,27,5290,< 1 years,protective
serum_or_blood|LBXPFDE,PFAS exposure axis,LBXPFDE,serum_or_blood,1,C036567,high,Exclude_diagnosis_lt_2y,axis_log2,ok,5314,24,5290,-0.2732316288294932,0.3435559496286113,0.7609165170128664,0.3828966434575797,1.5121416072876528,0.42947058737243254,62,121,59,Newton-IRLS converged,5314,12,2.0,381.257591582844,,16.830710816236135,False,0,ok,,none,5314,24,5290,< 2 years,protective
serum_or_blood|LBXPFDE,PFAS exposure axis,LBXPFDE,serum_or_blood,1,C036567,high,Exclude_diagnosis_lt_5y,axis_log2,converged_with_warning,5309,19,5290,-0.31303501495759867,0.39157541382702843,0.7312243083324677,0.33427772686378737,1.5995351952185934,0.42709641585685554,62,121,59,Newton-IRLS stopped before tolerance,5309,12,1.5833333333333333,381.0192944951748,,16.83052471979881,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5309,19,5290,< 5 years,protective
serum_or_blood|LBXPFHS,PFAS exposure axis,LBXPFHS,serum_or_blood,1,C471071,high,Exclude_diagnosis_lt_1y,axis_log2,converged_with_warning,5317,27,5290,-0.5031158504055427,0.14546027619930035,0.6046437421136751,0.45208421533689835,0.8086857326013551,0.0009867323584099284,62,121,59,Newton-IRLS stopped before tolerance,5317,12,2.25,353.87300949902254,,16.83089691678887,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5317,27,5290,< 1 years,protective
serum_or_blood|LBXPFHS,PFAS exposure axis,LBXPFHS,serum_or_blood,1,C471071,high,Exclude_diagnosis_lt_2y,axis_log2,converged_with_warning,5314,24,5290,-0.4841529872780555,0.1534123905863844,0.61621892104517,0.4534728012492,0.8373727324065023,0.0024696293653410765,62,121,59,Newton-IRLS stopped before tolerance,5314,12,2.0,353.85303940537557,,16.830710816236135,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5314,24,5290,< 2 years,protective
serum_or_blood|LBXPFHS,PFAS exposure axis,LBXPFHS,serum_or_blood,1,C471071,high,Exclude_diagnosis_lt_5y,axis_log2,converged_with_warning,5309,19,5290,-0.5080987760333389,0.1717858932521524,0.601638341378143,0.42677690045156913,0.8481449990223154,0.004381359726059064,62,121,59,Newton-IRLS stopped before tolerance,5309,12,1.5833333333333333,353.62052999277904,,16.83052471979881,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5309,19,5290,< 5 years,protective
serum_or_blood|LBXPFNA,PFAS exposure axis,LBXPFNA,serum_or_blood,1,C101816,high,Exclude_diagnosis_lt_1y,axis_log2,converged_with_warning,5317,27,5290,-0.21337201058250882,0.19883063503358436,0.8078555504953115,0.5429007336443001,1.2021177169631088,0.2873699247044799,62,121,59,Newton-IRLS stopped before tolerance,5317,12,2.25,361.7546533479862,,16.83089691678887,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5317,27,5290,< 1 years,protective
serum_or_blood|LBXPFNA,PFAS exposure axis,LBXPFNA,serum_or_blood,1,C101816,high,Exclude_diagnosis_lt_2y,axis_log2,converged_with_warning,5314,24,5290,-0.16492284477298566,0.2196688819011813,0.8479591260429292,0.5466018161450065,1.315463392548878,0.4556255990724889,62,121,59,Newton-IRLS stopped before tolerance,5314,12,2.0,361.7127878039071,,16.830710816236135,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5314,24,5290,< 2 years,protective
serum_or_blood|LBXPFNA,PFAS exposure axis,LBXPFNA,serum_or_blood,1,C101816,high,Exclude_diagnosis_lt_5y,axis_log2,converged_with_warning,5309,19,5290,-0.1965218807309848,0.24789968767310305,0.821583354254223,0.5005407347278851,1.3485400111433046,0.4309480266113573,62,121,59,Newton-IRLS stopped before tolerance,5309,12,1.5833333333333333,361.47756987670726,,16.83052471979881,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5309,19,5290,< 5 years,protective
urine|URXBPH,bisphenol exposure axis,URXBPH,urine,17,C008745;C517113;C047969;C000705701;C000730470;C000730511;C512161;C534679;D017438;C019273;C047971;C543008;C006780;C000611646;C000655605;C583074;C492482,high,Exclude_diagnosis_lt_1y,axis_log2,converged_with_warning,5746,40,5706,0.03375226631171392,0.07539892354814197,1.0343283370122807,0.8896969328244791,1.2024713914099208,0.6559179720562256,64,124,60,Newton-IRLS stopped before tolerance,5746,13,3.076923076923077,545.4906885470659,,7.658330827822748,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5746,40,5706,< 1 years,positive
